Plate,Well,Percentage
control2,B02,34.60764588
control2,B03,42.59259259
control2,B04,47.83653846
control2,B05,44.24131627
control2,B06,42.00107009
control2,B07,48.12098992
control2,B08,40.66091954
control2,B09,42.86539573
control2,B10,41.67852063
control2,B11,60.90331687
control2,C02,46.84499314
control2,C03,48.6090776
control2,C04,63.33045729
control2,C05,31.91823899
control2,C06,49.19871795
control2,C07,45.09394572
control2,C08,53.51299326
control2,C09,46.68064291
control2,C10,52.33002292
control2,C11,71.14967462
control2,D02,26.98224852
control2,D03,28.57142857
control2,D04,27.73302647
control2,D05,36.91128149
control2,D06,48.29396325
control2,D07,65.13157895
control2,D08,49.79822437
control2,D09,56.80751174
control2,D10,50.86599818
control2,D11,57.47176368
control2,E02,36.53295129
control2,E03,35.67753002
control2,E04,38.68243243
control2,E05,41.60427807
control2,E06,41.01610905
control2,E07,45.44217687
control2,E08,48.30393487
control2,E09,53.35775336
control2,E10,49.82394366
control2,E11,56.75227838
control2,F02,35.46511628
control2,F03,46.11111111
control2,F04,47.24919094
control2,F05,80
control2,F06,39.82737361
control2,F07,36.05839416
control2,F08,35.81445523
control2,F09,41.17647059
control2,F10,42.85714286
control2,F11,0
control2,G02,43.54587869
control2,G03,34.62365591
control2,G04,40.54054054
control2,G05,38.74873865
control2,G06,31.04421449
control2,G07,35.11737089
control2,G08,32.28840125
control2,G09,34.23137876
control2,G10,37.5
control2,G11,90.47619048
12,B02,40
12,B03,37.92775665
12,B04,50
12,B05,38.88888889
12,B06,41.30434783
12,B07,29.29399368
12,B08,48.36309524
12,B09,37.33075435
12,B10,40.99409449
12,B11,31.53049482
12,C02,37.59791123
12,C03,33.92517438
12,C04,39.86874487
12,C05,37.5782881
12,C06,41.62754304
12,C07,31.51943463
12,C08,26.18397086
12,C09,34.3030303
12,C10,30.00542594
12,C11,34.11764706
12,D02,37.41293532
12,D03,36.00628931
12,D04,44.45544554
12,D05,46.04166667
12,D06,31.25
12,D07,37.64044944
12,D08,35.84041857
12,D09,32.41167435
12,D10,34.10922113
12,D11,23.72107186
12,E02,35.88621444
12,E03,39.24611973
12,E04,41.57650696
12,E05,28.54785479
12,E06,31.87736245
12,E07,37.10495513
12,E08,27.79767234
12,E09,32.12185997
12,E10,32.85714286
12,E11,31.15310078
12,F02,22.01509099
12,F03,33.4980586
12,F04,30.42471042
12,F05,28.73194222
12,F06,26.86208554
12,F07,24.7043364
12,F08,28.01461632
12,F09,25.12640996
12,F10,30.17902813
12,F11,26.71755725
12,G02,7.692307692
12,G03,31.56822811
12,G04,24.50248756
12,G05,21.43974961
12,G06,34.01015228
12,G07,27.91686349
12,G08,24.96251874
12,G09,21.83544304
12,G10,27.90461695
12,G11,29.73189276
11,B02,34.33014354
11,B03,44.72440945
11,B04,34.14634146
11,B05,41.70616114
11,B06,46.4
11,B07,43.04677623
11,B08,41.4874552
11,B09,38.46694796
11,B10,38.33333333
11,B11,45.23946913
11,C02,43.50877193
11,C03,36.61971831
11,C04,49.65034965
11,C05,40.21071115
11,C06,40.7635468
11,C07,49.83432737
11,C08,38.77986348
11,C09,36.39733136
11,C10,37.70604396
11,C11,47.20306513
11,D02,41.87946885
11,D03,44.44444444
11,D04,40.64436183
11,D05,28.7202381
11,D06,36.49805447
11,D07,36.15136876
11,D08,47.23320158
11,D09,44.71204188
11,D10,58.62068966
11,D11,35.92493298
11,E02,41.74757282
11,E03,44.88448845
11,E04,42.06041828
11,E05,41.30434783
11,E06,42.95454545
11,E07,80
11,E08,35.60747664
11,E09,38.04347826
11,E10,42.49684741
11,E11,34.59429825
11,F02,37.72032902
11,F03,35.88143526
11,F04,45.95959596
11,F05,25.38071066
11,F06,31.73140224
11,F07,39.87138264
11,F08,40.67510549
11,F09,32.53895509
11,F10,33.86699507
11,F11,36.62239089
11,G02,43.57262104
11,G03,35.82554517
11,G04,52.39417071
11,G05,53.54053188
11,G06,36.43961555
11,G07,41.93548387
11,G08,43.0075188
11,G09,35.30499076
11,G10,32.91925466
11,G11,43.89857369
9,B02,48.94366197
9,B03,40.96709201
9,B04,50.77026122
9,B05,39.97113997
9,B06,37.74555659
9,B07,40.69830878
9,B08,51.04551046
9,B09,39.329806
9,B10,41.95652174
9,B11,37.43654822
9,C02,37.36998514
9,C03,32.11991435
9,C04,39.07232704
9,C05,32.25446429
9,C06,44.82758621
9,C07,43.47826087
9,C08,33.54487761
