Plate,Well,GeoMean
20,B02,10110.21725
20,B03,8176.616291
20,B04,4401.628116
20,B05,6959.391921
20,B06,9861.825692
20,B07,8052.967114
20,B08,9479.449802
20,B09,7338.5192
20,B10,8465.981057
20,B11,10094.56723
20,C02,11880.63304
20,C03,9166.759888
20,C04,9435.588117
20,C05,11840.64253
20,C06,10199.96805
20,C07,4455.981454
20,C08,8765.480497
20,C09,7055.444174
20,C10,8724.560702
20,C11,9857.760044
20,D02,12587.41852
20,D03,9594.625502
20,D04,7988.282234
20,D05,9289.055098
20,D06,5171.963499
20,D07,4329.191609
20,D08,4472.328228
20,D09,6197.405665
20,D10,7054.202708
20,D11,11263.84138
20,E02,10817.28325
20,E03,7645.863167
20,E04,9551.668333
20,E05,10510.98086
20,E06,5508.695104
20,E07,8847.658999
20,E08,6648.138952
20,E09,9259.306764
20,E10,8616.073524
20,E11,9791.319818
20,F02,10692.64091
20,F03,10197.88805
20,F04,6720.65702
20,F05,9904.1418
20,F06,8604.481393
20,F07,11278.28086
20,F08,8611.995715
20,F09,7285.060208
20,F10,8478.186323
20,F11,8525.850793
20,G02,9338.55471
20,G03,9892.932817
20,G04,11141.59931
20,G05,8720.702646
20,G06,7928.740107
20,G07,8720.387223
20,G08,8668.464489
20,G09,8372.685195
20,G10,11156.74826
20,G11,9366.386754
21,B02,8433.842496
21,B06,9830.378074
21,B09,4905.06433
21,B10,6788.308709
21,C03,12163.1786
21,C04,8571.033297
21,C08,14771.30122
21,C11,10663.32655
21,D02,9545.122466
21,D05,8061.196568
21,D06,12047.0015
21,D09,9028.848173
21,D10,12323.89299
21,E02,18575.05192
21,E04,10928.3668
21,E07,13212.05424
21,E08,9192.86869
21,E11,12300.70615
21,F02,11535.23021
21,F05,7632.767816
21,F06,7017.011397
21,F10,8157.485709
21,G04,9867.332379
21,G07,9376.66112
21,G08,10604.98093
21,G10,8714.971593
18,B02,10328.3015
18,B03,10867.79965
18,B04,10390.11197
18,B05,8071.381274
18,B06,8314.290578
18,B07,6850.23649
18,B08,9986.54544
18,B09,7614.221332
18,B10,10241.61032
18,B11,7985.31387
18,C02,13792.61771
18,C03,9665.414182
18,C04,8300.493505
18,C05,8112.590247
18,C06,5968.370837
18,C07,5631.972909
18,C08,5940.542395
18,C09,7695.507844
18,C10,5732.611144
18,C11,9957.467165
18,D02,8819.279757
18,D03,9361.165106
18,D04,9057.702558
18,D05,6505.447399
18,D06,7113.348857
18,D07,8052.670801
18,D08,10002.50631
18,D09,7279.437114
18,D10,9220.87783
18,D11,7240.518015
18,E02,9890.697477
18,E03,9334.906714
18,E04,8259.042497
18,E05,9504.919252
18,E06,6180.014982
18,E07,8022.845712
18,E08,8446.438289
18,E09,6926.03777
18,E10,9145.936353
18,E11,10815.2271
18,F02,9521.389507
18,F03,9189.542041
18,F04,7816.985362
18,F05,10696.84457
18,F06,9954.735473
18,F07,10421.96699
18,F08,10545.12457
18,F09,9060.458834
18,F10,9116.761129
18,F11,10721.59915
18,G02,8935.348126
18,G03,8776.415854
18,G04,8265.919333
18,G05,9723.528679
18,G06,4760.684173
18,G07,9478.44128
18,G08,7606.367941
18,G09,8556.149441
18,G10,9621.330509
18,G11,11289.28568
19,B02,8260.557473
19,B03,6917.845247
19,B04,6248.048908
19,B05,5565.62439
19,B06,4061.319951
19,B07,8099.155371
19,B08,8160.416831
19,B09,5588.824877
19,B10,8222.877499
19,B11,3348.358994
19,C02,11411.8153
19,C03,10972.10486
19,C04,8960.458112
19,C05,7989.648527
19,C06,7811.272568
19,C07,6986.482852
19,C08,5127.947348
19,C09,5694.559477
19,C10,5676.290488
19,C11,4689.229195
19,D02,11395.80176
19,D03,9269.124629
19,D04,8796.003931
19,D05,10774.59856
19,D06,8071.914843
19,D07,7559.459389
19,D08,7440.337771
19,D09,6325.806113
19,D10,6851.875348
19,D11,7443.125978
19,E02,9509.686887
19,E03,7662.613637
19,E04,9611.380315
19,E05,9326.434578
19,E06,6369.594187
19,E07,6457.398032
19,E08,11849.66474
19,E09,5823.232088
19,E10,6247.646123
19,E11,7496.785252
19,F02,6172.223985
19,F03,10507.75839
19,F04,5240.958347
19,F05,9360.351803
19,F06,7792.269776
19,F07,4544.303471
19,F08,6647.284444
19,F09,8234.660911
19,F10,7883.894708
19,F11,6852.169581
19,G02,8971.990615
19,G03,10972.28063
19,G04,12392.60492
19,G05,7925.984382
19,G06,8489.134494
19,G07,5218.637253
19,G08,3341.913851
19,G09,9580.709605
19,G10,3722.913915
19,G11,3907.626196
control3,B02,7837.151606
control3,B03,9977.776534
control3,B04,11216.32875
control3,B05,6711.929793
control3,B06,10742.28451
control3,B07,9243.000752
control3,B08,11112.28139
control3,B09,9298.492051
control3,B10,10206.7635
control3,B11,4107.139985
control3,C02,10852.28371
control3,C03,13716.45275
control3,C04,8845.014929
control3,C05,13552.03981
control3,C06,7188.362878
control3,C07,10775.43326
control3,C08,5876.841241
control3,C09,8038.321152
control3,C10,7951.843773
control3,C11,3830.47283
control3,D02,11551.17662
control3,D03,1120.206308
control3,D04,13091.13498
control3,D05,9313.53765
control3,D06,6454.725936
control3,D07,2532.161582
control3,D08,6963.822658
control3,D09,3858.17038
control3,D10,8684.903795
control3,D11,3992.275815
control3,E02,2878.665781
control3,E03,4015.276247
control3,E04,4041.997869
control3,E05,6723.566643
control3,E06,10616.16101
control3,E07,9373.261265
control3,E08,11015.96456
control3,E09,7953.183114
control3,E10,11964.80667
control3,E11,6180.281783
control3,F02,6373.948867
control3,F03,5208.054807
control3,F04,3867.727926
control3,F05,9455.909572
control3,F06,8244.581825
control3,F07,10422.39958
control3,F08,9406.451729
control3,F09,6314.178939
control3,F10,1594.661839
control3,F11,12542.70977
control3,G02,4958.336427
control3,G03,5697.181175
control3,G04,6327.118795
control3,G05,7269.847173
control3,G06,3239.87378
control3,G07,3486.413334
control3,G08,6821.034494
control3,G09,2257.490743
control3,G10,839.0781371
control3,G11,3173.566895
15,B02,10578.30206
15,B03,13063.48506
15,B04,13323.59843
15,B05,11437.81072
15,B06,8571.049712
15,B07,11608.25405
15,B08,10228.43433
15,B09,12508.8755
15,B10,8835.937771
15,B11,10118.27723
15,C02,13065.67815
15,C03,11646.39662
15,C04,11285.592
15,C05,11592.15537
15,C06,8712.627964
15,C07,9369.160381
15,C08,9553.047999
15,C09,8652.713781
15,C10,8202.822298
15,C11,11225.99704
15,D02,9041.50537
15,D03,6572.754069
15,D04,8925.464598
15,D05,11922.62151
15,D06,9455.499203
15,D07,8803.592151
15,D08,9626.197672
15,D09,9661.214441
15,D10,7449.433315
15,D11,13016.07169
15,E02,14084.86149
15,E03,9323.735032
15,E04,10577.1614
15,E05,10951.4804
15,E06,7162.273172
15,E07,9709.667417
15,E08,9934.204289
15,E09,8501.335505
15,E10,7838.632452
15,E11,10849.04652
15,F02,11393.47935
15,F03,9283.026612
15,F04,8929.481161
15,F05,9854.324673
15,F06,11467.57989
15,F07,10921.70506
15,F08,7913.166686
15,F09,12709.66671
15,F10,11611.02834
15,F11,6998.922502
15,G02,9267.346568
15,G03,15894.9335
15,G04,8486.864029
15,G05,11445.87904
15,G06,6350.678621
15,G07,9897.32385
15,G08,4375.633841
15,G09,8873.947132
15,G10,12079.76708
15,G11,10463.89803
16,B02,11171.18938
16,B03,11520.36416
16,B04,13796.73344
16,B05,4051.191145
16,B06,8462.746127
16,B07,10417.26669
16,B08,12835.35086
16,B09,10704.53215
16,B10,8346.881504
16,B11,10443.54366
16,C02,10649.3993
16,C03,8671.229903
16,C04,11062.41725
16,C05,7003.626313
16,C06,9870.083021
16,C07,11810.90954
16,C08,8707.736727
16,C09,11560.49452
16,C10,11721.38777
16,C11,9481.217431
16,D02,9720.458775
16,D03,10514.22635
16,D04,10204.67969
16,D05,10311.44642
16,D06,9445.906338
16,D07,4579.164797
16,D08,6842.933801
16,D09,5768.22585
16,D10,10962.6301
16,D11,10273.19776
16,E02,10790.68112
16,E03,5715.339352
16,E04,12239.27771
16,E05,11093.71221
16,E06,11225.21089
16,E07,9159.403463
16,E08,10944.17503
16,E09,6459.808284
16,E10,9095.766447
16,E11,7650.865668
16,F02,11902.719
16,F03,12726.59419
16,F04,10668.17596
16,F05,9973.947523
16,F06,13468.907
16,F07,12961.50411
16,F08,5013.080847
16,F09,9554.114938
16,F10,9966.792051
16,F11,7004.634345
16,G02,9462.261547
16,G03,10950.17292
16,G04,8169.049266
16,G05,8462.025116
16,G06,11033.88481
16,G07,11249.39185
16,G08,9744.988388
16,G09,12977.57799
16,G10,9998.68975
16,G11,6597.139233
17,B02,12837.76945
17,B03,6711.832671
17,B04,9738.186432
17,B05,12384.85806
17,B06,9097.432506
17,B07,11636.33715
17,B08,7027.1719
17,B09,8247.626935
17,B10,7806.293951
