Plate,Well,Percentage
9,B02,61.12311015
9,B03,44.63855422
9,B04,63.69863014
9,B05,62.75229358
9,B06,60.82526745
9,B07,55.77330508
9,B08,57.84313725
9,B09,52.45628643
9,B10,60.89420655
9,B11,53.31541219
9,C02,52.33291299
9,C03,37.63636364
9,C04,55.94405594
9,C05,51.0727056
9,C06,51.35135135
9,C07,59.54446855
9,C08,50.91911765
9,C09,52.56290774
9,C10,51.82696346
9,C11,51.44665461
9,D02,59.87384765
9,D03,63.41085271
9,D04,61.88055909
9,D05,68.72727273
9,D06,69.1069992
9,D07,55.87828492
9,D08,69.52988973
9,D09,55.24920467
9,D10,60.96528366
9,D11,54.71698113
9,E02,61.53846154
9,E03,64.28054953
9,E04,57.51738898
9,E05,71.49643705
9,E06,61.16883117
9,E07,66.44602851
9,E08,66.39712489
9,E09,62.39067055
9,E10,64.09822185
9,E11,53.06010929
9,F02,45.25586354
9,F03,44.61795873
9,F04,50.52277819
9,F05,59.6
9,F06,56.92549843
9,F07,54.23932652
9,F08,49.24760602
9,F09,55.48980934
9,F10,55.88235294
9,F11,46.07206143
9,G02,52.91828794
9,G03,59.13166588
9,G04,38.15261044
9,G05,47.61453397
9,G06,49.1353001
9,G07,55.93495935
9,G08,54.16066801
9,G09,53.61941916
9,G10,60.36931818
9,G11,43.92857143
11,B02,49.9272198
11,B03,50.35460993
11,B04,41.86507937
11,B05,58.55130785
11,B06,58.04117974
11,B07,56.23973727
11,B08,61.79190751
11,B09,49.81238274
11,B10,59.64912281
11,B11,59.76718807
11,C02,63.74269006
11,C03,57.19844358
11,C04,78.46889952
11,C05,60.54324518
11,C06,57.14285714
11,C07,66.93782684
11,C08,63.6257764
11,C09,52.116235
11,C10,54.7311828
11,C11,63.83928571
11,D02,55.86258402
11,D03,58.55925639
11,D04,57.54328112
11,D05,43.68070953
11,D06,53.24074074
11,D07,58.35678109
11,D08,64.26364573
11,D09,62.40947992
11,D10,68.13627255
11,D11,51.18329466
11,E02,55.79302587
11,E03,57.7724359
11,E04,57.70433229
11,E05,59.60526316
11,E06,63.68894602
11,E07,71.42857143
11,E08,56.75247525
11,E09,65.41176471
11,E10,60.5647517
11,E11,51.21313923
11,F02,39.10521955
11,F03,47.55011136
11,F04,58.38852097
11,F05,42.8200692
11,F06,49.47761194
11,F07,60.6741573
11,F08,64.62585034
11,F09,47.97008547
11,F10,56.58465991
11,F11,56.46090535
11,G02,57.36482287
11,G03,51.93548387
11,G04,58.04464973
11,G05,73.61111111
11,G06,50.95846645
11,G07,55.54460325
11,G08,56.46687697
11,G09,53.79113019
11,G10,48.42931937
11,G11,56.06884058
10,B02,51.21550591
10,B03,56.55577299
10,B04,54.10192666
10,B05,64.00873839
10,B06,67.1641791
10,B07,58.38992643
10,B08,44.63040446
10,B09,60.35067873
10,B10,56.90056535
10,B11,75.44696067
10,C02,68.48934198
10,C03,61.66290444
10,C04,66.18616145
10,C05,55.36938309
10,C06,61.4797136
10,C07,50
10,C08,54.26324503
10,C09,49.56949569
10,C10,53.09928689
10,C11,52.71338251
10,D02,60.60606061
10,D03,67.93516561
10,D04,54.54545455
10,D05,52.2037779
10,D06,61.58605174
10,D07,70.55016181
10,D08,65.39522059
10,D09,50.04464286
10,D10,61.77001806
10,D11,64.62715105
10,E02,70.82658023
10,E03,47.13983051
10,E04,70.50893158
10,E05,65.23855891
10,E06,68.25734981
10,E07,70.12542759
10,E08,72.77896233
10,E09,64.75524476
10,E10,59.61145194
10,E11,47.74700289
10,F02,61.96876135
10,F03,61.6674889
10,F04,60.46870182
10,F05,57.89473684
10,F06,68.05813234
10,F07,60.01846722
10,F08,65.00672948
10,F09,53.80577428
10,F10,60.20723104
10,F11,51.76348548
10,G02,58.67828613
10,G03,44.86404834
10,G04,56.17202018
10,G05,62.63862333
10,G06,39.85457064
10,G07,51.7552658
10,G08,47.66550523
10,G09,42.10128496
10,G10,51.19047619
10,G11,62.08773615
8,B02,57.26141079
8,B03,59.64912281
8,B04,65.35564854
8,B05,64.65671642
8,B06,64.47931526
8,B07,52.20660347
8,B08,64.53841902
8,B09,70.07658643
8,B10,56.07995558
8,B11,57.08997722
8,C02,38.32116788
8,C03,36.03187251
8,C04,52.75104413
8,C05,52.00394867
8,C06,53.44827586
8,C07,51.07913669
8,C08,56.67870036
8,C09,46.40628146
8,C10,66.9690798
8,C11,51.89301841
8,D02,58.54330709
8,D03,72.07998049
8,D04,55.26182859
8,D05,65.81469649
8,D06,77.40585774
8,D07,59.68788357
8,D08,59.49238579
8,D09,54.28708287
8,D10,67.29254997
8,D11,57.55541997
8,E02,56.266387
8,E03,56.50374968
8,E04,52.62081309
8,E05,52.7317589
8,E06,59.31530638
8,E07,61.70138889
8,E08,47.31222386
8,E09,46.67844523
8,E10,64.59114779
8,E11,50.26923077
8,F02,56.87568757
8,F03,62.19081272
8,F04,63.08576481
8,F05,59.66562173
8,F06,63.96077363
8,F07,51.26225126
8,F08,53.20881226
8,F09,55.93180757
8,F10,59.72579263
8,F11,64.88022737
8,G02,54.29334429
8,G03,50.23400936
8,G04,55.20504732
8,G05,55.14344262
8,G06,59.07956751
8,G07,61.82163844
8,G08,44.44444444
8,G09,67.29205754
8,G10,75.0997009
8,G11,55.4539057
control2,B02,45.45454545
control2,B03,59.04255319
control2,B04,62.01028888
control2,B05,59.86085904
control2,B06,62.55244755
control2,B07,61.39139671
control2,B08,62.51167134
control2,B09,57.76436964
control2,B10,63.21897074
control2,B11,57.37122558
control2,C02,61.9078105
control2,C03,61.96793809
control2,C04,77.94381351
control2,C05,52.9455081
control2,C06,67.34279919
control2,C07,61.90871369
control2,C08,68.3908046
control2,C09,59.74086071
control2,C10,70.00467946
control2,C11,66.54478976
control2,D02,34.78927203
control2,D03,15.38461538
control2,D04,41.37466307
control2,D05,44.00294334
control2,D06,65.60130011
control2,D07,82.43298969
control2,D08,67.27533119
control2,D09,67.33791749
control2,D10,63.16484969
control2,D11,55.3816047
control2,E02,43.69817579
control2,E03,42.66666667
control2,E04,52.79091769
control2,E05,58.1300813
control2,E06,60
control2,E07,65.42882405
control2,E08,61.43170197
control2,E09,73.44110855
control2,E10,63.54759967
control2,E11,54.7008547
control2,F02,28.44974446
control2,F03,32.07349081
control2,F04,27.31164384
control2,F05,28.57142857
control2,F06,56.52173913
control2,F07,60.57225994
control2,F08,52.74445656
control2,F09,69.83356449
control2,F10,29.41176471
control2,F11,66.66666667
control2,G02,55.85235551
control2,G03,52.7458493
control2,G04,52.98722703
control2,G05,56.07819181
control2,G06,53.90827805
control2,G07,54.36893204
control2,G08,51.31964809
control2,G09,48.15270936
control2,G10,25
control2,G11,20
12,B02,62.5
12,B03,56.86402082
12,B04,65.10178646
12,B05,44.41391941
12,B06,57.25062867
12,B07,45.65908535
12,B08,64.47628458
12,B09,41.54852781
12,B10,41.45873321
12,B11,41.19458128
12,C02,50.26737968
12,C03,52.26195605
12,C04,52.32371795
12,C05,56.47482014
12,C06,55.20134228
12,C07,52.48120301
12,C08,42.93004465
12,C09,50.2568893
12,C10,52.28384992
12,C11,48.81822089
12,D02,51.36054422
12,D03,59.48504354
12,D04,72.27586207
12,D05,59.34314836
12,D06,50
12,D07,56.57894737
12,D08,58.45070423
12,D09,52.82700422
12,D10,56.75675676
12,D11,41.15442279
12,E02,57.5708502
12,E03,52.2673031
12,E04,57.49840459
12,E05,41.97530864
12,E06,44.25574426
12,E07,58.2298631
12,E08,39.48608137
12,E09,53.97082658
12,E10,52.51959686
12,E11,48.3016983
12,F02,39.58773784
12,F03,59.56181534
12,F04,52.31355471
12,F05,46.89378758
12,F06,44.63373083
12,F07,36.76171079
12,F08,44.00963275
12,F09,48.44740177
12,F10,54.44642503
12,F11,49.28909953
12,G02,52.94117647
12,G03,41.11731844
12,G04,33.58356381
12,G05,42.11438475
12,G06,48.60813704
12,G07,47.25935829
12,G08,45.80792683
12,G09,46.77477477
12,G10,42.65639166
12,G11,51.46825397
14,B02,52.33798195
14,B03,46.8344775
14,B04,58.5596222
14,B05,40
14,B06,67.05146705
14,B07,63.48785872
14,B08,49.12140575
14,B09,62.60504202
14,B10,56.1237645
14,B11,55.60090703
14,C02,61.15035318
14,C03,60.2006689
14,C04,59.5113438
14,C05,63.17254174
14,C06,60.90985678
14,C07,64.66597077
14,C08,59.58142577
14,C09,53.67483296
14,C10,61.80811808
14,C11,61.84316896
14,D02,59.18618989
14,D03,71.14470842
14,D04,57.40598619
14,D05,51.34782609
14,D06,54.95361781
14,D07,64.02912621
14,D08,67.60233918
14,D09,57.59416768
14,D10,66.50144568
14,D11,50.95541401
14,E02,64.4035533
14,E03,57.04797048
14,E04,62.48880931
14,E05,71.44851658
14,E06,58.11915888
14,E07,53.73517153
14,E08,65.43810848
14,E09,69.32241251
14,E10,56.8986569
14,E11,45.87027531
14,F02,56.83453237
14,F03,77.24810401
14,F04,54.55120101
14,F05,63.24216144
14,F06,53.88471178
14,F07,38.19913952
14,F08,39.28980527
14,F09,55.532926
14,F10,57.84557908
14,F11,64.46558478
14,G02,20
14,G03,62.31884058
14,G04,65.58307534
14,G05,
14,G06,
14,G07,
14,G08,
14,G09,
14,G10,
14,G11,
13,B02,63.63636364
13,B03,64.18776371
13,B04,62.41289199
13,B05,67.20930233
13,B06,69.30875576
13,B07,64.24535916
13,B08,60.92959043
13,B09,69.81919332
13,B10,53.33333333
13,B11,63.23432343
13,C02,64.68253968
13,C03,60.06640507
13,C04,56.40394089
13,C05,61.13317448
13,C06,50.18486566
13,C07,54.33975008
13,C08,61.01052632
13,C09,59.04330597
13,C10,53.02419355
13,C11,48.26059456
13,D02,61.90785204
13,D03,58.44011142
13,D04,62.87128713
13,D05,58
13,D06,50.12376238
13,D07,61.4099058
13,D08,53.16742081
13,D09,71.57417894
13,D10,73.43599615
13,D11,56.10778443
13,E02,50.89141005
13,E03,60.82519965
13,E04,61.65803109
13,E05,62.16216216
13,E06,62.83118849
13,E07,57.50784402
13,E08,57.51374465
13,E09,62.37424547
13,E10,55.94159114
13,E11,64.63076069
13,F02,60.77680525
13,F03,52.47221158
13,F04,64.2439974
13,F05,59.68514716
13,F06,59.375
13,F07,65.93792173
13,F08,59.78209379
13,F09,57.49542962
13,F10,68.63309353
13,F11,63.5725429
13,G02,55.72916667
13,G03,54.66491459
13,G04,56.1303673
13,G05,71.08708025
13,G06,64.54689984
13,G07,55.15548282
13,G08,64.63152874
13,G09,69.140625
13,G10,66.80216802
13,G11,58.07888041
6,B02,38.9254386
6,B03,46.04462475
6,B04,58.44044559
6,B05,45.70998495
6,B06,41.3509061
6,B07,33.64485981
6,B08,55.67313345
6,B09,38.26606876
6,B10,30.12863913
6,B11,20.41522491
6,C02,42.27272727
6,C03,48.72483221
6,C04,46.33204633
6,C05,26.50176678
6,C06,37.71790808
6,C07,43.88984509
6,C08,43.28042328
6,C09,39.12037037
6,C10,38.22115385
6,C11,31.54574132
6,D02,49.69325153
6,D03,48.89643463
6,D04,62.52485089
6,D05,45.39800995
6,D06,60.4217356
6,D07,55.06329114
6,D08,50.78922934
6,D09,45.5178416
6,D10,40.22988506
6,D11,45.78833693
6,E02,40.2363534
6,E03,58.30449827
6,E04,51.15633673
6,E05,55.24407927
6,E06,65.45454545
6,E07,65.42239686
6,E08,46.93129771
6,E09,39.55276031
6,E10,43.08019872
6,E11,40.76045627
6,F02,42.20930233
6,F03,51.40186916
6,F04,64.51612903
6,F05,50.16872891
6,F06,61.35693215
6,F07,50.65616798
6,F08,52.45660488
6,F09,55.85048754
6,F10,39.4434629
6,F11,30.10752688
6,G02,34.76821192
6,G03,54.04742437
6,G04,45.83333333
6,G05,52.13385063
6,G06,47.20426017
6,G07,45.48387097
6,G08,48.3357453
6,G09,58.76865672
6,G10,39.37708565
6,G11,49.7311828
1,B02,38.90429958
1,B03,45.63540398
1,B04,43.35976214
1,B05,47.72727273
1,B06,51.24760077
1,B07,47.92882147
1,B08,44.88536155
1,B09,54.26218922
1,B10,39.33217693
1,B11,34.76465731
1,C02,50.39696237
1,C03,46.80437424
1,C04,50.51264525
1,C05,44.57242583
1,C06,49.63486992
1,C07,45.68115942
1,C08,41.39145751
1,C09,51.52249135
1,C10,54.71830986
1,C11,40.75807206
1,D02,38.15309842
1,D03,51.953125
1,D04,48.89655172
1,D05,57.06824513
1,D06,48.53495793
1,D07,47.07520891
1,D08,59.71922246
1,D09,46.13284804
1,D10,59.76890756
1,D11,47.2826087
1,E02,29.39801286
1,E03,40.80188679
1,E04,46.02026049
1,E05,51.91158901
1,E06,58.66983373
1,E07,57.46554364
1,E08,50.8312552
1,E09,52.12418301
1,E10,50.72142064
1,E11,43.15789474
1,F02,47.84542674
1,F03,49.77924945
1,F04,40.74074074
1,F05,54.85232068
1,F06,53.75446961
1,F07,43.87755102
1,F08,49.95951417
1,F09,45.45454545
1,F10,46.41288433
1,F11,50.73170732
1,G02,36.52272086
1,G03,52.01380898
1,G04,28.92690513
1,G05,51.03448276
1,G06,48.12463935
1,G07,35.38812785
1,G08,46.97569248
1,G09,40.81784387
1,G10,42.84829721
1,G11,38.8251651
7,B02,42.70072993
7,B03,55.9590624
7,B04,53.25102881
7,B05,60.53054662
7,B06,31.57894737
7,B07,46.52278177
7,B08,61.60558464
7,B09,56.27376426
7,B10,55.42944785
7,B11,44.0445587
7,C02,53.03867403
7,C03,49.20850294
7,C04,55.04132231
7,C05,49.8783455
7,C06,45.1590106
7,C07,57.88530466
7,C08,58.4045584
7,C09,40
7,C10,46.27586207
7,C11,58.12060673
7,D02,45.87856856
7,D03,47.21393035
7,D04,50.81081081
7,D05,65.18188567
7,D06,50.36728697
7,D07,47.05882353
7,D08,66.10878661
7,D09,62.43093923
7,D10,51.05008078
7,D11,50.79797587
7,E02,41.13475177
7,E03,48.8358887
7,E04,50.07242878
7,E05,56.74285714
7,E06,56.61320011
7,E07,51.84842884
7,E08,51.99216199
7,E09,61.62881754
7,E10,37.76525199
7,E11,48.66494401
7,F02,41.12318841
7,F03,48.74141876
7,F04,54.14187643
7,F05,49.11280101
7,F06,48.99154196
7,F07,48.80339969
7,F08,52.62557078
7,F09,67.52462663
7,F10,48.2832618
7,F11,47.06051047
7,G02,52.31457128
7,G03,39.79176098
7,G04,47.4469991
7,G05,52.88030355
7,G06,43.63182305
7,G07,47.75698539
7,G08,29.41176471
7,G09,49.14821124
7,G10,45.79403998
7,G11,49.64539007
control1,B02,27.27666956
control1,B03,49.66442953
control1,B04,29.13631634
control1,B05,45.41511772
control1,B06,47.98245614
control1,B07,47.87717968
control1,B08,44.7265625
control1,B09,41.02518624
control1,B10,47.42306266
control1,B11,43.84133612
control1,C02,50.27797577
control1,C03,51.99188294
control1,C04,50.57581574
control1,C05,37.36209855
control1,C06,62.47582205
control1,C07,55.04309341
control1,C08,63.02578019
control1,C09,54.7386011
control1,C10,69.53551913
control1,C11,63.85350318
control1,D02,18.39530333
control1,D03,11.11111111
