Position,Pool,shRNA,GeoMean
14_B02,2,Prmt1.1,6178.58679083514
14_B03,2,Rbbp4.1,5129.88693877687
14_B04,2,Rbbp5.1,6249.11618472845
14_B05,2,Psip1.1,7132.91149959934
14_B06,2,Prmt3.1,4351.24283283077
14_B07,2,Rnf40.1,6678.62676531735
14_B08,2,Ring1.1,5840.48613066318
14_B09,2,Prmt7.1,6008.84170955375
14_B10,2,Prmt2.1,5134.59746738806
14_B11,2,Rnf20.1,5374.15256065343
14_C02,2,Ring1.2,3404.17504354159
14_C03,2,Prmt5.1,5898.7453266399
14_C04,2,Prmt1.2,6315.5198764315
14_C05,2,Rnf20.2,5210.34938405517
14_C06,2,Rbbp7.1,3654.35791924341
14_C07,2,Rbbp5.2,4674.2870623083
14_C08,2,Prmt3.2,7547.64495911542
14_C09,2,Rnf217.1,5512.15759127522
14_C10,2,Rbbp4.2,6717.60479727401
14_C11,2,Prmt8.1,6263.31108366131
14_D02,2,Prmt2.2,6048.21244970315
14_D03,2,Rnf217.2,6165.64548339627
14_D04,2,Rbbp4.3,6684.68123627775
14_D05,2,Prmt6.1,5697.01644564245
14_D06,2,Prmt5.2,5911.12901545232
14_D07,2,Rnf217.3,7106.57608926527
14_D08,2,Rbbp7.2,5609.47276406026
14_D09,2,Prmt7.2,5568.379921262
14_D10,2,Prmt1.3,4892.94397187016
14_D11,2,Rnf40.2,4434.71518666957
14_E02,2,Prmt8.2,5998.94965811287
14_E03,2,Psip1.2,6912.79282634745
14_E04,2,Prmt1.4,6258.54452215479
14_E05,2,Ring1.3,7501.1627692323
14_E06,2,Rbbp5.3,6614.50029540415
14_E07,2,Prmt6.2,5383.85569468502
14_E08,2,Prmt2.3,6598.6238564405
14_E09,2,Rnf20.3,8090.5120268182
14_E10,2,Rbbp7.3,5487.77683787937
14_E11,2,Prmt7.3,6063.82997779971
14_F02,2,Prmt3.3,7497.57832978237
14_F03,2,Rnf40.3,6949.09179066103
14_F04,2,Rbbp5.4,6097.77038827311
14_F05,2,Prmt6.3,6326.51118087031
14_F06,2,Prmt5.3,6535.07448881248
14_F07,2,Ring1.4,6220.67393033286
14_F08,2,Psip1.3,6514.21468209421
14_F09,2,Prmt8.3,5617.57377235059
14_F10,2,Prmt5.4,6775.63471784423
14_F11,2,Rnf20.4,4902.75456485882
14_G02,2,Rbbp7.4,5566.39910134034
14_G03,2,Prmt8.4,7347.33285159631
14_G04,2,Prmt2.4,5465.29838054576
14_G05,2,Rnf40.4,6955.51218739296
14_G06,2,Rnf217.4,6142.36255413147
14_G07,2,Prmt6.4,5213.54606037371
14_G08,2,Prmt3.4,5610.32422881836
14_G09,2,Rbbp4.4,5618.21185448686
