Position,Pool,shRNA,GeoMean
18_B02,3,Tdg.1,47.42232814
18_B03,3,Ube2b.1,57.25290181
18_B04,3,Ube2e1.1,60.88814525
18_B05,3,Trim66.1,65.04601254
18_B06,3,Tet2.1,62.86697365
18_B07,3,Usp51.1,62.38138109
18_B08,3,Uhrf1.1,64.89833435
18_B09,3,Trim28.1,61.03435237
18_B10,3,Tet1.1,77.22953664
18_B11,3,Usp22.1,59.46867005
18_C02,3,Uhrf1.2,56.91387873
18_C03,3,Tet3.1,72.66892755
18_C04,3,Tdg.2,48.3353225
18_C05,3,Usp22.2,60.61036321
18_C06,3,Ube2i.1,54.8344074
18_C07,3,Ube2e1.2,48.4660142
18_C08,3,Tet2.2,60.33509975
18_C09,3,Usp27x.1,76.01589154
18_C10,3,Ube2b.2,51.71128712
18_C11,3,Trim33.1,61.16487146
18_D02,3,Tet1.2,52.9057328
18_D03,3,Usp27x.2,68.57266886
18_D04,3,Ube2b.3,63.20632602
18_D05,3,Trim24.1,29.02546
18_D06,3,Tet3.2,64.19304778
18_D07,3,Usp27x.3,55.63041947
18_D08,3,Ube2i.2,54.59796836
18_D09,3,Trim28.2,48.09913963
18_D10,3,Tdg.3,50.97640157
18_D11,3,Usp51.2,54.57408366
18_E02,3,Trim33.2,59.93907327
18_E03,3,Trim66.2,76.83800593
18_E04,3,Tdg.4,58.12425769
18_E05,3,Uhrf1.3,61.40761881
18_E06,3,Ube2e1.3,61.47928853
18_E07,3,Trim24.2,63.50044328
18_E08,3,Tet1.3,65.93420947
18_E09,3,Usp22.3,55.54172906
18_E10,3,Ube2i.3,89.06254177
18_E11,3,Trim28.3,49.60802528
18_F02,3,Tet2.3,60.78822495
18_F03,3,Usp51.3,62.26427662
18_F04,3,Ube2e1.4,55.57937366
18_F05,3,Trim24.3,53.33252726
18_F06,3,Tet3.3,59.57220972
18_F07,3,Uhrf1.4,52.74592156
18_F08,3,Trim66.3,55.1775508
18_F09,3,Trim33.3,66.36644659
18_F10,3,Tet3.4,61.79706419
18_F11,3,Usp22.4,62.6832189
18_G02,3,Ube2i.4,73.2189703
18_G03,3,Trim33.4,66.11731034
18_G04,3,Tet1.4,74.84339029
18_G05,3,Usp51.4,66.41372127
18_G06,3,Usp27x.4,70.16677661
18_G07,3,Trim24.4,65.4585884
18_G08,3,Tet2.4,60.85325472
18_G09,3,Ube2b.4,56.39863163
18_G10,3,Trim28.4,51.44387994
18_G11,3,Trim66.4,50.88271477
17_B02,3,Smyd4.1,55.99584862
17_B03,3,Suv39h2.1,64.04153467
17_B04,3,Suv420h1.1,56.14358735
17_B05,3,Suv39h1.1,51.86773784
17_B06,3,Sp100.1,54.48323426
17_B07,3,Tcea1.1,56.05725356
17_B08,3,Suz12.1,60.79043274
17_B09,3,Ssrp1.1,52.14383485
17_B10,3,Smyd5.1,51.83569832
17_B11,3,Taf1.1,54.10322066
17_C02,3,Suz12.2,59.30941731
17_C03,3,Sp110.1,57.40757746
17_C04,3,Smyd4.2,55.90814151
17_C05,3,Taf1.2,48.83736344
17_C06,3,Suv420h2.1,55.1058115
17_C07,3,Suv420h1.2,63.9403704
17_C08,3,Sp100.2,57.67464965
17_C09,3,Taf3.1,38.90247956
17_C10,3,Suv39h2.2,58.87859923
17_C11,3,Supt16h.1,57.9042145
17_D02,3,Smyd5.2,86.54109906
17_D03,3,Taf3.2,50.08725707
17_D04,3,Suv39h2.3,64.68939565
17_D05,3,Sp140.1,69.18558863
17_D06,3,Sp110.2,58.06509916
17_D07,3,Taf3.3,47.61480558
17_D08,3,Suv420h2.2,66.32310581
17_D09,3,Ssrp1.2,60.32725193
17_D10,3,Smyd4.3,48.7442301
17_D11,3,Tcea1.2,49.59081583
17_E02,3,Supt16h.2,69.30232174
17_E03,3,Suv39h1.2,80.37706327
17_E04,3,Smyd4.4,55.64943972
17_E05,3,Suz12.3,54.02506557
17_E06,3,Suv420h1.3,68.10652799
