"Position","Pool","shRNA","Percentage","precentile","z"
"control1_B02",1,"Bptf.1",0.492896492,38.4496745801412,-0.293691707333711
"control1_B03",1,"Bptf.2",0.881057269,55.2349307455141,0.131599115601661
"control1_B04",1,"Bptf.3",0.644883921,44.9404620434928,-0.127165714535522
"control1_B05",1,"Bptf.4",0.831024931,53.0601063902984,0.0767808664064295
"control1_B06",1,"Whsc1.1",0.757377905,49.8439754354984,-0.00391096581927399
"control1_B07",1,"Whsc1.2",0.62305296,43.9954353868492,-0.151084945738936
"control1_B08",1,"Whsc1.3",0.599101348,42.9625504245589,-0.177327681691901
"control1_B09",1,"Whsc1.4",0.498196186,38.6717360209083,-0.287885063911401
"control1_B10",1,"Cd4.1",0.560471976,41.307101766489,-0.219652198698308
"control1_B11",1,"Cd4.1",1.62283997,82.7501535519885,0.944338047612591
"control1_C02",1,"Mll2.1",1.301592738,72.3195721117131,0.592361475639194
"control1_C03",1,"Mll2.2",2.002040296,91.3055176483018,1.35981129544644
"control1_C04",1,"Mll2.3",1.348182884,74.0020389150799,0.643408265286926
"control1_C05",1,"Mll2.4",0.407651301,34.9344367266878,-0.387091142773508
"control1_C06",1,"Brd8.1",2.999318337,99.29063416097,2.4524853209631
"control1_C07",1,"Brd8.2",0.554272517,41.0427792131732,-0.226444675362853
"control1_C08",1,"Brd8.3",0.928641251,57.2889249540132,0.183734807980806
"control1_C09",1,"Brd8.4",0.693909021,47.0723596801959,-0.073451052058203
"control1_C10",1,"Cd4.2",0.979325354,59.455078874355,0.239267167641687
"control1_C11",1,"Cd4.2",5.237533196,99.999953238628,4.90479966000382
"control1_D02",1,"Ncor1.1",0.463917526,37.2423023087024,-0.325442695656666
"control1_D03",1,"Ncor1.2",0,20.2214634866101,-0.83373688223462
"control1_D04",1,"Ncor1.3",0.618458611,43.7969700373948,-0.156118773427978
"control1_D05",1,"Ncor1.4",0.373971578,33.5785624948312,-0.423992545387161
"control1_D06",1,"Cxxcl.1",2.906050955,99.0620764550858,2.35029632095549
"control1_D07",1,"Cxxcl.2",3.776223776,99.9522922003916,3.30370670414597
"control1_D08",1,"Cxxcl.3",0.684931507,46.6811540286743,-0.0832873223441463
"control1_D09",1,"Cxxcl.4",0.851536468,53.9531883189592,0.099254462316403
"control1_D10",1,"Cd4.3",0.527383367,39.9011732578557,-0.255905943500032
"control1_D11",1,"Cd4.3",1.53471027,80.1719241856838,0.847778181549546
"control1_E02",1,"Smarca4.1",0.756253636,49.7948337342655,-0.00514277829632588
"control1_E03",1,"Smarca4.2",0.385462555,34.038875327765,-0.411402383386683
"control1_E04",1,"Smarca4.3",0.296411856,30.5386153857779,-0.508971347859052
"control1_E05",1,"Smarca4.4",0.318705565,31.3999531218404,-0.484545103867656
"control1_E06",1,"Klf2.1",0.651130912,45.2114371655329,-0.120321159133007
"control1_E07",1,"Klf2.2",0.504891133,38.9527899279229,-0.28054970266974
"control1_E08",1,"Klf2.3",0.247524752,28.6875845363972,-0.562534814141703
"control1_E09",1,"Klf2.4",0.446077145,36.5051086195963,-0.344989622514169
"control1_E10",1,"Cd4.4",0.670141474,46.0373773672192,-0.0994921160237801
"control1_E11",1,"Cd4.4",1.749033964,86.0507728897609,1.08260329937903
"control1_F02",1,"Runx3.1",0.271055179,29.5718929687957,-0.536753552211545
"control1_F03",1,"Runx3.2",0.637168142,44.6061022084302,-0.135619556847615
"control1_F04",1,"Runx3.3",0.75926753,49.9265712768548,-0.00184058617530174
"control1_F05",1,"Empty",0,20.2214634866101,-0.83373688223462
"control1_F06",1,"Sp140.1",0.588789449,42.5192984854779,-0.188625979386046
"control1_F07",1,"Sp140.2",0.525938322,39.840056946568,-0.257489216240721
"control1_F08",1,"Sp140.3",0.324901369,31.6411715789058,-0.477756631827097
"control1_F09",1,"Sp140.4",0.801424755,51.7686990943689,0.0443492453978188
"control1_F10",1,"Empty",0,20.2214634866101,-0.83373688223462
"control1_F11",1,"Empty",0,20.2214634866101,-0.83373688223462
"control1_G02",1,"Smarce1.1",0.631768953,44.3723572193969,-0.141535212599184
"control1_G03",1,"Smarce1.2",0.964630225,58.8296982218952,0.223166356132977
"control1_G04",1,"Smarce1.3",0.574712644,41.9157478796562,-0.204049320273347
"control1_G05",1,"Smarce1.4",0.344901919,32.425147543629,-0.455842902072119
"control1_G06",1,"Wdr82.1",0.667111408,45.9056079803417,-0.102812027099413
"control1_G07",1,"Wdr82.2",0.71667463,48.0655786948267,-0.0485077678318451
"control1_G08",1,"Wdr82.3",0.692259283,47.0004481021589,-0.0752585979856158
"control1_G09",1,"Wdr82.4",0.493522517,38.4758859561004,-0.293005799062695
"control1_G10",1,"Empty",0,20.2214634866101,-0.83373688223462
"control1_G11",1,"Empty",0,20.2214634866101,-0.83373688223462
"7_B02",1,"Hdac7.1",0.702740689,47.4574860083026,-0.0637745788693315
"7_B03",1,"Ing4.1",1.192250373,68.1736372287383,0.472559818315765
"7_B04",1,"Ing5.1",0.670337563,46.0459062633914,-0.0992772698643532
"7_B05",1,"Ing3.1",1.179071481,67.6566985690146,0.458120281515126
"7_B06",1,"Hdac9.1",0,20.2214634866101,-0.83373688223462
"7_B07",1,"Jmjd4.1",0.386286818,34.0719867830648,-0.410499274390729
"7_B08",1,"Jarid2.1",0.544182431,40.6134482005406,-0.237499942233438
"7_B09",1,"Hltf.1",0.620347395,43.8785425851383,-0.154049315231002
"7_B10",1,"Hdac8.1",0.717488789,48.1011248020986,-0.0476157293477242
"7_B11",1,"Jhdm1d.1",0.419412822,35.4126066754346,-0.374204557519528
"7_C02",1,"Jarid2.2",0.632911392,44.421800339169,-0.140283492046122
"7_C03",1,"Hells.1",0.759425007,49.933454643335,-0.00166804549913908
"7_C04",1,"Hdac7.2",0.493583416,38.4784360503016,-0.292939074686198
