"Position","Pool","shRNA","GeoMean","precentile","z"
"control1_B02",1,"Bptf.1",40.51718741,28.0413460319077,-0.581613688387642
"control1_B03",1,"Bptf.2",55.43617301,48.6752020777104,-0.0332138649972682
"control1_B04",1,"Bptf.3",53.16905765,45.360846197068,-0.116549669211035
"control1_B05",1,"Bptf.4",49.86553303,40.5947394364265,-0.237982343438815
"control1_B06",1,"Whsc1.1",56.7487804,50.5998126256711,0.0150356393696306
"control1_B07",1,"Whsc1.2",40.84316454,28.4463913703318,-0.56963125169159
"control1_B08",1,"Whsc1.3",44.57012573,33.2640460106195,-0.432633676040148
"control1_B09",1,"Whsc1.4",48.178403,38.2089056232141,-0.29999874557869
"control1_B10",1,"Cd4.1",36.22351376,22.9819088090498,-0.739442775062
"control1_B11",1,"Cd4.1",31.65922482,18.21454252824,-0.907219279156128
"control1_C02",1,"Mll2.1",49.90633527,40.6529137364643,-0.236482513503332
"control1_C03",1,"Mll2.2",55.19363362,48.3197829814201,-0.0421292538988573
"control1_C04",1,"Mll2.3",60.92268868,56.6890211148702,0.16846232835307
"control1_C05",1,"Mll2.4",57.37599801,51.5192528210088,0.0380912301298586
"control1_C06",1,"Brd8.1",57.3925228,51.5434677894529,0.0386986569456309
"control1_C07",1,"Brd8.2",47.33167189,37.0275665867532,-0.331123327613485
"control1_C08",1,"Brd8.3",50.2821878,41.1897448084499,-0.222666730942832
"control1_C09",1,"Brd8.4",38.55828911,25.6678363363794,-0.653619889785122
"control1_C10",1,"Cd4.2",43.72183723,32.138996670655,-0.463815505425659
"control1_C11",1,"Cd4.2",50.30610989,41.2239698036947,-0.221787390330617
"control1_D02",1,"Ncor1.1",39.5556193,26.8630716925795,-0.616959508528511
"control1_D03",1,"Ncor1.2",90.13868035,89.2955294599076,1.24239892843951
"control1_D04",1,"Ncor1.3",44.53307564,33.2145824459925,-0.433995582496616
"control1_D05",1,"Ncor1.4",29.72567272,16.3964519768733,-0.97829379176616
"control1_D06",1,"Cxxcl.1",55.20182756,48.3317884246015,-0.0418280567954249
"control1_D07",1,"Cxxcl.2",40.20247572,27.6529670683318,-0.593182024187556
"control1_D08",1,"Cxxcl.3",45.14099092,34.0298166068028,-0.411649516810468
"control1_D09",1,"Cxxcl.4",36.98815097,23.8438072631453,-0.711335843252795
"control1_D10",1,"Cd4.3",44.61438379,33.3231707504233,-0.431006815277738
"control1_D11",1,"Cd4.3",36.78684557,23.6151943078766,-0.718735531728098
"control1_E02",1,"Smarca4.1",69.35330725,68.3802782237106,0.478359385620798
"control1_E03",1,"Smarca4.2",103.0993093,95.7175737069079,1.71881246068451
"control1_E04",1,"Smarca4.3",60.85175969,56.5864502073438,0.165855083689649
"control1_E05",1,"Smarca4.4",60.45573365,56.0129579045878,0.151297752768036
"control1_E06",1,"Klf2.1",44.62478846,33.3370764681237,-0.430624355012448
"control1_E07",1,"Klf2.2",54.82991303,47.7870429722737,-0.0554990843060562
