"Position","Pool","shRNA","Percentage","precentile","z"
"1_B02",1,"Actl6b.1",93.3129667345553,85.2113192761822,1.04553967312762
"1_B03",1,"Asxl3.1",90.6304347826087,78.9700437452629,0.805382260928845
"1_B04",1,"Atad2.1",92.1809744779582,82.7465375330454,0.944196488463541
"1_B05",1,"Asxl2.1",89.5910780669145,76.1870518073311,0.712332402189455
"1_B06",1,"Aff4.1",90.9090909090909,79.6823697785231,0.830329339072961
"1_B07",1,"Aurkb.1",92.6272674078408,83.7479482162601,0.984151485102234
"1_B08",1,"Atm.1",88.9705882352941,74.4339509641672,0.65678218510836
"1_B09",1,"A2l.1",89.6513187304426,76.3536731208331,0.717725531561705
"1_B10",1,"Aff1.1",92.6057298772169,83.7005076282241,0.982223307651809
"1_B11",1,"Atr.1",92.2653832932279,82.9388945787951,0.951753305308621
"1_C02",1,"Atm.2",91.1117078410311,80.1911557954004,0.848468902334119
"1_C03",1,"Arid2.1",93.4509424842919,85.4947691515083,1.05789214444818
"1_C04",1,"Actl6b.2",90.3302395855817,78.1864870171467,0.778506867470739
"1_C05",1,"Atr.2",91.3896583564174,80.8764597889857,0.873352809661317
"1_C06",1,"Atad2b.1",92.1789810114683,82.7419780206661,0.944018020597325
"1_C07",1,"Atad2.2",92.4892703862661,83.442425289765,0.971797109390709
"1_C08",1,"Aff4.2",92.4306393244873,83.3115000265635,0.9665480818587
"1_C09",1,"Atrx.1",92.7372041270483,83.9887038338413,0.993993723130876
"1_C10",1,"Asxl3.2",92.6413082118735,83.7788273817722,0.985408507654839
"1_C11",1,"Asxl1.1",93.9337666357165,86.457727179601,1.10111764961656
"1_D02",1,"Aff1.2",92.5469168900804,83.5705025397225,0.976957992998564
"1_D03",1,"Atrx.2",92.6172776211228,83.7259549568417,0.983257135521468
"1_D04",1,"Asxl3.3",91.6730038022814,81.5599010961896,0.898719705659565
"1_D05",1,"A1l.1",90.9195402298851,79.7087980659874,0.831264829082445
"1_D06",1,"Arid2.2",92.9653989133543,84.4809565766055,1.01442317945729
"1_D07",1,"Atrx.3",92.1373200442968,82.6465141198698,0.940288264439772
"1_D08",1,"Atad2b.2",90.9232365145228,79.7181417430134,0.831595744116913
"1_D09",1,"A2l.2",92.7857935627081,84.0943652618431,0.998343760087485
"1_D10",1,"Actl6b.3",93.2642487046632,85.1103556596428,1.04117812359311
"1_D11",1,"Aurkb.2",93.8969484742371,86.3858768967472,1.09782145238901
"1_E02",1,"Asxl1.2",88.4130982367758,72.8032107798626,0.606872115901655
"1_E03",1,"Asxl2.2",81.25,48.6273414782028,-0.0344142384403042
"1_E04",1,"Actl6b.4",92.6570957872441,83.8135024701637,0.986821912346309
"1_E05",1,"Atm.3",90.3024911032028,78.1132192585671,0.776022645906957
"1_E06",1,"Atad2.3",93.0976430976431,84.7616071617976,1.02626252439187
"1_E07",1,"A1l.2",90.3128911138924,78.1406962706158,0.776953721360595
"1_E08",1,"Aff1.3",92.7012987012987,83.910330573045,0.990779239841809
"1_E09",1,"Atr.3",92,82.3294787674639,0.927994496062695
"1_E10",1,"Atad2b.3",95.5090979481223,89.2909642982638,1.24215138122544
"1_E11",1,"A2l.3",91.3404507710558,80.7562057876276,0.86894743199101
"1_F02",1,"Aff4.3",91.1378555798687,80.2562495750533,0.850809815101077
"1_F03",1,"Aurkb.3",92.1348314606742,82.6408010454237,0.940065470522105
"1_F04",1,"Atad2.4",80,44.1833508534198,-0.146322230824374
"1_F05",1,"A1l.3",91.9389978213508,82.18747371044,0.922533190987745
"1_F06",1,"Arid2.3",90.4290429042904,78.4462190345992,0.787352372300799
"1_F07",1,"Atm.4",93.2330827067669,85.0455260008115,1.03838794418893
"1_F08",1,"Asxl2.3",88.8438133874239,74.0676522912513,0.6454324901404
"1_F09",1,"Asxl1.3",85,61.8410842309405,0.301309738711905
"1_F10",1,"Arid2.4",93.1480284421461,84.867643907118,1.030773342591
"1_F11",1,"Atr.4",93.7766410912191,86.1492812716061,1.08705076622699
"1_G02",1,"Atad2b.4",87.166218174291,68.9785854908388,0.495243440272538
"1_G03",1,"Asxl1.4",90.9242298084929,79.7206522093468,0.831684670144146
"1_G04",1,"Aff1.4",92.5750394944708,83.6327507275931,0.979475708356917
"1_G05",1,"Aurkb.4",91.3705583756345,80.8298378639536,0.871642857258126
"1_G06",1,"Atrx.4",92.9722759509994,84.4956347021211,1.01503885583842
"1_G07",1,"A1l.4",93.7249179131704,86.0467066555618,1.08242017661487
"1_G08",1,"Aff4.4",85.9846244825547,65.153191130112,0.389459617987824
"1_G09",1,"Asxl3.4",93.569601753745,85.7355929427939,1.06851528094599
"1_G10",1,"A2l.4",91.272253582284,80.5887823777722,0.862841983605658
"1_G11",1,"Asxl2.4",90.1685393258427,77.7575444508302,0.76403042632244
"3_B02",1,"Brwd1.1",85.8463316002311,64.6942460516535,0.377078754930352
"3_B03",1,"Cbx7.1",87.3929961089494,69.6914250867848,0.515546050980239
"3_B04",1,"Cbx8.1",85.9147025813692,64.9214172880221,0.383199762319547
"3_B05",1,"Cbx6.1",89.5299145299145,76.0172217533696,0.706856651283232
"3_B06",1,"Carm1.1",83.381829938571,56.2157213649081,0.156440808383484
"3_B07",1,"Chd2.1",82.4299065420561,52.8388086719981,0.0712185394175584
"3_B08",1,"Chaf1b.1",85.1687388987567,62.4156735824794,0.316416323829474
"3_B09",1,"Cbx4.1",91.3680781758958,80.8237787408598,0.871420813919351
"3_B10",1,"Brwd3.1",92.289156626506,82.9928222525129,0.953881646108164
"3_B11",1,"Chd1.1",88.720073664825,73.7075257980797,0.634354518993036
"3_C02",1,"Chaf1b.2",77.8301886792453,36.6710792258817,-0.340577613830682
"3_C03",1,"Cbx1.1",81.8702290076336,50.8422094277171,0.0211126280098076
"3_C04",1,"Brwd1.2",84.9700322729368,61.7387606516512,0.29862683617434
"3_C05",1,"Chd1.2",89.7241992882562,76.554394774332,0.724250265088707
"3_C06",1,"Chaf1a.1",68.9180737961226,12.746691363266,-1.13844712140384
"3_C07",1,"Cbx8.2",87.7348066298343,70.751759202686,0.546147114314624
"3_C08",1,"Carm1.2",86.6851299531317,67.4427946139467,0.452173346680889
"3_C09",1,"Chd1l.1",75.9373394966615,30.5012568681,-0.510037575357707
"3_C10",1,"Cbx7.2",88.5147324113049,73.104318887977,0.615971057044987
"3_C11",1,"Cbx5.1",89.215990083669,75.1352534448445,0.67875212765154
"3_D02",1,"Brwd3.2",76.3481314271382,31.8013542971347,-0.473260855175927
"3_D03",1,"Chd1l.2",86.1553985872856,65.7168772185059,0.404748407757123
"3_D04",1,"Cbx7.3",83.5357142857143,56.7580462724182,0.170217519061996
"3_D05",1,"Cbx3.1",76.0990712074303,31.0103033339445,-0.495558318512124
"3_D06",1,"Cbx1.2",82.859480466353,54.3667127546664,0.109676743776449
"3_D07",1,"Chd1l.3",92.3287671232877,83.082432168007,0.957427831045905
"3_D08",1,"Chaf1a.2",87.646484375,70.4794295687625,0.538239941337552
"3_D09",1,"Cbx4.2",90.8496732026144,79.5317010968159,0.82500988607788
"3_D10",1,"Brwd1.3",84.8140753681058,61.204943409749,0.284664576879884
