Position,Pool,shRNA,Percentage
7_B02,1,Hdac7.1,1.597744361
7_B03,1,Ing4.1,2.378176731
7_B04,1,Ing5.1,0.725725726
7_B05,1,Ing3.1,2.674094708
7_B06,1,Hdac9.1,0
7_B07,1,Jmjd4.1,0.729483283
7_B08,1,Jarid2.1,1.263219741
7_B09,1,Hltf.1,2.39390642
7_B10,1,Hdac8.1,2.422611036
7_B11,1,Jhdm1d.1,1.386377336
7_C02,1,Jarid2.2,1.818181818
7_C03,1,Hells.1,1.715871814
7_C04,1,Hdac7.2,1.168614357
7_C05,1,Jhdm1d.2,1.770736253
7_C06,1,Ino80.1,0.775775776
7_C07,1,Ing5.2,1.611603546
7_C08,1,Hdac9.2,1.215153681
7_C09,1,Jmjd1c.1,0
7_C10,1,Ing4.2,1.182432432
7_C11,1,Ing2.1,1.623686724
7_D02,1,Hdac8.2,0.42989418
7_D03,1,Jmjd1c.2,1.412566975
7_D04,1,Ing4.3,0.99009901
7_D05,1,Hira.1,2.592971682
7_D06,1,Hells.2,1.028013364
7_D07,1,Jmjd1c.3,0
7_D08,1,Ino80.2,1.712328767
7_D09,1,Hltf.2,2.934537246
7_D10,1,Hdac7.3,1.854714065
7_D11,1,Jmjd4.2,0.729927007
7_E02,1,Ing2.2,1.167315175
7_E03,1,Ing3.2,1.356102461
7_E04,1,Hdac7.4,0.828088771
7_E05,1,Jarid2.3,1.40567201
7_E06,1,Ing5.3,1.10821382
7_E07,1,Hira.2,1.098901099
7_E08,1,Hdac8.3,1.70794193
7_E09,1,Jhdm1d.3,2.227722772
7_E10,1,Ino80.3,0.311623559
7_E11,1,Hltf.3,1.236217842
7_F02,1,Hdac9.3,0.490677134
7_F03,1,Jmjd4.3,0.782472613
7_F04,1,Ing5.4,1.487491548
7_F05,1,Hira.3,1.376146789
7_F06,1,Hells.3,0.368188513
7_F07,1,Jarid2.4,0.59347181
7_F08,1,Ing3.3,1.259445844
7_F09,1,Ing2.3,2.764976959
7_F10,1,Hells.4,0.967741935
7_F11,1,Jhdm1d.4,0.593548387
7_G02,1,Ino80.4,1.092150171
7_G03,1,Ing2.4,0.956388676
7_G04,1,Hdac8.4,0.520632472
7_G05,1,Jmjd4.4,0.600885515
7_G06,1,Jmjd1c.4,1.415571284
7_G07,1,Hira.4,1.086587436
7_G08,1,Hdac9.4,0
7_G09,1,Ing4.4,1.603017445
7_G10,1,Hltf.4,0.553797468
7_G11,1,Ing3.4,3.266157054
3_B02,1,Brwd1.1,1.566364386
3_B03,1,Cbx7.1,1.158940397
3_B04,1,Cbx8.1,0.828025478
3_B05,1,Cbx6.1,1.762114537
3_B06,1,Carm1.1,1.50801131
3_B07,1,Chd2.1,1.090047393
3_B08,1,Chaf1b.1,1.679306609
3_B09,1,Cbx4.1,0.871898055
3_B10,1,Brwd3.1,0.758396533
3_B11,1,Chd1.1,0.547945205
3_C02,1,Chaf1b.2,8.139534884
3_C03,1,Cbx1.1,1.436781609
3_C04,1,Brwd1.2,0.243309002
3_C05,1,Chd1.2,1.919720768
3_C06,1,Chaf1a.1,6.515151515
3_C07,1,Cbx8.2,0.847970927
3_C08,1,Carm1.2,1.007787448
3_C09,1,Chd1l.1,0.516224189
3_C10,1,Cbx7.2,0.707964602
3_C11,1,Cbx5.1,0.363372093
3_D02,1,Brwd3.2,0.782268579
3_D03,1,Chd1l.2,2.081665332
3_D04,1,Cbx7.3,0.617283951
3_D05,1,Cbx3.1,0.838926174
3_D06,1,Cbx1.2,0.200400802
3_D07,1,Chd1l.3,0
3_D08,1,Chaf1a.2,1.760176018
3_D09,1,Cbx4.2,0.848563969
3_D10,1,Brwd1.3,0.389264495
3_D11,1,Chd2.2,0.741198271
3_E02,1,Cbx5.2,0.176366843
3_E03,1,Cbx6.2,0.670241287
3_E04,1,Brwd1.4,0.687285223
3_E05,1,Chaf1b.3,0.744416873
