Position,Pool,shRNA,GeoMean
1_B02,1,Actl6b.1,392.953229034603
1_B03,1,Asxl3.1,412.563865640843
1_B04,1,Atad2.1,531.062378026309
1_B05,1,Asxl2.1,293.989704947892
1_B06,1,Aff4.1,358.275868719192
1_B07,1,Aurkb.1,462.86533351845
1_B08,1,Atm.1,362.763599468391
1_B09,1,A2l.1,400.620126326761
1_B10,1,Aff1.1,694.486527829881
1_B11,1,Atr.1,649.047692488715
1_C02,1,Atm.2,493.953631050664
1_C03,1,Arid2.1,514.628898927059
1_C04,1,Actl6b.2,452.728652190723
1_C05,1,Atr.2,473.285577559289
1_C06,1,Atad2b.1,434.264786849044
1_C07,1,Atad2.2,374.567219352083
1_C08,1,Aff4.2,601.805733446762
1_C09,1,Atrx.1,434.271119457553
1_C10,1,Asxl3.2,532.206994265546
1_C11,1,Asxl1.1,469.933020725153
1_D02,1,Aff1.2,551.458468686353
1_D03,1,Atrx.2,414.300589309655
1_D04,1,Asxl3.3,346.988810236641
1_D05,1,A1l.1,353.975803371688
1_D06,1,Arid2.2,582.17320749858
1_D07,1,Atrx.3,485.297723798142
1_D08,1,Atad2b.2,400.61312043925
1_D09,1,A2l.2,495.481929306361
1_D10,1,Actl6b.3,560.654760575955
1_D11,1,Aurkb.2,543.985326357952
1_E02,1,Asxl1.2,261.797589083589
1_E03,1,Asxl2.2,114.724518492412
1_E04,1,Actl6b.4,576.721341673049
1_E05,1,Atm.3,402.462339088243
1_E06,1,Atad2.3,432.452671192476
1_E07,1,A1l.2,307.747394620791
1_E08,1,Aff1.3,471.528014251085
1_E09,1,Atr.3,454.115509803408
1_E10,1,Atad2b.3,738.909755516834
1_E11,1,A2l.3,426.615554134466
1_F02,1,Aff4.3,417.246685107572
1_F03,1,Aurkb.3,499.164899061477
1_F04,1,Atad2.4,906.510023463185
1_F05,1,A1l.3,490.207029991178
1_F06,1,Arid2.3,462.362315071823
1_F07,1,Atm.4,369.098386860254
1_F08,1,Asxl2.3,277.910481069066
1_F09,1,Asxl1.3,174.921197937095
1_F10,1,Arid2.4,718.856205418946
1_F11,1,Atr.4,674.418388339342
1_G02,1,Atad2b.4,338.796005218093
1_G03,1,Asxl1.4,445.101857931516
1_G04,1,Aff1.4,509.992548712835
1_G05,1,Aurkb.4,409.470853561309
1_G06,1,Atrx.4,395.362057348099
1_G07,1,A1l.4,526.972185648097
1_G08,1,Aff4.4,227.885176009459
1_G09,1,Asxl3.4,621.613516229695
1_G10,1,A2l.4,538.051587626303
