Position,Pool,shRNA,GeoMean
9_B02,2,Kdm5b.1,608.8143108
9_B03,2,L3mbtl4.1,230.3067949
9_B04,2,Mbd1.1,638.3928612
9_B05,2,L3mbtl3.1,595.2634771
9_B06,2,Kdm5d.1,497.6313466
9_B07,2,Men1.1,435.5183804
9_B08,2,Mbd3.1,492.0383221
9_B09,2,L3mbtl1.1,317.1550345
9_B10,2,Kdm5c.1,498.766726
9_B11,2,Mbd4.1,385.6163412
9_C02,2,Mbd3.2,355.4435167
9_C03,2,Kdm6a.1,122.8921713
9_C04,2,Kdm5b.2,410.2320484
9_C05,2,Mbd4.2,330.5026304
9_C06,2,Mbd2.1,378.7726593
9_C07,2,Mbd1.2,575.8615286
9_C08,2,Kdm5d.2,317.3239529
9_C09,2,Mecom.1,402.4199065
9_C10,2,L3mbtl4.2,301.8313447
9_C11,2,L3mbtl2.1,368.0794548
9_D02,2,Kdm5c.2,518.8938177
9_D03,2,Mecom.2,582.6066922
9_D04,2,L3mbtl4.3,633.4583234
9_D05,2,Kdm6b.1,832.364406
9_D06,2,Kdm6a.2,871.6975979
9_D07,2,Mecom.3,455.3807846
9_D08,2,Mbd2.2,964.9982438
9_D09,2,L3mbtl1.2,386.4715532
9_D10,2,Kdm5b.3,597.3210287
9_D11,2,Men1.2,591.3057045
9_E02,2,L3mbtl2.2,332.0911142
9_E03,2,L3mbtl3.2,706.8695338
9_E04,2,Kdm5b.4,452.2493885
9_E05,2,Mbd3.3,962.7740177
9_E06,2,Mbd1.3,613.4211333
9_E07,2,Kdm6b.2,801.0292813
9_E08,2,Kdm5c.3,691.0481944
9_E09,2,Mbd4.3,604.954182
9_E10,2,Mbd2.3,796.9765341
9_E11,2,L3mbtl1.3,393.3924351
9_F02,2,Kdm5d.3,220.2399664
9_F03,2,Men1.3,218.7029775
9_F04,2,Mbd1.4,341.8704284
9_F05,2,Kdm6b.3,455.8959985
9_F06,2,Kdm6a.3,436.197489
9_F07,2,Mbd3.4,394.1068355
9_F08,2,L3mbtl3.3,266.7892051
9_F09,2,L3mbtl2.3,434.7679597
9_F10,2,Kdm6a.4,432.36386
9_F11,2,Mbd4.4,262.4852293
9_G02,2,Mbd2.4,381.0216405
9_G03,2,L3mbtl2.4,529.0934414
9_G04,2,Kdm5c.4,160.8628431
9_G05,2,Men1.4,281.8323418
9_G06,2,Mecom.4,275.5544712
