"Position","Pool","shRNA","GeoMean","precentile","z"
"7_B02",1,"Hdac7.1",1812.425631,32.7051682596976,-0.448069048170715
"7_B03",1,"Ing4.1",2162.70803,46.2936197201277,-0.0930392311776481
"7_B04",1,"Ing5.1",2057.503322,42.0869420721195,-0.199669790790919
"7_B05",1,"Ing3.1",1620.687215,26.0304764456304,-0.642406117168067
"7_B06",1,"Hdac9.1",1966.501728,38.5179729646885,-0.291904739952317
"7_B07",1,"Jmjd4.1",2367.495205,54.5588570132849,0.114523448164335
"7_B08",1,"Jarid2.1",2571.238748,62.5905546965393,0.32102835104074
"7_B09",1,"Hltf.1",2822.326602,71.7529904761484,0.575519227856968
"7_B10",1,"Hdac8.1",2368.477665,54.5983207859625,0.115519223558698
"7_B11",1,"Jhdm1d.1",2191.345226,47.4479574701862,-0.0640139119378006
"7_C02",1,"Jarid2.2",2854.065387,72.8302845462331,0.607688172292376
"7_C03",1,"Hells.1",1681.389988,28.0660453157791,-0.580880632442921
"7_C04",1,"Hdac7.2",2230.360244,49.0238809130326,-0.0244701188723624
"7_C05",1,"Jhdm1d.2",2351.197616,53.9035828961919,0.098004976049787
"7_C06",1,"Ino80.1",2060.330333,42.1990278451133,-0.196804464982849
"7_C07",1,"Ing5.2",2350.774062,53.8865382184201,0.0975756815732847
"7_C08",1,"Hdac9.2",1628.332563,26.2826022784455,-0.634657150879617
"7_C09",1,"Jmjd1c.1",568.0970627,4.37012009229831,-1.70926214592267
"7_C10",1,"Ing4.2",2075.747948,42.8113973029992,-0.181177893258017
"7_C11",1,"Ing2.1",1466.640909,21.227852831055,-0.798540230625586
"7_D02",1,"Hdac8.2",2358.692996,54.205090798444,0.105601941804534
"7_D03",1,"Jmjd1c.2",2338.854697,53.4065974216935,0.0854947720365669
"7_D04",1,"Ing4.3",1491.87597,21.9772092974216,-0.772963155916106
"7_D05",1,"Hira.1",2550.481694,61.7907598495625,0.299989974279665
"7_D06",1,"Hells.2",2078.026694,42.9020571600799,-0.178868263149101
"7_D07",1,"Jmjd1c.3",1835.57946,33.556363152444,-0.424601412639994
"7_D08",1,"Ino80.2",1627.205163,26.245344892958,-0.635799830662616
"7_D09",1,"Hltf.2",3159.432085,82.0479384477429,0.917193540578715
"7_D10",1,"Hdac7.3",2081.709685,43.0486638698874,-0.175135356144782
"7_D11",1,"Jmjd4.2",2297.929978,51.7553934065513,0.0440153955719141
"7_E02",1,"Ing2.2",2016.652105,40.4748622508384,-0.241074669074438
"7_E03",1,"Ing3.2",2063.982323,42.3439159777026,-0.193102979138678
"7_E04",1,"Hdac7.4",1965.159706,38.4659820928108,-0.293264950532183
"7_E05",1,"Jarid2.3",2483.279452,59.1683199259597,0.2318769324971
"7_E06",1,"Ing5.3",2447.570119,57.7571099700877,0.195683626763989
"7_E07",1,"Hira.2",1769.795335,31.1615230918296,-0.491277117518329
"7_E08",1,"Hdac8.3",2362.355744,54.3523410070205,0.109314331453126
"7_E09",1,"Jhdm1d.3",1971.111287,38.6967072175119,-0.287232707064393
"7_E10",1,"Ino80.3",2521.219842,60.6547395855941,0.270331533004577
"7_E11",1,"Hltf.3",2119.141693,44.5437925290402,-0.137196027797533
"7_F02",1,"Hdac9.3",2233.221248,49.1395346896074,-0.0215703393532197
