"Position","Pool","shRNA","Percentage","precentile","z"
"6_B02",1,"Fbxw9.1",29.27631579,58.7270230798122,0.220528551974361
"6_B03",1,"Hcfc1.1",33.26572008,76.0398139220043,0.707583855401638
"6_B04",1,"Hdac1.1",27.16366752,48.5083508765728,-0.0373988149659202
"6_B05",1,"Hat1.1",23.48218766,31.3178603841979,-0.486860478896128
"6_B06",1,"Gadd45a.1",26.68863262,46.2000739007391,-0.0953945081921003
"6_B07",1,"Hdac6.1",19.62616822,16.9124381324139,-0.957631195987496
"6_B08",1,"Hdac2.1",18.04820694,12.5014259809872,-1.15028011150438
"6_B09",1,"Gtf2f1.1",21.82361734,24.5301290909258,-0.689350728502562
"6_B10",1,"Fkbp1a.1",19.2281652,15.7154328303675,-1.00622228066572
"6_B11",1,"Hdac3.1",25.25951557,39.3629578140741,-0.269871444552151
"6_C02",1,"Hdac2.2",28.63636364,55.6617403744533,0.142398569165026
"6_C03",1,"Gadd45b.1",29.66442953,60.5616580196706,0.267912281889585
"6_C04",1,"Fbxw9.2",26.15830116,43.638492153936,-0.160141205039747
"6_C05",1,"Hdac3.2",18.3745583,13.3405428403058,-1.11043677923867
"6_C06",1,"Hdac10.1",26.30744849,44.3566771537486,-0.141932221244696
"6_C07",1,"Hdac1.2",18.93287435,14.8642442450378,-1.04227352142529
"6_C08",1,"Gadd45a.2",20.10582011,18.4307201570782,-0.899071827259435
"6_C09",1,"Hdac4.1",21.75925926,24.2836307812467,-0.697208027964782
"6_C10",1,"Hcfc1.2",25.96153846,42.694262868081,-0.184163417276269
"6_C11",1,"Gtf3c4.1",22.08201893,25.5332300501477,-0.657803195168069
"6_D02",1,"Fkbp1a.2",27.60736196,50.6690191164984,0.0167706084351848
"6_D03",1,"Hdac4.2",33.02207131,75.1062619373562,0.677837452937617
"6_D04",1,"Hcfc1.3",29.42345924,59.4250584455154,0.23849288761884
"6_D05",1,"Gtf2b.1",25.55970149,40.7794287141532,-0.233222578274877
"6_D06",1,"Gadd45b.2",25.06082725,38.4329761204828,-0.294128750392933
"6_D07",1,"Hdac4.3",24.36708861,35.2408770832472,-0.378825376566267
"6_D08",1,"Hdac10.2",36.30454968,85.9613866834411,1.07858613175699
"6_D09",1,"Gtf2f1.2",32.81114012,74.2826974808837,0.652085449059432
"6_D10",1,"Fbxw9.3",30.26819923,63.3683383111217,0.3416248497461
"6_D11",1,"Hdac6.2",19.87041037,17.6752458479571,-0.927812349405271
"6_E02",1,"Gtf3c4.2",27.01181767,47.7695702086081,-0.0559377419311632
"6_E03",1,"Hat1.2",31.57439446,69.1847727197922,0.501094602079201
"6_E04",1,"Fbxw9.4",29.23219241,58.5171559292661,0.215141650905445
"6_E05",1,"Hdac2.3",30.40115998,63.9775080790366,0.357857658889434
"6_E06",1,"Hdac1.3",31.93181818,70.7030892169685,0.544731472584673
"6_E07",1,"Gtf2b.2",32.22003929,71.9015577289959,0.579919588398626
"6_E08",1,"Fkbp1a.3",26.87022901,47.0813970542269,-0.0732239086731561
"6_E09",1,"Hdac3.3",28.5814116,55.3966675848839,0.135689627034684
"6_E10",1,"Hdac10.3",29.38254081,59.2312355401732,0.233497270005109
"6_E11",1,"Gtf2f1.3",28.59315589,55.4533393342802,0.137123454822914
"6_F02",1,"Gadd45a.3",27.09302326,48.1645729161399,-0.0460235767069009
"6_F03",1,"Hdac6.3",34.57943925,80.7295219989078,0.867972184698437
"6_F04",1,"Hdac1.4",29.49308756,59.7543417655467,0.24699361606337
"6_F05",1,"Gtf2b.3",35.82677165,84.6196357812252,1.02025553739836
"6_F06",1,"Gadd45b.3",26.64700098,45.9982741638482,-0.100477199636335
"6_F07",1,"Hdac2.4",24.89063867,37.6416284377685,-0.314906602033474
"6_F08",1,"Hat1.3",34.68667255,81.0858409780305,0.881064000837484
"6_F09",1,"Gtf3c4.3",32.55687974,73.2714500339727,0.621043504566402
"6_F10",1,"Gadd45b.4",25.61837456,41.0577631696752,-0.226059345913721
"6_F11",1,"Hdac3.4",25.19201229,39.046291092189,-0.278112732757799
"6_G02",1,"Hdac10.4",33.44370861,76.7095189088895,0.729313981301143
"6_G03",1,"Gtf3c4.4",35.73180703,84.3431515978477,1.00866157036802
"6_G04",1,"Fkbp1a.4",38.54166667,91.1765873909517,1.35170953945422
"6_G05",1,"Hdac6.4",30.89233754,66.1962159108316,0.417824164696362
"6_G06",1,"Hdac4.4",28.0334728,52.7422923917389,0.0687932988880123
"6_G07",1,"Gtf2b.4",20.32258065,19.1438352689262,-0.872608134209975
"6_G08",1,"Gadd45a.4",32.99565847,75.003909518368,0.674612782569456
"6_G09",1,"Hcfc1.4",23.88059701,33.0613483272704,-0.438219786515333
"6_G10",1,"Gtf2f1.4",19.1323693,15.435852598965,-1.01791773636535
"6_G11",1,"Hat1.4",26.34408602,44.5333901611045,-0.137459246837036
"1_B02",1,"Actl6b.1",25.03467406,38.3110450111918,-0.297321720812845
"1_B03",1,"Asxl3.1",31.66869671,69.5887117821623,0.51260770219361
"1_B04",1,"Atad2.1",34.44003964,80.2602344991632,0.850953272998667
"1_B05",1,"Asxl2.1",34.88636364,81.7384821772737,0.905443732085949
"1_B06",1,"Aff4.1",29.36660269,59.1556781940571,0.231551429145581
"1_B07",1,"Aurkb.1",30.1050175,62.6160937294053,0.321702444985528
"1_B08",1,"Atm.1",30.98177543,66.5945009362117,0.428743388591778
"1_B09",1,"A2l.1",29.06038101,57.697692010678,0.194165673672698
"1_B10",1,"Aff1.1",28.57762359,55.378386289094,0.135227159401469
"1_B11",1,"Atr.1",25.35094963,39.7930075046893,-0.258708513798676
"1_C02",1,"Atm.2",24.92233345,37.7886218661475,-0.311037074262459
"1_C03",1,"Arid2.1",28.5054678,55.0299416998484,0.12641785915567
"1_C04",1,"Actl6b.2",31.30553657,68.0204414894401,0.468270488082781
"1_C05",1,"Atr.2",26.70157068,46.262808326752,-0.0938149363360074
"1_C06",1,"Atad2b.1",31.195801,67.5399759393232,0.454873176740561
"1_C07",1,"Atad2.2",37.62318841,89.2433698021942,1.23957507648766
"1_C08",1,"Aff4.2",25.18714223,39.0234728045177,-0.278707304873981
"1_C09",1,"Atrx.1",25.91695502,42.4808752240752,-0.189606485794409
"1_C10",1,"Asxl3.2",22.08920188,25.5614169714285,-0.656926248727589
"1_C11",1,"Asxl1.1",27.98315395,52.4977397338081,0.0626500100726133
"1_D02",1,"Aff1.2",19.80558931,17.4707095697159,-0.935726172811416
"1_D03",1,"Atrx.2",25.48828125,40.4412522768722,-0.241942077261541
"1_D04",1,"Asxl3.3",29.51724138,59.8684087832164,0.2499424889461
"1_D05",1,"A1l.1",28.48189415,54.9160177067416,0.123539817618888
"1_D06",1,"Arid2.2",28.40150856,54.5272405817688,0.113725763920001
"1_D07",1,"Atrx.3",24.79108635,37.181099958515,-0.327060668630843
