"Position","Pool","shRNA","Percentage","precentile","z"
"7_B02",1,"Hdac7.1",12.5,30.342263429678,-0.514581824595316
"7_B03",1,"Ing4.1",29.65726277,94.1058922744249,1.56372504060406
"7_B04",1,"Ing5.1",13.96396396,36.7965050836379,-0.337247806386275
"7_B05",1,"Ing3.1",22.89693593,77.1812112335668,0.744827884868328
"7_B06",1,"Hdac9.1",25,84.1242582241296,0.999577873443292
"7_B07",1,"Jmjd4.1",18.8449848,60.025368761479,0.254003796910889
"7_B08",1,"Jarid2.1",22.12103408,74.2425350761489,0.650840739996041
"7_B09",1,"Hltf.1",24.7007617,83.2309105789556,0.963330307525725
"7_B10",1,"Hdac8.1",27.83310902,91.032518807886,1.34276023330198
"7_B11",1,"Jhdm1d.1",13.92405063,36.6144358713326,-0.342082618842316
"7_C02",1,"Jarid2.2",17.09090909,51.656240955095,0.0415277371196523
"7_C03",1,"Hells.1",26.39414585,87.868828508683,1.16845463018391
"7_C04",1,"Hdac7.2",17.76293823,54.8919722183904,0.122932492295296
"7_C05",1,"Jhdm1d.2",19.47809879,62.9562428816271,0.330694651944682
"7_C06",1,"Ino80.1",17.36736737,52.9898967817345,0.0750158959808581
"7_C07",1,"Ing5.2",21.91780822,73.4415798532934,0.626223427451142
"7_C08",1,"Hdac9.2",17.86990708,55.4045850266154,0.135889926024539
"7_C09",1,"Jmjd1c.1",16.66666667,49.6065724986156,-0.00986192484533704
"7_C10",1,"Ing4.2",14.97747748,41.508712150176,-0.214478100354176
"7_C11",1,"Ing2.1",16.80993314,50.2988983380635,0.00749234035100316
"7_D02",1,"Hdac8.2",13.16137566,33.1974475237259,-0.434467555024461
"7_D03",1,"Jmjd1c.2",21.91914272,73.4468803038051,0.626385079140504
"7_D04",1,"Ing4.3",35.27227723,98.7580174176928,2.24388732854294
"7_D05",1,"Hira.1",22.38143978,75.250204297988,0.682384405282403
"7_D06",1,"Hells.2",21.43407864,71.4856177860623,0.56762792066833
"7_D07",1,"Jmjd1c.3",25,84.1242582241296,0.999577873443292
"7_D08",1,"Ino80.2",21.33072407,71.0589705214317,0.555108294708161
"7_D09",1,"Hltf.2",32.50564334,97.1853295295008,1.90875728570568
"7_D10",1,"Hdac7.3",15.30139104,43.0444917965569,-0.175241551698159
"7_D11",1,"Jmjd4.2",20.1946472,66.1840767480986,0.417492149873934
"7_E02",1,"Ing2.2",22.27626459,74.8457698286055,0.669644242567879
"7_E03",1,"Ing3.2",31.59216474,96.3919821884814,1.79810508721442
"7_E04",1,"Hdac7.4",18.08545876,56.4347190935804,0.16200029936058
"7_E05",1,"Jarid2.3",24.5622688,82.8067024201796,0.946554278114165
"7_E06",1,"Ing5.3",24.57627119,82.849900932053,0.948250426483303
"7_E07",1,"Hira.2",26.79628064,88.8229531715398,1.21716633355969
"7_E08",1,"Hdac8.3",25.44833476,85.4032422153132,1.05388590742904
"7_E09",1,"Jhdm1d.3",19.55445545,63.3050629467755,0.339943946124589
"7_E10",1,"Ino80.3",10.81333749,23.610375261265,-0.718891936342087
"7_E11",1,"Hltf.3",17.97527564,55.9086477274199,0.148653512183928
"7_F02",1,"Hdac9.3",16.68302257,49.6856092390964,-0.00788068927692541
"7_F03",1,"Jmjd4.3",13.8028169,36.0632748162301,-0.356767997083028
"7_F04",1,"Ing5.4",28.32995267,91.9683272956871,1.4029442837865
"7_F05",1,"Hira.3",12.7930683,31.594027248635,-0.479081647904701
"7_F06",1,"Hells.3",17.23122239,52.3334487163614,0.0585242766363562
"7_F07",1,"Jarid2.4",14.28897512,38.2898024401099,-0.297878302395493
"7_F08",1,"Ing3.3",19.89924433,64.8661455028563,0.381709180238818
"7_F09",1,"Ing2.3",31.23399898,96.0346348378101,1.75471947449367
"7_F10",1,"Hells.4",18.14516129,56.7193011239348,0.169232232544335
"7_F11",1,"Jhdm1d.4",17.85806452,55.3478763314849,0.13445540385865
"7_G02",1,"Ino80.4",14.08418658,37.346694194397,-0.322684906706546
"7_G03",1,"Ing2.4",25.74598317,86.2130407547236,1.08994088555762
"7_G04",1,"Hdac8.4",20.74816815,68.5999253807198,0.484541679034737
"7_G05",1,"Jmjd4.4",13.21948134,33.4533425122431,-0.427429052713811
"7_G06",1,"Jmjd1c.4",27.1991911,89.7238445801855,1.26597199599571
"7_G07",1,"Hira.4",15.65365025,44.7266169875191,-0.132571415774565
"7_G08",1,"Hdac9.4",20,65.3177730950989,0.393913994227849
"7_G09",1,"Ing4.4",20.27345592,66.5324345693769,0.427038468888174
