"Position","Pool","shRNA","GeoMean","precentile","z"
"control1_B02",1,"Bptf.1",18.20539099,45.6962822831894,-0.108088304237602
"control1_B03",1,"Bptf.2",24.13411387,46.9938271477429,-0.0754250324048012
"control1_B04",1,"Bptf.3",22.13182205,46.5551841825025,-0.0864563123834756
"control1_B05",1,"Bptf.4",24.81863161,47.1438711740713,-0.0716538004770248
"control1_B06",1,"Whsc1.1",19.33188772,45.9425142722192,-0.101882065616654
"control1_B07",1,"Whsc1.2",17.59126913,45.5621152026748,-0.111471702257319
"control1_B08",1,"Whsc1.3",19.35639232,45.9478723032502,-0.101747061767233
"control1_B09",1,"Whsc1.4",15.93791842,45.2011636989984,-0.120580551628212
"control1_B10",1,"Cd4.1",20.28780984,46.1515842353417,-0.096615578265411
"control1_B11",1,"Cd4.1",144.3322377,72.1326183059602,0.586785712120996
"control1_C02",1,"Mll2.1",16.83043372,45.3959659747888,-0.115663393169486
"control1_C03",1,"Mll2.2",15.72219735,45.1540971131774,-0.121769029499769
"control1_C04",1,"Mll2.3",21.23549245,46.3589571844898,-0.0913944850674021
"control1_C05",1,"Mll2.4",17.39920206,45.5201646624236,-0.112529862512828
"control1_C06",1,"Brd8.1",33.8718626,49.1313083163941,-0.0217765923873957
"control1_C07",1,"Brd8.2",18.62543397,45.7880773434288,-0.105774150192136
"control1_C08",1,"Brd8.3",24.87860381,47.1570188448819,-0.0713233940285097
"control1_C09",1,"Brd8.4",22.29410244,46.5907201595428,-0.085562256682275
"control1_C10",1,"Cd4.2",21.39729269,46.3943725374606,-0.0905030746694628
"control1_C11",1,"Cd4.2",493.4573663,99.3967374925435,2.51023013850702
"control1_D02",1,"Ncor1.1",19.94311862,46.076184166282,-0.0985145948403331
"control1_D03",1,"Ncor1.2",13.69449177,44.7120288704781,-0.132940322187415
"control1_D04",1,"Ncor1.3",21.89692227,46.5037509660984,-0.087750452035961
"control1_D05",1,"Ncor1.4",24.16323029,47.0002085168297,-0.0752646205318721
"control1_D06",1,"Cxxcl.1",31.57967316,48.6277092985246,-0.0344050130922263
"control1_D07",1,"Cxxcl.2",44.50245713,51.4674105922597,0.036790826921242
"control1_D08",1,"Cxxcl.3",25.38369044,47.2677608483931,-0.0685407067232121
"control1_D09",1,"Cxxcl.4",31.47179629,48.6040132771417,-0.0349993420228579
"control1_D10",1,"Cd4.3",22.18405219,46.5666211813407,-0.0861685594735799
"control1_D11",1,"Cd4.3",171.1110167,76.8622755592979,0.734318756847737
"control1_E02",1,"Smarca4.1",45.28371075,51.6389923028127,0.0410950084249016
"control1_E03",1,"Smarca4.2",29.28529971,48.1238495409009,-0.0470454662218742
"control1_E04",1,"Smarca4.3",25.0085737,47.1855131303165,-0.0706073474307727
"control1_E05",1,"Smarca4.4",23.39512777,46.8318918017397,-0.0794963483278961
"control1_E06",1,"Klf2.1",24.63999185,47.1047099325879,-0.0726379852937431
"control1_E07",1,"Klf2.2",23.99339057,46.9629862839836,-0.0762003230524067
"control1_E08",1,"Klf2.3",20.58138489,46.215813730908,-0.094998177375613
"control1_E09",1,"Klf2.4",20.41811284,46.1800912055847,-0.0958976964558248
"control1_E10",1,"Cd4.4",21.78055372,46.4782732841154,-0.0883915644067653
"control1_E11",1,"Cd4.4",234.0372637,86.0151446665956,1.08100001565857
"control1_F02",1,"Runx3.1",33.58467355,49.0682030160009,-0.0233588107162702
"control1_F03",1,"Runx3.2",102.9049913,64.0033924501701,0.358549473417322
"control1_F04",1,"Runx3.3",95.7283961,62.5141014810256,0.319011265173125
"control1_F05",1,"Empty",44.85131527,51.5440316099544,0.0387128004201797
"control1_F06",1,"Sp140.1",26.71676034,47.5601402752173,-0.061196389001311
"control1_F07",1,"Sp140.2",22.92327386,46.7285208545566,-0.0820959457183715
"control1_F08",1,"Sp140.3",23.06086669,46.7586616256328,-0.0813379018530232
"control1_F09",1,"Sp140.4",26.69851319,47.5561372429619,-0.0612969185137688
