"Position","Pool","shRNA","GeoMean","precentile","z"
"control1_B02",1,"Bptf.1",2219.571992,25.4043192307384,-0.661820315642384
"control1_B03",1,"Bptf.2",1776.757144,10.5055974760454,-1.25325766633975
"control1_B04",1,"Bptf.3",1821.397283,11.6310407642271,-1.19363490151114
"control1_B05",1,"Bptf.4",1616.998452,7.12375005602977,-1.46663636846348
"control1_B06",1,"Whsc1.1",968.0670869,0.981438342122894,-2.33336938135281
"control1_B07",1,"Whsc1.2",1273.919964,2.712326747236,-1.92486271959067
"control1_B08",1,"Whsc1.3",858.4257167,0.657262366812362,-2.47980982211671
"control1_B09",1,"Whsc1.4",730.7340137,0.402031584811198,-2.6503588515123
"control1_B10",1,"Cd4.1",1801.162375,11.1107147461444,-1.22066127705653
"control1_B11",1,"Cd4.1",2677.162783,47.9803104852395,-0.0506477536677831
"control1_C02",1,"Mll2.1",2480.500187,37.7020121712121,-0.313316463366305
"control1_C03",1,"Mll2.2",2062.910765,19.186016513772,-0.871061946704129
"control1_C04",1,"Mll2.3",1630.686694,7.37590468463089,-1.44835392463679
"control1_C05",1,"Mll2.4",2269.394744,27.5829668025405,-0.595275490913896
"control1_C06",1,"Brd8.1",1895.000426,13.6686429156221,-1.09532824333214
"control1_C07",1,"Brd8.2",1806.469596,11.2455452013051,-1.21357278681737
"control1_C08",1,"Brd8.3",1761.536007,10.1404823577688,-1.27358749263745
"control1_C09",1,"Brd8.4",1320.716937,3.12762366325314,-1.86235921986209
"control1_C10",1,"Cd4.2",936.1829354,0.875180220354911,-2.37595485060156
"control1_C11",1,"Cd4.2",2074.207306,19.6006098910055,-0.855973933483118
"control1_D02",1,"Ncor1.1",1220.56128,2.29598738079105,-1.99613024561016
"control1_D03",1,"Ncor1.2",535.7568631,0.180265946760879,-2.91077642765777
"control1_D04",1,"Ncor1.3",1145.348962,1.80151123816854,-2.09658616821221
"control1_D05",1,"Ncor1.4",1409.995814,4.06567154553347,-1.74311556142425
"control1_D06",1,"Cxxcl.1",954.6561778,0.935443925343354,-2.35128141069052
"control1_D07",1,"Cxxcl.2",1256.171525,2.56735130293462,-1.94856808942771
"control1_D08",1,"Cxxcl.3",1059.495677,1.35091091573234,-2.21125449891161
"control1_D09",1,"Cxxcl.4",716.159881,0.379454488705653,-2.66982451864548
"control1_D10",1,"Cd4.3",1883.730577,13.3417525920576,-1.11038060588372
"control1_D11",1,"Cd4.3",2800.486609,54.5407818795851,0.114067402693241
"control1_E02",1,"Smarca4.1",1172.369989,1.96755720175075,-2.06049604003746
"control1_E03",1,"Smarca4.2",1158.683131,1.88189426831182,-2.0787766353505
"control1_E04",1,"Smarca4.3",1201.651225,2.16198542006475,-2.02138710608188
"control1_E05",1,"Smarca4.4",1636.31165,7.48147955875214,-1.44084105760116
"control1_E06",1,"Klf2.1",1530.788719,5.68498118219705,-1.58178078225208
"control1_E07",1,"Klf2.2",1702.228871,8.80597732468647,-1.3527999570607
"control1_E08",1,"Klf2.3",1882.485884,13.3059819051894,-1.11204305675609
"control1_E09",1,"Klf2.4",1874.295163,13.0722391306722,-1.12298283971599
"control1_E10",1,"Cd4.4",1352.162259,3.43521101179715,-1.82035986500869
"control1_E11",1,"Cd4.4",2516.759551,39.5548131983888,-0.264887323559928
"control1_F02",1,"Runx3.1",1083.620389,1.46646165943613,-2.17903277957211
"control1_F03",1,"Runx3.2",3286.615443,77.7374522980833,0.763356266824917
"control1_F04",1,"Runx3.3",2581.77981,42.9344118679954,-0.178044233500272
"control1_F06",1,"Sp140.1",1808.287059,11.2919856179799,-1.21114532643169
"control1_F07",1,"Sp140.2",2092.434673,20.2809224265661,-0.831628892440888
"control1_F08",1,"Sp140.3",1433.720805,4.35010916438968,-1.71142772194521
"control1_F09",1,"Sp140.4",1727.852616,9.3655437036958,-1.31857608239572
"control1_G02",1,"Smarce1.1",1295.884528,2.90113645858105,-1.89552616143311
"control1_G03",1,"Smarce1.2",824.8954647,0.579160319198381,-2.52459387464038
"control1_G04",1,"Smarce1.3",682.8998424,0.332132421829832,-2.71424766570688
"control1_G05",1,"Smarce1.4",1017.635694,1.16901045390979,-2.26716400049579
"control1_G06",1,"Wdr82.1",856.0694651,0.651484248010956,-2.48295690539581
"control1_G07",1,"Wdr82.2",848.5777931,0.633410202617405,-2.49296301666328
"control1_G08",1,"Wdr82.3",1439.409992,4.42065130578516,-1.70382906597851
"control1_G09",1,"Wdr82.4",1008.058878,1.1305175938186,-2.27995509525862
"7_B02",1,"Hdac7.1",2459.782127,36.6556250637971,-0.340988151823303
"7_B03",1,"Ing4.1",2729.359737,50.7606622091867,0.019068129455071
"7_B04",1,"Ing5.1",2856.807616,57.5067821501575,0.189291499895799
"7_B05",1,"Ing3.1",2640.021991,46.0071276031622,-0.100254156259058
"7_B06",1,"Hdac9.1",5603.897858,99.9942932044778,3.85839108450384
"7_B07",1,"Jmjd4.1",3067.872741,68.1249854417155,0.471196677462494
"7_B08",1,"Jarid2.1",2665.598313,47.3651644632895,-0.0660936212350318
"7_B09",1,"Hltf.1",2678.667976,48.0604143779856,-0.0486373708537719
"7_B10",1,"Hdac8.1",1672.688225,8.19225409705535,-1.39225536711987
"7_B11",1,"Jhdm1d.1",2660.590883,47.0989916311909,-0.0727817012449473
"7_C02",1,"Jarid2.2",3380.933128,81.3087100563197,0.889329914710159
"7_C03",1,"Hells.1",2431.787961,35.2574891523411,-0.37837803486088
"7_C04",1,"Hdac7.2",3128.194452,70.9445054705258,0.551764239965213
"7_C05",1,"Jhdm1d.2",2877.328775,58.577900441157,0.216700201223265
"7_C06",1,"Ino80.1",3088.111064,69.0838189439168,0.498227614188621
"7_C07",1,"Ing5.2",2478.193164,37.5850295053589,-0.316397795388663
"7_C08",1,"Hdac9.2",2926.187243,61.1011796559029,0.281957098103679
"7_C09",1,"Jmjd1c.1",3107.413548,69.9863726096413,0.524008615097692
"7_C10",1,"Ing4.2",2640.18193,46.0156071596582,-0.100040536731934
"7_C11",1,"Ing2.1",2484.886914,37.9247616563257,-0.307457413682603
"7_D02",1,"Hdac8.2",3101.216251,69.697895875366,0.515731311534545
"7_D03",1,"Jmjd1c.2",3215.885431,74.8216234890454,0.668887052206185
"7_D04",1,"Ing4.3",2761.266502,52.4592680233146,0.0616838020011807
"7_D05",1,"Hira.1",4144.003774,97.1837393330598,1.90851091847173
"7_D06",1,"Hells.2",3377.418807,81.1823529085807,0.884636077746182
"7_D07",1,"Jmjd1c.3",4367.032494,98.6321824247646,2.20639504742991
"7_D08",1,"Ino80.2",3401.66065,82.043241113653,0.917014240910082
"7_D09",1,"Hltf.2",3161.073517,72.4305003706155,0.595678546779529
"7_D10",1,"Hdac7.3",2847.715718,57.0303960376635,0.177148076769367
"7_D11",1,"Jmjd4.2",2622.319484,45.0697947836364,-0.123898177881345
"7_E02",1,"Ing2.2",2505.999998,39.0023372265347,-0.279258118825149
"7_E03",1,"Ing3.2",3187.799843,73.6102341439608,0.63137506308811
"7_E04",1,"Hdac7.4",3242.641571,75.9477680443755,0.704623389024972
"7_E05",1,"Jarid2.3",2618.373726,44.8612257060192,-0.129168255586628
"7_E06",1,"Ing5.3",3844.633132,93.4307426352046,1.50866213250453
"7_E07",1,"Hira.2",3281.496512,77.5331036111415,0.756519262594556
"7_E08",1,"Hdac8.3",2771.34783,52.9951815248252,0.0751487387591986
"7_E09",1,"Jhdm1d.3",2441.114222,35.72117930537,-0.365921589186881
"7_E10",1,"Ino80.3",2909.057558,60.2212530528003,0.259078155447537
"7_E11",1,"Hltf.3",2807.867148,54.9312702974467,0.123925081252562
"7_F02",1,"Hdac9.3",2941.690303,61.8926830099289,0.302663469571382
"7_F03",1,"Jmjd4.3",3099.314681,69.6091319721129,0.513191515210991
"7_F04",1,"Ing5.4",2701.907136,49.2979607595693,-0.0175984224424665
"7_F05",1,"Hira.3",2741.995734,51.4336957464957,0.0359451619729594
"7_F06",1,"Hells.3",2535.056511,40.4990969176376,-0.240449331931843
"7_F07",1,"Jarid2.4",3810.63488,92.830091902774,1.46325300455402
"7_F08",1,"Ing3.3",2803.465003,54.6984172705948,0.118045438806187
"7_F09",1,"Ing2.3",2054.108025,18.8666992962694,-0.882819161368435
"7_F10",1,"Hells.4",2814.51931,55.2828144286721,0.132809916726032
"7_F11",1,"Jhdm1d.4",3009.846976,65.3097124140911,0.393695652194732
"7_G02",1,"Ino80.4",3206.183452,74.4065027084613,0.655928785828719
"7_G03",1,"Ing2.4",2895.817998,59.5375500506178,0.241394985323127
"7_G04",1,"Hdac8.4",3101.001388,69.6878720417886,0.51544433379643
"7_G05",1,"Jmjd4.4",3469.699571,84.324615958539,1.00788915028202
"7_G06",1,"Jmjd1c.4",2286.167039,28.3365042402892,-0.572873889511599
"7_G07",1,"Hira.4",2784.770489,53.7078591428671,0.0930764616305737
"7_G08",1,"Hdac9.4",1116.890689,1.6397015216921,-2.13459592706416
"7_G09",1,"Ing4.4",2880.710721,58.7538354565856,0.221217234000002
"7_G10",1,"Hltf.4",3546.371354,86.656390295812,1.1102943799521
"7_G11",1,"Ing3.4",3114.960551,70.3359891456299,0.534088628178069
"6_B02",1,"Fbxw9.1",2646.940261,46.3740773694134,-0.0910138986238641
"6_B03",1,"Hcfc1.1",2374.37777,32.4534159161449,-0.455056880255129
"6_B04",1,"Hdac1.1",2532.796762,40.3821620456947,-0.243467523322302
"6_B05",1,"Hat1.1",2537.068411,40.6032778547181,-0.237762175412041
"6_B06",1,"Gadd45a.1",2058.883679,19.0395264254714,-0.876440648628033
"6_B07",1,"Hdac6.1",2182.947175,23.8623438087251,-0.710737565897407
"6_B08",1,"Hdac2.1",2613.676338,44.6131117001726,-0.135442233811308
"6_B09",1,"Gtf2f1.1",2601.870926,43.9905066154838,-0.151209911044144
"6_B10",1,"Fkbp1a.1",2702.175545,49.3122604890648,-0.0172399269932275
"6_B11",1,"Hdac3.1",2001.923564,17.0417079957712,-0.952518358450034
"6_C02",1,"Hdac2.2",2662.439891,47.1972622636922,-0.0703121083713626
"6_C03",1,"Gadd45b.1",2705.530251,49.490992312281,-0.0127592768118483
"6_C04",1,"Fbxw9.2",2549.024605,41.2237472035358,-0.221793109027475
"6_C05",1,"Hdac3.2",1579.538999,6.46752151410713,-1.51666838464577
"6_C06",1,"Hdac10.1",2632.80215,45.62454509719,-0.109897201547133
"6_C07",1,"Hdac1.2",3111.286388,70.166015662001,0.5291813012432
"6_C08",1,"Gadd45a.2",2266.136647,27.4377388738642,-0.599627107095463
"6_C09",1,"Hdac4.1",1991.877329,16.7037997398571,-0.965936423900457
"6_C10",1,"Hcfc1.2",3442.64437,83.4413372655758,0.971753378244797
"6_C11",1,"Gtf3c4.1",2352.71546,31.4196575831199,-0.48398973852366
"6_D02",1,"Fkbp1a.2",5165.479905,99.9467610665657,3.27282636418876
"6_D03",1,"Hdac4.2",2965.116369,63.0792131086809,0.333952055477837
"6_D04",1,"Hcfc1.3",3200.185293,74.148083047783,0.647917457202218
"6_D05",1,"Gtf2b.1",1777.970255,10.5351010518252,-1.25163739737365
"6_D06",1,"Gadd45b.2",1689.57364,8.538986602776,-1.36970267911013
"6_D07",1,"Hdac4.3",2152.870901,22.6353899120715,-0.750908377453862
"6_D08",1,"Hdac10.2",3229.066473,75.3798566441388,0.686492063860877
"6_D09",1,"Gtf2f1.2",2857.009242,57.517334554815,0.189560797883006
"6_D10",1,"Fbxw9.3",1800.587767,11.0961865252396,-1.2214287414601
"6_D11",1,"Hdac6.2",2521.666531,39.8074802712505,-0.258333407709471
"6_E02",1,"Gtf3c4.2",2530.633266,40.2702884347965,-0.246357156197676
"6_E03",1,"Hat1.2",2460.96325,36.7150214545339,-0.339410607029757
"6_E04",1,"Fbxw9.4",3042.110711,66.8867486852831,0.436788105029561
"6_E05",1,"Hdac2.3",3425.169218,82.8540382900792,0.948413019066249
"6_E06",1,"Hdac1.3",2393.576517,33.38108258168,-0.429414433725448
"6_E07",1,"Gtf2b.2",2923.626509,60.9699879078219,0.278536901740253
"6_E08",1,"Fkbp1a.3",2637.010697,45.8475108224122,-0.104276134640259
"6_E09",1,"Hdac3.3",2101.890062,20.6393212677509,-0.818999979374331
"6_E10",1,"Hdac10.3",2451.797956,36.2549608674048,-0.351652060147703
"6_E11",1,"Gtf2f1.3",2871.666846,58.2829725800632,0.209137951893278
"6_F02",1,"Gadd45a.3",2461.66583,36.7503679413226,-0.338472219223363
