"Position","Pool","shRNA","Percentage","precentile","z"
"1_B02",1,"Actl6b.1",26.02666667,17.3507651978583,-0.940394379842984
"1_B03",1,"Asxl3.1",33.11842552,56.0272954403376,0.151661288513871
"1_B04",1,"Atad2.1",34.08423115,61.8058291873947,0.300385115011787
"1_B05",1,"Asxl2.1",33.68107303,59.4176967869353,0.23830303925281
"1_B06",1,"Aff4.1",31.08108108,43.5626092373911,-0.16206815310375
"1_B07",1,"Aurkb.1",31.59985554,46.7250839649974,-0.0821823868750008
"1_B08",1,"Atm.1",36.1368724,73.1207851078849,0.616470103175985
"1_B09",1,"A2l.1",34.46492079,64.0205179561689,0.359007283086034
"1_B10",1,"Aff1.1",29.94880546,36.827459934745,-0.336426592965714
"1_B11",1,"Atr.1",30.64085447,40.9100907896905,-0.229858383282266
"1_C02",1,"Atm.2",29.71510999,35.4792607218217,-0.372413217452081
"1_C03",1,"Arid2.1",33.59621451,58.910205132808,0.225235726935166
"1_C04",1,"Actl6b.2",29.04673884,31.7274005511558,-0.475335287753962
"1_C05",1,"Atr.2",24.98470948,13.5482118182007,-1.10084473913921
"1_C06",1,"Atad2b.1",36.2922231,73.9041259447765,0.640392463778843
"1_C07",1,"Atad2.2",35.09485095,67.5808551904143,0.456009848521115
"1_C08",1,"Aff4.2",28.11515969,26.8027816862902,-0.618788599238258
"1_C09",1,"Atrx.1",29.2354975,32.7701669713614,-0.446268455538644
"1_C10",1,"Asxl3.2",26.43764003,19.0213761816298,-0.877108839989685
"1_C11",1,"Asxl1.1",28.94043226,31.146381936194,-0.49170537389594
"1_D02",1,"Aff1.2",24.58770615,12.2621988970962,-1.16197904249797
"1_D03",1,"Atrx.2",30.35244608,39.1938485187198,-0.274270217322727
"1_D04",1,"Asxl3.3",30.08730692,37.6343305883748,-0.315098836668882
"1_D05",1,"A1l.1",28.80375858,30.4062519971258,-0.512751671452884
"1_D06",1,"Arid2.2",30.62080537,40.7901773009594,-0.232945732099894
"1_D07",1,"Atrx.3",27.09284627,21.8811312854557,-0.776214026239105
"1_D08",1,"Atad2b.2",30.38674033,39.3968971248893,-0.268989266447678
"1_D09",1,"A2l.2",28.9010989,30.9325797554128,-0.497762294280862
"1_D10",1,"Actl6b.3",28.59205776,29.2755945700921,-0.54535135305046
"1_D11",1,"Aurkb.2",26.59846547,19.7011754670857,-0.852343427475977
"1_E02",1,"Asxl1.2",29.30022573,33.1309180229736,-0.436300994437763
"1_E03",1,"Asxl2.2",35.65217391,70.6032765696414,0.541831675016727
"1_E04",1,"Actl6b.4",28.52363028,28.9143554011842,-0.555888459427868
"1_E05",1,"Atm.3",27.04507513,21.6646151556278,-0.783570275277503
"1_E06",1,"Atad2.3",32.80318091,54.1064928130496,0.103116961140211
"1_E07",1,"A1l.2",20.66490366,3.86938115841718,-1.76604903213797
"1_E08",1,"Aff1.3",25.48652695,15.3019170496914,-1.023570169574
"1_E09",1,"Atr.3",33.13069909,56.1018226141158,0.153551288156128
"1_E10",1,"Atad2b.3",32.05128205,49.4946537464611,-0.0126674908500113
"1_E11",1,"A2l.3",29.65116279,35.1134109223184,-0.382260408214292
"1_F02",1,"Aff4.3",30.52489906,40.2177738478639,-0.24771428693685
"1_F03",1,"Aurkb.3",32.44170096,51.8923858499944,0.0474528816439302
"1_F04",1,"Atad2.4",58.73015873,99.9978945873631,4.09559663939287
"1_F05",1,"A1l.3",32.28346457,50.9209225424034,0.0230861553782979
