"Position","Pool","shRNA","Percentage","precentile","z"
"1_B02",1,"Actl6b.1",38.90429958,30.415744938754,-0.51248030781983
"1_B03",1,"Asxl3.1",45.63540398,48.77464651927,-0.0307198879135779
"1_B04",1,"Atad2.1",43.35976214,42.3247391815689,-0.193592739565476
"1_B05",1,"Asxl2.1",47.72727273,54.7362285097276,0.118999906566028
"1_B06",1,"Aff4.1",51.24760077,64.4665508881472,0.370957774692119
"1_B07",1,"Aurkb.1",47.92882147,55.3071444477211,0.133425207355297
"1_B08",1,"Atm.1",44.88536155,46.6368358092371,-0.0844021270457337
"1_B09",1,"A2l.1",54.26218922,72.1303680928107,0.586718712453914
"1_B10",1,"Aff1.1",39.33217693,31.4954067414243,-0.481856154701009
"1_B11",1,"Atr.1",34.76465731,20.932548205144,-0.808763901082308
"1_C02",1,"Atm.2",50.39696237,62.1748286999382,0.310075653658254
"1_C03",1,"Arid2.1",46.80437424,52.1112520268924,0.0529459668777283
"1_C04",1,"Actl6b.2",50.51264525,62.4892294573721,0.318355339952343
"1_C05",1,"Atr.2",44.57242583,45.7473963837086,-0.106799646815426
"1_C06",1,"Atad2b.1",49.63486992,60.0843485560302,0.255530967244033
"1_C07",1,"Atad2.2",45.68115942,48.9052376664702,-0.0274450672188646
"1_C08",1,"Aff4.2",41.39145751,36.9012926780293,-0.33446876951566
"1_C09",1,"Atrx.1",51.52249135,65.1965482958819,0.390632317438637
"1_C10",1,"Asxl3.2",54.71830986,73.2161803697191,0.619364301943553
"1_C11",1,"Asxl1.1",40.75807206,35.204634586828,-0.379801603805753
"1_D02",1,"Aff1.2",38.15309842,28.5613458502085,-0.566245479888126
"1_D03",1,"Atrx.2",51.953125,66.3288109749755,0.421453745204601
"1_D04",1,"Asxl3.3",48.89655172,58.0310492892957,0.202687857864177
"1_D05",1,"A1l.1",57.06824513,78.452133194583,0.787554503008881
"1_D06",1,"Arid2.2",48.53495793,57.0170307018276,0.176807769582394
"1_D07",1,"Atrx.3",47.07520891,52.8830441782508,0.0723302189395996
"1_D08",1,"Atad2b.2",59.71922246,83.5787438262978,0.977290967601936
"1_D09",1,"A2l.2",46.13284804,50.1948152097671,0.00488331253974901
"1_D10",1,"Actl6b.3",59.76890756,83.6665912148416,0.980847042982238
"1_D11",1,"Aurkb.2",47.2826087,53.473351348133,0.087174292657854
"1_E02",1,"Asxl1.2",29.39801286,11.6460766757933,-1.19286682536908
"1_E03",1,"Asxl2.2",40.80188679,35.3211033890759,-0.376665684130688
"1_E04",1,"Actl6b.4",46.02026049,49.8733426627623,-0.00317483396058108
"1_E05",1,"Atm.3",51.91158901,66.2202233146886,0.418480920123531
"1_E06",1,"Atad2.3",58.66983373,81.6520389622436,0.902183834334223
"1_E07",1,"A1l.2",57.46554364,79.2747089339714,0.815990059142244
"1_E08",1,"Aff1.3",50.8312552,63.3508047969281,0.341158977242282
"1_E09",1,"Atr.3",52.12418301,66.7745668410593,0.433696755241101
"1_E10",1,"Atad2b.3",50.72142064,63.0545275900151,0.333297868484881
"1_E11",1,"A2l.3",43.15789474,41.7598536645944,-0.208040847574227
"1_F02",1,"Aff4.3",47.84542674,55.0710432936109,0.127456457243091
"1_F03",1,"Aurkb.3",49.77924945,60.4828231453333,0.265864537913159
"1_F04",1,"Atad2.4",40.74074074,35.1586024899669,-0.381042045716107
"1_F05",1,"A1l.3",54.85232068,73.5310990380529,0.628955760503486
"1_F06",1,"Arid2.3",53.75446961,70.8970641421903,0.550380067564044
"1_F07",1,"Atm.4",43.87755102,43.7806291581245,-0.15653341416687
"1_F08",1,"Asxl2.3",49.95951417,60.9787984936932,0.27876649308139
"1_F09",1,"Asxl1.3",45.45454545,48.2585980964897,-0.0436643434113159
"1_F10",1,"Arid2.4",46.41288433,50.9943063663669,0.0249261454304984
"1_F11",1,"Atr.4",50.73170732,63.0823090090495,0.334034109520786
"1_G02",1,"Atad2b.4",36.52272086,24.7323862679598,-0.682935302424727
"1_G03",1,"Asxl1.4",52.01380898,66.4872126320438,0.425797035391332
"1_G04",1,"Aff1.4",28.92690513,10.9989290832691,-1.22658507490713
"1_G05",1,"Aurkb.4",51.03448276,63.8969038325674,0.355704434989472
