,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 16,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:41:51 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Sirt1.1,B02,Sample,502,2254,805,7693,11640.29506,11171.18938,4095.137789,3124.831279,2003.19952,1160.48292,3643.651001,3996.760843,32.66932271,27.20496894,23.91304348,29.97593675,5.378486056,322.9226361,12.04968944,30.96716948,0.996015936,3.874601617,6.122804729,15.89592013,45.09590602,63.08343959,52.18664807
B03,Smarca5.1,B03,Sample,660,710,320,5342,12091.71298,11520.36416,4199.628034,3772.541562,2009.366866,3046.463048,5610.881042,4308.379335,32.72727273,37.1875,29.15492958,27.58178319,6.666666667,177.5,18.4375,56.33802817,0.909090909,4.480220179,10.82688255,46.06595505,45.36254223,54.43247516,53.9355183
B04,Smarcc2.1,B04,Sample,1731,1390,471,11871,14098.60405,13796.73344,5541.259027,4692.134604,2061.545519,1678.343359,4634.690816,4891.967526,35.41305604,23.56687898,18.34532374,24.23258959,3.870595032,410.0294985,10.61571125,24.38848921,0.173310225,3.797165315,6.827404443,13.60038703,54.68128497,87.94680898,64.93330624
B05,Smarca4.1,B05,Sample,1355,2195,1437,11431,14693.83411,4051.191145,2814.363734,5265.397567,2070.615928,1780.864589,2732.827342,4902.453674,32.39852399,21.4335421,14.21412301,28.65682795,4.944649446,166.1619985,18.64996521,60.18223235,0.664206642,3.522127598,10.13134585,15.89350158,53.78339396,115.7911119,133.6940197
B06,Sirt4.1,B06,Sample,1815,575,261,11603,12735.3805,8462.746127,3606.06895,4051.074104,1988.699798,2292.843457,4527.795034,5223.143995,35.48209366,30.26819923,24.86956522,29.02298851,5.619834711,291.8781726,14.55938697,34.26086957,0.495867769,4.424666822,9.526019413,18.56087937,42.26179101,78.69776077,70.54859375
B07,Smyd3.1,B07,Sample,1281,2467,991,10767,13053.27777,10417.26669,4014.016885,4482.431173,1958.358824,1386.271771,3832.073265,4909.664109,33.0991413,27.8506559,18.11917308,27.13587488,2.888368462,290.2352941,10.2926337,34.4548034,0.156128025,3.852707368,6.111577528,15.39193699,49.05524708,54.65027906,51.64077821
B08,Smarcd3.1,B08,Sample,1656,2428,855,12774,11924.27887,12835.35086,5605.480287,3939.154137,1852.929549,1806.304102,5164.92414,4457.448994,30.13285024,23.97660819,17.83360791,22.13209733,4.166666667,511.1578947,8.888888889,19.56342669,0.301932367,4.656606333,6.654900846,17.05197445,44.64040803,80.59541084,65.70202827
B09,Sirt7.1,B09,Sample,1209,3820,1407,13535,11521.72078,10704.53215,4020.398385,4182.984165,2029.729984,1690.097666,3864.197623,4849.051275,29.03225806,20.32693674,14.86910995,24.03576438,4.301075269,261.1073137,12.01137171,38.29842932,0.496277916,4.296903908,7.253427327,22.06715231,38.1210043,42.17046815,46.8858619
B10,Sirt3.1,B10,Sample,620,2818,893,9016,11334.12139,8346.881504,3508.435905,4213.640621,1625.585579,1679.237887,4073.072326,4475.990473,36.29032258,23.74020157,19.58836054,28.28947368,3.709677419,242.9310345,11.98208287,41.16394606,0.322580645,4.45327613,8.679812368,20.75389326,36.80820043,54.56154724,47.09643456
