plate,shRNA,Well,Percentage
plate 21,Sirt2,C08,1
plate 21,Ube2a.2,E02,8.383869119
control,Ncor1.2,D03,0
plate 14,Ring1.2,C02,0
plate 13,Prdm11.1,B10,0
plate 12,Pcgf2.1,B02,0
plate 12,Phf8.4,G02,0
plate 10,Mll3.1,B06,0
plate 10,Myst4.2,D03,0
plate 10,Morf4l1.1,D05,0
plate 9,Mbd2.1,C06,0
plate 8,Kdm3b.1,C06,0
plate 18,Tdg.1,B02,12.04271959
plate 16,Smarcd1.3,E10,12.10482518
plate 12,Phc1.3,F05,0.340136054
control 3,shNcor1.1,D02,12.60469799
control 3,shNcor1.3,D04,12.73484453
control 3,shCd4.1,B11,12.8108624
plate 17,Taf1.4,F11,13.28323336
control 3,shmll2.4,C05,13.32260314
Control 1,shBptf.2,B03,0
Control 1,shNcor1.2,D03,0
plate 1,Atad2.4,F04,0
plate 1,Atm.4,F07,0
plate 1,Asxl1.3,F09,0
plate 2,Brd8.1,B08,0
plate 2,Brd9.1,B11,0
plate 2,Baz2a.2,C08,0
plate 2,Bptf.1,C11,0
plate 2,Brd3.4,F04,0
plate 3,Chd1l.3,D07,0
plate 3,Brwd3.4,G04,0
plate 4,Cxxc1.2,C10,0
plate 5,Ezh1.1,B08,0
plate 5,Ep300.1,C11,0
plate 5,Elp3.3,F05,0
plate 5,Ep300.4,G03,0
plate 6,Fkbp1a.2,D02,0
plate 7,Hdac9.1,B06,0
plate 7,Jmjd1c.1,C09,0
plate 7,Jmjd1c.3,D07,0
plate 7,Hdac9.4,G08,0
plate 9,Kdm6a.1,C03,0.576082638
plate 18,Ube2b.1,B03,13.56008898
plate 16,Smarcc2.1,B04,13.60038703
plate 16,Smyd3.3,F03,13.67851007
plate 15,Sfmbt1.2,C02,13.77483337
plate 17,Smyd4.1,B02,14.00619582
plate 8,Kat2b.1,C03,0.691669228
plate 10,Mll3.2,C08,0.698772427
plate 12,Phf2.2,E03,0.720906282
plate 2,Baz2a.4,G08,0.133333333
plate 12,Pcgf6.2,C08,0.743977326
plate 12,Pcgf5.4,G04,0.76318743
control 3,shmll2.2,C03,14.39888955
plate 12,Pcmt1.3,F06,0.781968721
plate 16,Smarcd3.4,F07,14.50367227
plate 3,Cbx5.2,E02,0.176366843
plate 14,Prmt2.4,G04,0.810221253
plate 16,Sirt1.2,C04,14.68470826
plate 3,Cbx1.2,D06,0.200400802
plate 16,Smyd2.2,D03,14.71936275
plate 8,Kdm4d.1,C09,0.833333333
plate 10,Mll3.3,F02,0.833754421
plate 15,Setd5.4,G03,14.76334283
plate 4,Chd6.1,C03,0.208333333
plate 1,Atad2.3,E06,0.215982721
plate 6,Hdac3.2,C05,0.21691974
plate 10,Morf4l1.4,G07,0.849649058
plate 2,Bop1.1,B09,0.220264317
control 3,shCd4.1,B10,14.85577224
plate 13,Prdm8.2,D08,0.859291085
control,Bptf.1,B02,0.87244284
plate 13,Prdm8.1,C06,0.876095119
plate 17,Suv39h1.2,E03,14.96967424
plate 3,Brwd1.2,C04,0.243309002
plate 13,Prdm11.3,E08,0.883607556
plate 10,Mll1.4,E04,0.886262925
plate 16,Smarcd1.2,D08,15.0352172
plate 8,Kdm1a.2,D09,0.895795247
plate 13,Prdm4.2,E03,0.905660377
plate 6,Gadd45a.1,B06,0.261210274
plate 2,Brd9.4,F11,0.264830508
plate 20,Fbxo17.3,C04,15.15118774
plate 3,Carm1.3,F02,0.265957447
plate 12,Pcgf5.3,E08,0.924468922
plate 12,Phf2.1,B05,0.925390399
plate 11,Ncor1.3,F05,0.936087799
control 3,shBptf.2,B03,15.30637017
control,Sp140.3,F08,0.944669366
plate 2,Baz1a.3,D10,0.292275574
plate 10,Mta3.2,C10,0.951131519
Control 1,shNcor1.4,D05,0.298730396
control 3,shNcor1.4,D05,15.37991768
plate 8,Kdm3a.2,C07,0.956022945
plate 12,Phc1.4,G07,0.95703125
plate 16,Smyd3.1,B07,15.39193699
plate 10,Morf4l1.3,F05,0.959232614
control,Klf2.2,E07,0.960746637
plate 2,Brd9.2,C05,0.303720577
plate 2,Brpf3.1,B07,0.307692308
plate 10,Msl3.4,G10,0.967351874
plate 17,Taf1.3,E09,15.45166252
plate 7,Ino80.3,E10,0.311623559
plate 5,Ehmt1.4,G08,0.314465409
plate 20,Fbxo17.2,B02,15.48300758
control 3,shCd4.3,D11,15.51103373
plate 2,Brd2.3,D04,0.325027086
plate 6,Fkbp1a.1,B10,0.329736211
control 3,shKlf2.2,E07,15.58958056
plate 5,Epc1.2,C10,0.338409475
plate 11,Nsd1.3,F09,1.01010101
plate 3,Cbx3.2,E07,0.346420323
plate 17,Suv39h1.1,B05,15.69606132
plate 16,Smarca1.2,E02,15.70716811
plate 11,Pcgf1.3,F03,1.020639601
plate 9,Kdm5d.3,F02,1.024590164
plate 3,Cbx4.4,G10,0.353606789
plate 5,Epc1.4,G09,0.354526117
plate 3,Cbx5.1,C11,0.363372093
plate 10,Mtf2.2,C07,1.040118871
plate 9,Men1.3,F03,1.040189125
plate 18,Trim28.3,E11,15.82942415
plate 15,Sin3b.1,B07,15.83858632
plate 7,Hells.3,F06,0.368188513
plate 5,Elp4.1,B09,0.370581528
control,shCd4.4,E11,1.050929669
plate 13,Prdm14.2,E07,1.051939513
plate 12,Pcgf5.2,D02,1.052957572
plate 16,Smarca4.1,B05,15.89350158
plate 16,Sirt1.1,B02,15.89592013
control 3,shBptf.3,B04,15.92021173
control 3,shCd4.4,E10,15.92292576
plate 16,Sirt6.2,E07,15.92790307
plate 10,Mta1.3,F09,1.066772027
plate 3,Brwd1.3,D10,0.389264495
plate 12,Prdm1.1,B07,1.07696726
plate 10,Mll5.4,F10,1.077844311
plate 10,Mtf2.1,B04,1.080515859
plate 2,Bop1.2,D09,0.397088021
plate 14,Rbbp4.2,C10,1.081967213
plate 11,Pbrm1.1,C09,1.08608206
plate 11,Pcgf1.1,B07,1.087665869
plate 14,Rnf40.1,B07,1.089028042
plate 14,Prmt8.4,G03,1.08914885
control,shCd4.3,D10,1.093180635
plate 11,Padi4.1,B04,1.0978957
plate 4,Dot1l.3,F03,0.411946447
plate 13,Prkaa2.3,D07,1.101783841
control 3,shWhsc1.2,B07,16.14576189
plate 2,Brd3.2,C07,0.416493128
Control 1,shBptf.3,B04,0.417052827
plate 11,Ncoa3.3,F06,1.110083256
plate 4,Dnmt1.3,E10,0.41958042
plate 14,Prmt8.1,C11,1.111536987
plate 11,Pbrm1.4,G06,1.112909753
plate 2,Brd1.4,G11,0.425531915
plate 13,Prdm12.2,C08,1.119177253
plate 12,Ppargc1a.1,C09,1.121164437
plate 4,Dnmt3a.3,E05,0.428571429
plate 7,Hdac8.2,D02,0.42989418
control 3,shWhsc1.1,B06,16.25548077
plate 20,Phc3.2,C02,16.25797841
control 3,shSmarca4.4,E05,16.26498768
control 3,shRunx3.1,F02,16.29554944
plate 8,Kat2a.2,C08,1.13452188
plate 4,Dnmt3l.4,G06,0.43956044
plate 12,Phf20.4,G09,1.13960114
control 3,shSmarca4.2,E03,16.35172778
plate 17,Smyd5.2,D02,16.35741605
control 3,shBptf.4,B05,16.37478598
plate 13,Prdm14.3,F05,1.149425287
control 3,shKlf2.1,E06,16.39279385
plate 3,Cbx8.4,F04,0.452488688
plate 2,Brd9.3,E09,0.453857791
plate 12,Pcgf6.3,F02,1.154734411
plate 2,Bop1.3,E11,0.454338937
plate 14,Rnf40.4,G05,1.164021164
plate 10,Mll2.4,G04,1.166407465
plate 10,Nap1l1.3,F03,1.168647995
plate 13,Prdm5.2,C10,1.173222912
plate 19,Cecr2.2,C02,16.5125564
plate 16,Sirt5.2,D06,16.51362768
plate 3,Brwd3.3,E08,0.471698113
control,shCd4.3,D11,1.177536232
plate 10,Mll1.3,D10,1.179203145
plate 1,Aurkb.3,F03,0.474683544
plate 9,Mecom.4,G06,1.182931981
plate 11,Pcgf1.4,G05,1.183791167
control,Smarca4.1,E02,1.184366364
plate 13,Prdm6.3,E06,1.185277604
plate 9,L3mbtl4.4,G09,1.18556701
plate 11,Ncoa1.1,B06,1.187111362
plate 15,Scml4.4,G08,16.59684871
control 3,shWhsc1.4,B09,16.60378926
plate 14,Prmt2.3,E08,1.194712761
plate 11,Ncoa3.2,D06,1.195344448
plate 15,Setdb2.1,B04,16.6289559
plate 12,Phip.4,F07,1.199261993
plate 4,Chd8.2,E07,0.488599349
plate 7,Hdac9.3,F02,0.490677134
plate 13,Prdm13.1,C03,1.202034212
plate 10,Morf4l1.2,E07,1.203208556
plate 14,Prmt8.3,F09,1.204281891
plate 9,Mbd4.4,F11,1.205156951
plate 12,Phf19.3,F09,1.212908815
plate 11,Padi1.4,G09,1.213592233
plate 5,Fbxl19.1,C09,0.502272184
plate 12,Phf20l1.4,F04,1.222596965
plate 12,Prdm1.2,D11,1.223845243
plate 8,Jmjd6.1,B10,1.225490196
plate 16,Smarcc2.3,E06,16.79748494
plate 5,Fbxo44.4,G05,0.511182109
plate 11,Nap1l2.1,B02,1.233793392
plate 12,Phf20l1.3,E06,1.234567901
plate 3,Chd1l.1,C09,0.516224189
plate 1,Aff4.2,C08,0.516605166
control,mll2.4,C05,1.235465116
plate 7,Hdac8.4,G04,0.520632472
Control 1,shNcor1.3,D04,0.521059488
plate 16,Sirt1.4,E04,16.86465283
plate 10,Mta2.3,F08,1.242027526
plate 6,Hdac4.3,D07,0.523560209
plate 4,Dnmt3b.2,C05,0.524475524
plate 2,Baz2b.1,C03,0.526513727
plate 12,Phc1.1,D05,1.25
plate 11,Pbrm1.3,D07,1.252184042
plate 2,Brpf1.1,C09,0.532978015
plate 4,Chd8.4,G07,0.535475234
plate 4,Ctsl.4,G11,0.535782625
plate 9,Kdm5b.4,E04,1.261092947
plate 2,Brd2.2,C10,0.53667263
control,Sp140.1,F06,1.266551526
plate 14,Ring1.3,E05,1.267387944
plate 16,Sirt5.3,F06,17.00861787
plate 13,Prdm15.3,E11,1.269451269
plate 4,Chd9.1,B09,0.543970988
plate 3,Chd1.1,B11,0.547945205
control,Klf2.3,E08,1.276452805
plate 16,Smarcd3.1,B08,17.05197445
control,Sp140.2,F07,1.277515723
plate 11,Pcgf1.2,D11,1.279279279
plate 2,Baz1b.1,B10,0.55157198
plate 8,Jmjd5.4,E04,1.281588448
plate 5,Ep400.2,E03,0.552486188
plate 7,Hltf.4,G10,0.553797468
plate 2,Brd2.1,B03,0.554715078
control 3,shSmarca4.1,E02,17.10537274
plate 11,Pbrm1.2,D03,1.290738948
Control 1,shSmarca4.4,E05,0.563027839
plate 15,Setd5.3,F09,17.14661606
plate 9,Mbd1.4,F04,1.298205422
plate 1,Ash2l.2,D09,0.566572238
plate 5,Ercc5.1,C06,0.566973777
plate 12,Ppargc1a.4,G06,1.301518438
plate 8,Kdm4c.2,C05,1.30172013
plate 5,Fbxo44.2,D11,0.569166048
plate 13,Prdm15.1,B09,1.305970149
plate 12,Phf1.1,B09,1.306477953
plate 10,Nap1l1.4,G05,1.307800093
plate 13,Prdm15.2,D09,1.308411215
control,Ncor1.1,D02,1.308971912
plate 3,Chd2.4,G05,0.573613767
plate 3,Cbx5.4,G03,0.574241181
control 3,shSp140.3,F08,17.22243652
plate 15,Setd5.2,E02,17.22300248
control 3,shCd4.4,E11,17.23095974
plate 6,Hdac6.3,F03,0.576368876
plate 9,L3mbtl4.2,C10,1.315519013
control,Ncor1.3,D04,1.319894408
plate 5,Elp4.3,E11,0.58411215
plate 13,Prdm9.4,F07,1.322678424
plate 6,Gtf2b.1,D05,0.585121204
Control 1,shNcor1.1,D02,0.587544066
control 3,shSp140.1,F06,17.32704875
plate 11,Ncoa1.3,F02,1.331853496
plate 18,Tet1.2,D02,17.34296482
plate 7,Jarid2.4,F07,0.59347181
plate 7,Jhdm1d.4,F11,0.593548387
plate 20,Gtf2h1.3,F02,17.36731892
control,Smarca4.3,E04,1.343196418
plate 15,Setd8.1,B05,17.39856207
plate 7,Jmjd4.4,G05,0.600885515
plate 17,Suv420h2.1,C06,17.40074559
plate 6,Hdac6.1,B07,0.602006689
plate 19,Dpy30.1,D03,17.40789327
plate 2,Brd8.4,F07,0.60296846
control 3,shKlf2.3,E08,17.41315314
plate 5,Elp3.4,G07,0.603188281
plate 16,Smarcd3.3,E05,17.41621709
plate 4,Chd6.2,D06,0.605449041
plate 4,Dmap1.1,B04,0.606060606
plate 12,Phf8.2,D08,1.351351351
plate 12,Phf8.1,C06,1.351808043
plate 19,Cecr2.1,B08,17.44756632
plate 15,Setd1a.1,C03,17.48561736
plate 6,Hdac3.1,B11,0.614124872
plate 5,Ehmt2.1,C03,0.615611918
plate 9,L3mbtl3.2,E03,1.363193768
plate 3,Chd1.4,F11,0.616246499
plate 3,Cbx7.3,D04,0.617283951
plate 12,Polr2b.1,B11,1.368343195
plate 6,Hdac1.2,C07,0.620155039
plate 6,Fbxw9.1,B02,0.620915033
plate 5,Epc2.1,B04,0.621393697
plate 20,Fkbp2.2,E04,17.5528947
plate 17,Supt16h.3,F09,17.55450175
plate 16,Smyd3.2,D11,17.56465278
plate 17,Taf3.2,D03,17.57138149
plate 1,Asxl2.3,F08,0.626740947
plate 4,Chd8.1,D05,0.628019324
plate 2,Bptf.3,F09,0.628930818
plate 10,Myst3.4,F11,1.381449112
plate 16,Smarcd1.1,C06,17.61118226
plate 8,Kdm5a.4,G05,1.386511469
plate 16,Smarcc2.4,F04,17.62393986
plate 5,Ehmt1.3,F02,0.634920635
plate 6,Fbxw9.4,E04,0.635395253
plate 2,Brpf3.2,D11,0.636132316
plate 11,Parp1.1,B08,1.390860062
plate 2,Bop1.4,G10,0.638297872
plate 15,Sfmbt2.2,C05,17.65060444
plate 1,Actl6b.3,D10,0.640439158
control,Smarca4.4,E05,1.395471301
plate 21,Smarca2.3,C03,17.66602441
plate 19,Eaf1.3,F03,17.67652234
plate 1,Atad2b.3,E10,0.643915003
plate 8,Kdm3b.2,D08,1.400329489
plate 15,Scml4.2,C08,17.69179337
plate 3,Cbx5.3,F09,0.650406504
plate 20,Gtf2h1.1,B06,17.73144502
plate 10,Mta1.4,G03,1.408450704
plate 18,Trim66.3,F08,17.7551601
plate 12,Phf1.4,G10,1.414979263
plate 4,Chd3.3,D10,0.658761528
control,Ncor1.4,D05,1.424211597
plate 1,Ash1l.4,G07,0.663176265
control,Whsc1.4,B09,1.425460305
plate 5,Ehmt1.2,C08,0.664451827
plate 17,Sp140.1,D05,17.83944008
plate 16,Smyd2.1,C09,17.84793346
plate 11,Ncor1.1,D05,1.430976431
plate 3,Cbx6.2,E03,0.670241287
Control 1,shSmarce1.1,G02,0.670337563
Control 1,shSmarca4.1,E02,0.670498084
plate 9,Mbd3.2,C02,1.437290805
plate 10,Myst4.1,C09,1.439864483
plate 8,Kdm4a.2,C02,1.441641253
plate 9,Men1.4,G05,1.443547001
plate 20,Gtf2h1.2,C08,17.92391684
plate 15,Sfmbt1.3,E05,17.93711701
plate 20,H2afz.2,C03,17.93767822
plate 16,Smyd2.4,G06,17.94356075
plate 2,Baz2a.3,F02,0.682593857
plate 11,Orc1.1,B05,1.451421801
plate 4,Dot1l.1,B07,0.684150513
plate 9,Kdm6b.3,F05,1.454445664
plate 4,Chd9.4,G10,0.686498856
plate 5,Ercc5.2,D08,0.686498856
plate 3,Brwd1.4,E04,0.687285223
plate 20,Phc3.3,E05,17.98855043
