"Experiment: 10 U p1","Analysis: Analysis 3","User: Admin","Number of Plates: 8","Plate Type: 96 Well","Plate Order: Row","Export Date: 6/2/2015","Export Time: 2:03:29 PM"
"Plate: control"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+GFP+CD103+ as % of Amet+GFP+","Amet+CD103+ as % of Amet+"
"B02","Sample",44.9232585596222,48.2758620689655,67.5675675675676
"B03","Sample",35.1543942992874,47.4867724867725,65.9270998415214
"B04","Sample",45.8930899608866,45.7345971563981,55.6577086280057
"B05","Sample",37.2365339578454,44.8689138576779,66.8668122270742
"B06","Sample",40.5042016806723,48.202614379085,69.3776520509194
"B07","Sample",41.0152284263959,51.1853448275862,67.8951678951679
"B08","Sample",43.9577039274924,49.962602842184,70.2214452214452
"B09","Sample",40.4977375565611,46.1200585651537,60.438829787234
"B10","Sample",43.4954007884363,45.7920792079208,61.631139944393
"B11","Sample",47.6861167002012,52.5325615050651,47.1861471861472
"C02","Sample",40.3041825095057,44.2067736185383,66.8655346489215
"C03","Sample",27.2988505747126,42.2714681440443,67.5869120654397
"C04","Sample",30.5949008498584,48.861646234676,72.7081138040042
"C05","Sample",31.198003327787,27.8498293515358,36.1711139347734
"C06","Sample",30.3411131059246,38.2222222222222,67.1397379912664
"C07","Sample",31.0126582278481,34.453781512605,52.9074529074529
"C08","Sample",19.2419825072886,42.3110338835795,63.8736263736264
"C09","Sample",32.9512893982808,34.6063912704599,48.1190342504211
"C10","Sample",31.0606060606061,47.0906630581867,68.7382297551789
"C11","Sample",38.9587073608618,64.5131938125569,61.0878661087866
"D02","Sample",28.9036544850498,22.0072551390568,35.2848101265823
"D03","Sample",35.080405002978,12.5,50
"D04","Sample",39.5872420262664,29.1819291819292,44.2926829268293
"D05","Sample",36.0613810741688,30.8052434456929,41.1678832116788
"D06","Sample",28.5963382737576,45.201668984701,74.1500962155228
"D07","Sample",27.6564774381368,51.6009852216749,78.4558823529412
"D08","Sample",27.8688524590164,43.6254980079681,72.6890756302521
"D09","Sample",22.8571428571429,53.5992217898833,72.1817162086371
"D10","Sample",32.1033210332103,42.7631578947368,62.4719101123596
"D11","Sample",42.257217847769,50.7537688442211,51.4705882352941
"E02","Sample",23.6292428198433,32.1711568938193,40.650406504065
"E03","Sample",32.3529411764706,29.7397769516729,40.6582768635044
"E04","Sample",28.6052009456265,32.5070821529745,49.0745637228979
"E05","Sample",36.2940275650842,36.0406091370558,60.9427609427609
"E06","Sample",32.7868852459016,38.516179952644,60.6280193236715
"E07","Sample",31.2398042414356,43.344262295082,65.7871591908531
"E08","Sample",31.4487632508834,43.3333333333333,58.984375
"E09","Sample",26.5202702702703,42.0619860847565,63.015873015873
"E10","Sample",39.5128552097429,46.4382326420198,60.235947258848
"E11","Sample",56.0399636693915,59.1036414565826,52.7710843373494
"F02","Sample",30.8823529411765,34.835801674179,45.615866388309
"F03","Sample",31.5642458100559,45.0793650793651,42.7488151658768
"F04","Sample",29.0465631929047,44.4940476190476,33.2278481012658
"F05","Sample",41.4664981036662,42.1052631578947,18.5185185185185
"F06","Sample",34.1517857142857,39.2207792207792,61.0056925996205
"F07","Sample",32.0855614973262,31.975138121547,68.1791396582204
"F08","Sample",31.1046511627907,41.9030192131747,57.1217712177122
"F09","Sample",33.9181286549708,42.0487106017192,68.7089715536105
