,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 5,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:25:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Dub2a.1,B02,Sample,15931,1076,1097,3464,4690.865982,3027.193226,3467.40503,2031.286107,7664.957448,7926.444735,2241.981126,24.07063197,43.75569736,48.23903002,31.60383077,39.34804054,16.59410661,15.72473701,60.15135061,7.899628253,3.281677302,1.558891455,10.97102679,1.394052045,1.27620784,0.404157044,0.94556916,39.81591448,59.68605844,53.27972207,34.75007094
B03,Epc1.1,B03,Sample,15304,2955,2392,1868,4490.53038,3307.751465,3455.861244,1629.992002,6990.130355,7915.782453,2321.951827,24.39932318,38.41973244,49.94646681,33.87915507,109.7901437,26.92061312,20.39347789,82.52658845,19.32318105,5.183946488,1.070663812,13.01784837,1.319796954,1.379598662,0.214132762,0.818732602,43.63307308,66.85631461,46.03623682,33.65229595
B04,Epc2.1,B04,Sample,13819,2253,2091,2017,3869.577738,2377.094491,3089.994506,1897.395302,7144.478698,7443.913165,2224.368427,27.16378162,43.23290292,44.76945959,30.11614592,52.88752672,19.92990447,17.78397046,78.24147779,9.409675988,2.534672406,1.239464551,12.33436938,0.621393697,0.382592061,0.148735746,0.703418943,28.43323829,50.94788336,38.57711118,27.98723188
B05,Ep400.1,B05,Sample,13212,3757,1914,1183,4118.944776,2514.604265,3761.31978,702.4182253,7986.458614,7192.873838,2059.2721,22.4647325,38.71473354,48.60524091,28.80265615,149.7006427,35.49056682,21.24448654,121.2689864,23.55602875,7.680250784,1.437024514,16.41419382,1.543784935,1.201671891,0.591715976,1.099813239,43.35930335,69.70378042,48.65294717,37.72399621
B06,Ehmt1.1,B06,Sample,14053,2809,2492,1658,5023.13907,3390.57863,3349.448484,2321.790587,8091.635115,7338.894841,2139.141372,24.45710217,41.37239165,44.93365501,28.42297174,58.53517007,20.90269216,22.12829508,85.74237041,9.398362407,3.08988764,1.38721351,13.05378304,0.996796013,0.561797753,0.482509047,0.875113947,40.05474703,62.74183373,49.16896944,36.87861176
B07,Fbxo44.1,B07,Sample,11798,1378,1295,2357,3287.295568,2741.656148,3307.006314,1608.660852,7406.220668,7444.165979,2188.729125,22.71407837,40.69498069,42.17225286,24.36250861,99.3859275,24.87508679,23.56290931,85.46098006,16.32801161,3.861003861,2.03648706,12.50861475,1.015965167,0.463320463,0.551548579,1.050999311,39.19495561,65.29604034,54.22951354,40.22436822
B08,Ezh1.1,B08,Sample,14864,3,12,3310,5626.285821,5662.396862,3064.307538,5707.207153,18488.06575,8279.102272,2373.662169,0,50,37.55287009,20.34826844,137.9148239,7.130938346,21.87387224,68.72815378,0,0,2.356495468,9.919780865,0,0,0.574018127,0.743494424,95.19990442,246.5973894,58.52157362,40.72607762
B09,Elp4.1,B09,Sample,12838,3508,2304,1283,4322.241787,2723.758811,2773.885694,2365.81252,9468.355175,7799.521078,2203.27963,21.40820981,42.01388889,40.2182385,26.77292677,68.20374244,23.79469467,21.57351319,86.14873162,8.608893957,2.126736111,1.247077163,11.57311157,0.370581528,0.086805556,0.155884645,0.716100716,41.60372606,80.082363,50.88410246,31.6089055
B10,Eed.1,B10,Sample,9825,686,616,2151,5996.881944,3799.918477,3178.306767,2304.084696,9034.249048,8694.127794,2201.323993,12.68221574,23.05194805,26.35983264,13.39996298,77.02332953,28.31040573,26.75715416,112.1812511,12.39067055,5.194805195,2.185030219,15.28780307,3.935860058,2.922077922,1.162250116,2.961317786,64.12628972,107.2903817,72.68712039,48.37397105
