Well,shRNA,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A of Amet+_CD127
B02,Bptf.1,993.8743882,167.8286682,27.27666956,2859.000494,87.12055507,27.27666956,535.7695761
B03,Bptf.2,821.8744185,167.1391293,40.26845638,3156.365349,87.91946309,49.66442953,575.6388337
B04,Bptf.3,836.3175893,113.7524074,23.36108221,3117.381386,85.84807492,29.13631634,415.8943377
B05,Bptf.4,1054.498497,143.2025238,14.93184634,3888.281697,91.26394052,45.41511772,542.1068442
B06,Whsc1.1,1012.989097,167.565271,20.64327485,3882.558012,89.64912281,47.98245614,521.2998391
B07,Whsc1.2,728.4479147,154.4330454,25.85291888,3244.955561,90.06823351,47.87717968,542.7372288
B08,Whsc1.3,795.0758228,222.1781133,18.45703125,2886.655166,85.40039063,44.7265625,406.9608697
B09,Whsc1.4,679.7075779,228.7127788,18.94288755,4020.627846,90.83008159,41.02518624,482.331612
B10,shCd4.1,927.3341471,185.8583388,18.57619577,3836.387022,91.80571005,47.42306266,520.8797934
B11,shCd4.1,788.2518016,179.5720855,18.05845511,3353.550654,90.29227557,43.84133612,433.8690132
C02,mll2.1,661.4165615,175.7659642,36.6215253,589.6995253,52.87241625,50.27797577,487.9925883
C03,mll2.2,578.1023847,172.812901,39.78425718,153.1719201,31.67788102,51.99188294,433.2933146
C04,mll2.3,762.3298318,177.6017167,36.03646833,2502.854762,85.65259117,50.57581574,662.6104798
C05,mll2.4,960.0647334,309.4447433,35.44986516,1553.481482,71.90487865,37.36209855,417.1860855
C06,Brd8.1,938.3911127,265.8380997,31.91489362,5260.312601,94.81624758,62.47582205,816.6199618
C07,Brd8.2,974.6297146,257.7075162,26.41509434,3015.994499,87.79408339,55.04309341,602.5453782
C08,Brd8.3,829.4250345,131.7517605,32.22523745,3607.091663,91.18046133,63.02578019,786.4748877
C09,Brd8.4,794.2168252,121.554405,29.60133683,5125.794727,95.17784674,54.7386011,804.3020214
C10,shCd4.2,911.3021138,200.2269962,34.93852459,4002.304824,93.40846995,69.53551913,866.0063925
C11,shCd4.2,738.0422817,232.4514309,31.76751592,3263.220591,89.88853503,63.85350318,748.3678789
D02,Ncor1.1,772.2350335,600.9379483,35.518591,2269.342731,80.1369863,18.39530333,409.6193435
D03,Ncor1.2,389.97334,291.5057586,55.55555556,116.4965656,18.51851852,11.11111111,46.96857854
D04,Ncor1.3,627.0462073,500.8410161,30.83257091,1729.046434,74.01646844,21.40896615,438.3639329
D05,Ncor1.4,607.6091878,407.4172094,37.13720317,3744.079264,91.68865435,27.50659631,569.2152214
D06,Cxxcl.1,627.1138603,146.5735053,14.29132313,2047.139866,80.21201413,56.22300746,399.8018101
D07,Cxxcl.2,1030.544888,153.2327225,25.30864198,3732.597963,92.18106996,70.01028807,644.1232235
D08,Cxxcl.3,589.8486122,139.7728558,23.17763623,1951.504041,77.42392074,53.75088464,408.2976654
D09,Cxxcl.4,771.1457799,186.9487081,15.93763534,1896.37939,78.17236899,66.1325249,387.3793929
D10,shCd4.3,874.2987038,193.9504709,27.86848073,3639.398944,92.63038549,56.53061224,697.3077576
D11,shCd4.3,831.0228177,314.6427081,21.49695387,3475.944499,91.81897302,42.38468233,507.2948871
E02,Smarca4.1,550.1164411,273.6904,17.51740139,4626.028375,94.66357309,33.29466357,500.8580504
E03,Smarca4.2,436.4119605,243.6206425,17.9916318,3936.903343,92.80334728,25.10460251,435.2518283
E04,Smarca4.3,584.5720369,220.8296158,25.40639748,3725.486923,91.95070792,33.77031987,522.4411252
E05,Smarca4.4,782.7236771,199.5203668,22.1446384,4166.346556,92.71820449,44.83790524,567.5773442
E06,Klf2.1,935.1177563,227.6361444,17.50679774,4092.035463,90.46224639,53.48253503,471.5049828
E07,Klf2.2,1082.228813,140.1177053,24.84952709,5809.164359,95.44282029,59.07136715,777.169222
E08,Klf2.3,973.6840741,189.0455879,29.10195814,4651.938955,93.24780554,58.00135044,723.282691
E09,Klf2.4,1215.362314,184.2828248,17.86593707,6365.408726,95.78659371,69.08344733,640.4464934
E10,shCd4.4,968.371732,449.5346733,29.55454026,3423.100345,91.29069103,56.48201028,690.2553567
E11,shCd4.4,785.1588162,310.4557047,28.85154062,2926.297692,88.70214753,53.50140056,687.8589875
