Well,GeoMean BV605-A - PD-1 of Amet+_PD1,GeoMean PerCP-Cy5-5-A - Lag3 of Amet+,Amet+Tim3+ as % of Amet+,GeoMean PE-A - Tim3 of Amet+
B02,264.654642061807,2367.29100325121,65.9159571546278,409.011571588825
B03,300.20065124678,2310.64342735256,46.3151927437642,183.232303393149
B04,307.16413068988,3000.78156331126,56.5217391304348,296.102467505245
B05,242.711712351308,1788.24704943213,60.8143752060666,353.937111905857
B06,387.097711943359,1965.26004880016,63.013698630137,374.017051616902
B07,339.67932180769,1886.51348434435,61.5937295885042,349.020267707919
B08,294.806924849617,2132.67196087083,50.5050505050505,232.364590330803
B09,285.815351191493,1645.47367068174,56.3182527301092,293.840572089168
B10,250.05616787501,1087.00537569139,61.4149659863946,326.689332879388
B11,293.670056971555,993.633738008452,55.9633027522936,284.574885690762
C02,225.409489813489,2073.99163623254,60.646186440678,313.807231382591
C03,253.40035345587,2705.37059849698,63.062536528346,372.837399401101
C04,263.553122226133,2343.24658198291,65.5886412936304,418.091593678371
C05,433.709330366053,3390.89868668496,67.5675675675676,475.292264538785
C06,295.562469243285,3036.05136336119,66.4654226125137,486.123426037092
C07,265.532909776687,2582.30563091087,49.3857493857494,194.298988394014
C08,367.126119429018,1970.39590157124,61.1566265060241,354.997166628658
C09,240.894908557455,1484.98601236323,58.6296617519514,314.706376021991
C10,488.954331258998,2634.84619641451,69.3086003372681,539.694859707198
C11,293.909791213931,1373.04308575801,64.6028037383178,424.991063524806
D02,62.0679678961104,2268.58016232981,18.1818181818182,47.9516755183019
D03,297.486717313621,2155.36220284387,60.9282700421941,347.303673826202
D04,581.645301652547,1643.50368698588,42.9186860527733,168.888623772522
D05,363.485525104642,2837.61305622394,59.22247446084,305.947282429047
D06,460.465642825936,1857.71036191131,50.0174886323889,204.812517186629
D07,345.493586067024,2338.00350385228,61.4159292035398,350.456501683815
D08,515.106304216096,2523.40306149176,58.8376753507014,322.657433718336
D09,369.4263221471,2278.29322173212,53.0364372469636,256.975982713038
D10,409.75484367738,2353.54261742844,55.0154320987654,271.119772721606
D11,420.16101865878,1627.67359004502,55.3774778574441,276.588473824215
E02,364.048190285601,2277.93157699125,62.6595744680851,356.966388280976
E03,418.106965722763,2944.43102851791,64.7717955725608,401.681025869886
E04,379.917195046309,2380.73529439263,60.6353591160221,339.668659250586
E05,386.589557058117,2541.64045910839,58.8438465733503,321.374949783232
E06,438.820506558145,4352.34484977169,62.026825633383,409.975718850082
E07,596.539288138341,2913.72101922404,41.1428571428571,131.2572046495
E08,499.276841549813,2839.30025029185,59.9547117226964,329.233663264546
E09,578.314459816619,2557.90801157106,59.4875346260388,359.575641724551
E10,678.482900102095,2354.96488125917,58.3855510504976,307.987536797468
E11,658.155307754351,3067.30590460702,66.2795199380565,449.659306637443
F02,376.835447224294,2549.24707045247,65.2387327086122,475.546274764798
F03,296.869234219874,2175.6268568058,60.8219178082192,379.775447263145
F04,296.604845818358,3980.36832768026,55.0156739811912,278.1132479439
F05,391.422361137338,3142.88031698637,58.4057971014493,308.2297851492
F06,320.856655638785,3195.69351149848,53.3861671469741,262.74974842704
F07,712.004604804574,2977.73968919316,60.7928319304915,369.918778733292
F08,508.978612545129,3070.44619247184,63.5660277826622,387.057713718418
F09,414.063754807423,2107.87023200855,52.5649794801642,247.070698599581
F10,583.800556779625,2473.45055564699,55.3291536050157,269.916278204939
F11,757.379948031104,1809.24574436599,55.6798623063683,309.745983489753
G02,431.167556366396,1857.08254569442,60.2903501280956,362.862941386836
G03,304.043546859683,1825.83336451892,55.013501350135,264.170669909921
G04,398.973934875171,2202.55665502572,65.3950953678474,436.437420252599
G05,382.236724107726,2475.83085477673,55.7134945541813,284.552882259874
G06,446.378184603856,2387.86824528877,58.5522475189726,319.003791201564
G07,428.190399761242,2509.12793748976,62.5603864734299,407.247011165264
G08,434.363168513267,2117.28222322573,58.7044534412955,291.330818527749
G09,633.868006982211,2060.92462310694,45.7219251336898,189.016186989863
G10,450.235084668933,2149.83781573075,68.4383202099738,464.329958781149
G11,450.268404222647,2008.97045081397,60.5163727959698,338.725305609649
