Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,GeoMean APC-A of Amet+GFP+_CD103,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PE-A of Amet+GFP+_CD127
B02,Prdm10.1,7.261029412,0.643382353,13.04968971,25.00338338,1947.356769,32.72058824,2123.854698,118.6955399
B03,Prdm5.1,5.545371219,0.687442713,7.459325628,25.35816789,3833.221225,26.35197067,2873.003599,105.2250317
B04,Prdm6.1,7.172834796,0.381533766,9.643087415,24.17378478,2397.568796,27.66119802,2502.106987,110.7996275
B05,Prdm4.1,5.19650655,0.655021834,7.590701489,25.00514019,2546.188331,29.17030568,2318.167924,101.2664591
B06,Prdm12.1,6.946182728,0.625782228,9.269988164,22.23343835,3195.438579,29.91239049,2766.884936,127.2618467
B07,Prkcd.1,6.849315068,0.479452055,7.7777668,19.27358862,2522.227276,28.86986301,2824.964341,145.3847921
B08,Prdm9.1,6.017770598,0.928917609,8.657949739,25.07610322,3060.754171,29.72536349,2722.307183,103.7856383
B09,Prdm15.1,6.749098403,0.412158681,8.834211022,19.35438229,2629.103765,22.46264812,2525.22734,129.626924
B10,Prdm11.1,25,0,31.05065561,14.4937935,7227.082418,0,3968.399943,180.8954251
B11,Prkaa1.1,7.15835141,1.084598698,9.8896684,29.57040337,2717.999324,25.81344902,2258.920769,101.3150945
C02,Prdm9.2,5.465765501,0.528945048,8.077837163,26.150414,1471.34585,28.65119013,1762.630948,81.53197843
C03,Prdm13.1,4.160583942,0.364963504,6.162103789,22.39438475,2187.87944,32.38442822,2127.900019,90.23250381
C04,Prdm10.2,3.673938002,0.057405281,6.934109888,25.49395748,2853.492288,27.32491389,2364.205034,82.6555286
C05,Prkaa1.2,4.818624797,0.378992962,7.597781225,30.26421843,1822.307231,26.25879805,1888.958685,84.66884661
C06,Prdm8.1,3.327495622,0.300225169,7.764752634,27.25269472,1597.28797,28.32124093,1662.633813,82.70697145
C07,Prdm6.2,3.486441616,0.442722745,7.342744485,32.60307458,2187.287481,22.77255119,2479.549006,82.06251152
C08,Prdm12.2,3.916692571,0.528442648,7.392837336,27.37315286,2052.345023,26.45321728,2032.922807,88.46449859
