,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 14,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:27:34 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Prmt1.1,B02,Sample,74.68853821,10.67992303,3.055656602,6.602990033,1.411161001,0.545652965,1752.521093,6.854500033,4.287248867,52.71876936,24.3532925,21.92752988,6138.035035,13272.89343,11345.54514,13.16445183,20.8466966,28.19206984,3821.608556,3061.231655,3899.024004,100.0679854,159.2199628,127.6999941,31830,24249,4816,3118,2749
B03,Rbbp4.1,B03,Sample,30.11019284,4.523050159,3.233061569,3.333333333,1.217744274,0.618498735,79.98418677,2.919795739,3.448552116,33.82669965,19.10482013,17.43600335,6107.520028,14741.91051,12360.66551,16.03305785,29.68976515,27.04526286,5200.330881,3667.434526,4018.692324,102.9354142,163.2247454,133.4190688,32970,25047,3630,3449,3557
B04,Rbbp5.1,B04,Sample,45.43230016,8.073566085,3.969270166,5.220228385,1.932668329,1.088348271,277.631503,5.796851419,3.713230858,42.23475079,24.15849007,18.30207664,4512.788923,11649.35486,11089.08858,21.26155519,31.54613466,32.8425096,4079.945275,3227.979697,3966.268567,115.4608622,141.5062224,149.8115066,23265,17144,3678,3208,1562
B05,Psip1.1,B05,Sample,32.81452659,5.091292135,1.722222222,1.908467667,0.80758427,0.333333333,147.6350252,4.491211032,3.284459104,44.32638471,32.00119532,21.79106852,4046.013703,11774.73867,11717.01394,13.04428386,25.63202247,28.16666667,4489.280859,3079.982264,3901.421124,56.31202114,96.91303233,112.8002925,27440,20631,5397,2848,1800
B06,Prmt3.1,B06,Sample,36.63117135,5.888429752,2.197802198,4.104549855,0.929752066,0.366300366,172.7637267,5.480251063,3.777450816,49.20812694,24.48548834,27.88149498,3407.753102,8856.409561,10428.97025,13.16553727,25.17217631,26.22710623,4493.988378,3642.336622,3870.007042,77.39092308,125.7030865,97.58879358,24975,18946,5165,2904,1365
B07,Rnf40.1,B07,Sample,19.57527906,3.283120896,1.929625426,1.089028042,0.772499034,0.340522134,43.36157832,2.836697499,3.173233691,47.55384856,27.55706475,27.47990122,5239.447944,14848.01964,11071.34793,20.58263,31.28621089,27.96065078,4571.003675,3306.298196,3724.37854,67.44511294,121.8628908,91.51874786,27797,21181,3673,2589,2643
B08,Ring1.1,B08,Sample,32.56914119,5.50996483,2.020725389,2.037845706,0.82063306,0.67357513,151.1400828,4.659997414,3.287400816,53.02479481,32.00963095,27.85225311,3861.862768,10797.58882,11048.78843,15.02911208,26.6119578,28.10880829,5038.171614,4114.703944,3840.351819,65.92194843,115.1208753,98.63639839,29847,22828,2748,1706,3860
B09,Prmt7.1,B09,Sample,32.36836992,3.005319149,2.130177515,1.981736934,0.425531915,0.315581854,123.5248691,3.632832027,3.543018422,51.07756201,32.89662308,27.74793557,4974.922978,11544.5866,10081.38532,15.73732271,27.7393617,28.00788955,4797.555807,3731.388402,3851.776669,56.23586566,87.48341097,89.4547506,30985,24183,5147,3760,2535
B10,Prmt2.1,B10,Sample,31.88647746,4.500171762,2.135523614,2.170283806,0.72140158,0.574948665,139.5286443,3.889291573,2.969547593,48.21114139,30.14174216,23.94855989,4135.033784,11702.42424,11137.8508,17.11185309,31.50120234,31.37577002,4747.239518,3395.317653,3613.919126,57.71414018,86.88014287,89.39175695,27122,21036,3594,2911,2435
