Well,GeoMean BV605-A - PD-1 of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A - Tim3 of Amet+GFP+
B02,2253.14260439994,4556.08874645391,92.8343222272935,2063.72130856172
B03,3057.12643793597,4820.00245147078,91.5046059365404,2315.12178209682
B04,2828.04051388336,5658.15463639832,92.1677459142769,2275.19432442762
B05,2697.59617805706,5317.14450671221,91.4551804423749,1971.93292149966
B06,3070.48147376537,5263.3573994567,94.3826799297835,2812.05091824682
B07,2214.14393952949,4662.13563504494,91.8559794256322,1974.70981077029
B08,2500.73074804895,5977.26661990804,94.4707740916272,2743.45367030605
B09,2530.8190330601,6130.06253369846,92.9890363531448,2287.65990615409
B10,2307.58526492167,4956.48078057193,93.3808251706738,2432.22231490863
B11,923.231581590451,2535.64860617625,73.6071955967244,663.357686351189
C02,1831.10334329226,2769.81575150403,92.3142979819665,2833.71249066453
C03,1161.92912413577,2593.75337346833,88.4573423521711,2388.33029101619
C04,2418.68748640953,4804.27998910275,87.5757575757576,1726.95116512457
C05,2720.69075892942,4965.18892082368,94.0309784661881,2805.1705095857
C06,3243.41787076857,6962.0275449326,90.6531531531532,1807.19040642197
C07,2692.84111241559,4687.97550995458,92.5293132328308,2262.11778213005
C08,2331.41030147894,5131.2077160929,91.7915106117353,2238.67149981888
C09,2445.76659783911,6612.5441811104,89.2006352567496,1655.50574879537
C10,1916.94628163881,6059.0500145374,94.2568633638372,2351.34193408196
C11,768.218966898209,4051.18754727393,71.9281790164813,599.002156779261
D02,2112.91475271192,3695.0617110057,89.433237271854,2408.61711348232
D03,3751.83225844633,4317.82347183786,60,313.634686566756
D04,3939.23645813872,5595.07501585772,94.4045014066896,2856.37969146762
D05,3286.99759637933,4790.11116596721,90.4147786685256,1811.1068705543
D06,1942.18105960171,6224.94408739799,89.6835057821059,1507.13602157969
D07,3242.15103012622,4835.76408894675,80.2369548777414,987.864005231506
D08,2329.6430312195,7074.72228095983,90.7017543859649,1711.29163982591
D09,1855.52647012058,6489.53069439771,91.358681201808,1508.44315822972
D10,1883.66963154576,3905.16835628038,92.0668612364022,2232.55841722766
D11,806.84681144875,1690.9493851747,73.8513446462241,650.628902355261
E02,520.257134051706,1145.91221871801,69.7520661157025,679.216875197083
E03,422.508030614956,1162.97605045346,60.6162937948501,413.600291501481
E04,687.898007084279,1733.98797774893,70.9998313943686,666.893865868209
E05,840.79055369754,3773.23320084219,85.5956828559568,1389.5475739957
E06,3139.09048767916,5590.83347097788,91.8838862559242,2121.43454621582
E07,1901.42016457716,5530.48518908042,92.2385376086305,2338.07783142519
E08,1987.38218229276,6146.62176042475,94.8323471400394,2599.46718396458
E09,1464.80182623668,5373.2172049041,92.0672507695951,1907.13155620534
E10,1590.65269012425,5104.21896384824,95.0955943474647,2634.51826412586
E11,1168.66637080256,2196.44898307058,78.6084278314434,831.472548480734
F02,1927.11616207472,3560.06012785696,85.3800298062593,1189.06966149347
F03,984.727933707159,3092.22254966358,84.6546546546546,1309.33718086727
F04,1015.60990603331,2500.65649833522,82.1679491468719,1074.68803636415
F05,1090.70061367605,2611.53721614908,84.2105263157895,1085.83720724854
F06,1880.94607363976,4241.0996494856,94.7002141327623,2527.31589211697
F07,1222.71990952045,6185.31607579375,96.1668545659526,2875.66385142781
F08,1706.32548721684,5147.80339346043,95.4956994114984,2631.19611090533
F09,2874.84508202931,4824.47103535894,93.2880434782609,2368.39375047876
F10,5187.08797694094,4377.63890277685,100,1961.52302863862
F11,1859.83375453998,4626.17911011989,100,2542.05493392867
G02,2016.3656924695,3664.82291720667,92.8614457831325,2172.16284542075
G03,563.844595741301,463.600211607046,65.2392947103275,545.68309710445
G04,504.976714496575,297.690918975351,59.1731266149871,392.962366538111
G05,857.353529519151,1781.2880436866,82.4358511022768,1277.97460173402
G06,2544.2183143802,6929.01667661336,86.8947368421053,1162.84479787
G07,2648.33523038579,5905.68206011255,84.5390898483081,993.178356589405
G08,1541.30719981578,6452.02578227642,85.5549358616843,1165.65520337513
G09,3363.82952442979,4842.82060404307,87.4230430958663,1350.71026910943
G10,1515.63574224258,2499.56094512972,75,762.294341604582
G11,1263.1467913243,3790.67345787132,100,1862.70166398684
