Well,GeoMean BV605-A of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A of Amet+GFP+_Lag3,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_Tim3
B02,6257.49413308186,1772.17832173819,31.3829787234043,83.0993574223976
B03,4951.4870135325,1806.09412029226,20.9455022980959,47.5058884515933
B04,5429.3402313931,2649.93623275737,26.8306971294669,69.991887236803
B05,6648.33065155792,2933.81468949007,29.4930875576037,92.9701479549626
B06,6444.97045271729,2934.81765624029,29.979035639413,77.9972765327221
B07,6728.18238568056,2843.52116738619,36.5235749472203,121.34872239429
B08,4989.01961743213,2383.0090490703,27.3390036452005,83.507009157433
B09,6485.2381849983,3174.15458969554,31.3755795981453,92.5671560186927
B10,5896.43695703804,3341.48235249119,34.9270256668344,106.800879617795
B11,4426.7669627676,2331.44273451435,26.5877287405813,66.9622238623364
C02,3820.48778491981,1806.76869367439,33.6200156372166,115.860365340995
C03,5661.52494028615,1928.52473720612,31.1868686868687,86.7449550127445
C04,6564.75100133585,2482.89770481844,33.3084391336819,108.041389420988
C05,5443.63104443665,2444.66368378282,41.306266548985,143.128129751861
C06,6046.86453412192,2639.70469218461,37.5,174.649709882385
C07,6025.67141091158,2501.37333363018,37.8609625668449,126.290018986192
C08,5113.75357592445,2532.48267059847,38.5777777777778,141.246630100729
C09,5872.64529287684,2356.64096525635,40.5681818181818,142.917317273077
C10,5390.22486693021,2414.21405018466,33.314121037464,101.162683636042
C11,6212.23280326539,2629.16304668786,40,141.981928005201
D02,6119.04811950427,2982.28420776053,35.6427713255907,118.82729981545
D03,6462.10591939905,2607.07374240539,36.9194591416814,116.705450824205
D04,6784.09553732319,2450.48296361071,25.8858858858859,66.5798895192717
D05,6562.41948263889,2384.46426395791,24.9097472924188,78.483896629839
D06,6218.74798456557,1908.18233867551,18.2062092755845,43.833746546296
D07,6510.67050746353,2148.3793849784,29.3812375249501,83.4213250210048
D08,6280.61281868128,2400.09660268621,32.9490874159462,102.246749302103
D09,6420.23362282308,2265.4971911666,28.8200339558574,81.1162934008384
D10,6167.95404460705,2767.86361979835,35.9628770301624,110.700337114539
D11,5457.28564765825,2303.6899205261,26.0869565217391,121.070647566662
E02,7338.51728509426,171.725023339758,40,134.200712580027
E03,6883.30336782636,2922.3143947434,34.4097995545657,112.273437891743
E04,6134.80802342085,2638.27168900595,30.1587301587302,94.3022493229406
E05,5930.53679192723,1941.86490222322,22.3750905141202,60.9199350673577
E06,5849.01541458451,2538.21569794509,24.2533936651584,75.6629884745159
E07,7696.4883612722,2746.54277092678,34.0154615734425,109.159902861783
E08,6231.30374738193,2710.04183807631,33.9091490722969,112.98727347919
E09,5473.31552332513,2383.22368493393,30.6238185255198,95.2457782563434
E10,6648.74557974859,2717.2040502421,46.3962189838519,207.434666404325
E11,5922.67420968697,3183.17763600454,29.9206921413122,83.747059194939
F02,6500.01093039644,2886.07815873469,37.0578778135048,132.277257380792
F03,7979.35319167793,2797.60996182813,50.208507089241,254.690305483059
F04,5907.04384712788,2300.53437451014,46.2301587301587,211.983311501116
F05,5442.38625484418,3031.88572984982,34.9794238683128,114.169252436316
F06,5738.11354347655,2029.60522810626,23.2409381663113,70.3704687126573
F07,5272.97856729413,2366.25702007964,42.503022974607,176.863636487174
F08,4469.47953767698,2146.76635104012,35.4755784061697,100.338102181053
F09,5258.69260209705,2278.36409229538,37.4028349336991,136.737241082672
F10,5199.28710875512,2487.63125664239,30.5037313432836,90.8298773541629
F11,7011.65777290364,2728.74461199916,42.0685279187817,164.685164613791
G02,7190.55633418077,2505.30086486721,42.1866056096165,170.103347467577
G03,5256.31019986343,3022.81524813031,36.7135003054368,135.385710113929
G04,5386.42259698311,2897.03065271186,43.3712121212121,170.246320658563
G05,7071.80909129884,2303.04277978117,42.566510172144,176.654036365907
G06,6828.4079484636,2559.00866789728,31.9098457888493,90.7676462822586
G07,6831.39104122569,3122.32707293795,38.6426592797784,142.546787752702
G08,5419.76431718538,2166.57138130447,33.1512605042017,103.679036844341
G09,5789.70756926035,2301.64293307694,33.6248012718601,106.870984841783
G10,5600.85846493719,2025.05419650275,34.640522875817,111.821970047391
G11,4640.35624155405,2410.59959821807,46.815834767642,208.853337094943
