Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Tdg.1,10328.3015,2368.682612,33.80782918,12.93001186,5.96585759,39.14015268
B03,Ube2b.1,10867.79965,1917.29371,30.48275862,12.68965517,6.526838841,63.70698872
B04,Ube2e1.1,10390.11197,5105.70843,37.7672209,11.63895487,9.094889808,91.89796409
B05,Trim66.1,8071.381274,1697.564206,34.41226576,11.75468484,9.852945082,82.47784089
B06,Tet2.1,8314.290578,2046.862318,26.66005946,11.99207136,8.994424077,83.79956921
B07,Usp51.1,6850.23649,2381.477222,30.8477237,12.24489796,10.87302283,80.92637902
B08,Uhrf1.1,9986.54544,1911.703223,21.04651163,12.6744186,8.22348483,72.5427925
B09,Trim28.1,7614.221332,3333.711668,29.28321678,9.877622378,9.588841754,73.92050456
B10,Tet1.1,10241.61032,1795.826177,23.76943005,8.613989637,7.433589081,93.09208784
B11,Usp22.1,7985.31387,1325.189433,26.04930047,12.19187209,10.41604007,75.52930391
C02,Uhrf1.2,13792.61771,1530.248506,14.85148515,15.48154815,6.571806633,62.38912783
C03,Tet3.1,9665.414182,2878.745313,29.29292929,14.35786436,8.90950122,84.38072353
C04,Tdg.2,8300.493505,2353.860033,30.37872683,13.37630943,6.977315109,50.68559604
C05,Usp22.2,8112.590247,2638.064128,29.35273457,14.09934772,8.659584086,73.34326608
C06,Ube2i.1,5968.370837,2031.68531,23.58581016,14.57334612,11.7129538,54.15911526
C07,Ube2e1.2,5631.972909,3183.618195,38.46153846,23.07692308,18.85530799,46.40933096
C08,Tet2.2,5940.542395,2126.476059,27.18786464,15.40256709,13.18001065,68.68913771
C09,Usp27x.1,7695.507844,2749.531867,18.18181818,36.36363636,10.06874345,124.1041701
C10,Ube2b.2,5732.611144,1552.544079,18.86336155,12.99879081,12.7883345,55.18651665
C11,Trim33.1,9957.467165,2240.177306,25.20740268,10.72112317,7.514629972,76.01488257
D02,Tet1.2,8819.279757,2647.491866,29.00919305,15.93462717,9.2553593,63.94082942
D03,Usp27x.2,9361.165106,3053.720509,31.87686197,15.69016882,8.281483746,84.53556444
D04,Ube2b.3,9057.702558,2744.002006,31.88118812,16.43564356,8.934225033,71.22336464
D05,Trim24.1,6505.447399,2971.988643,64.70588235,29.41176471,19.53768145,110.1032835
D06,Tet3.2,7113.348857,2272.90982,30.3514377,13.95101171,9.591265498,80.94123632
D07,Usp27x.3,8052.670801,2912.240922,34.61538462,13.49924585,8.428656075,66.30385223
D08,Ube2i.2,10002.50631,2411.124886,29.19020716,13.74764595,6.964109744,65.52624409
D09,Trim28.2,7279.437114,2696.266103,23.05732484,15.03184713,11.39557539,69.40698826
D10,Tdg.3,9220.87783,2283.694049,28.91566265,12.95180723,8.082706738,76.36535027
D11,Usp51.2,7240.518015,1652.769316,26.3409453,13.06425916,10.0503755,65.0509197
E02,Trim33.2,9890.697477,2305.806451,31.34171908,14.360587,7.423420568,55.55976415
E03,Trim66.2,9334.906714,4081.403849,41.66666667,25,12.18844838,60.21273625
E04,Tdg.4,8259.042497,2700.949389,30.03717472,11.44981413,9.60995069,73.73506578
E05,Uhrf1.3,9504.919252,2022.523088,27.56622517,13.49337748,7.238236123,70.54249373
E06,Ube2e1.3,6180.014982,3275.255321,32.50345781,10.78838174,11.33243512,69.04721512
E07,Trim24.2,8022.845712,1798.468702,29.51351351,11.02702703,8.892484285,68.39489254
E08,Tet1.3,8446.438289,2315.228527,32.49409913,12.27380016,9.74890619,77.9396324
E09,Usp22.3,6926.03777,2770.294702,28.68217054,9.020436927,11.39840536,61.08317769
E10,Ube2i.3,9145.936353,3142.720753,40,20,16.13419675,50.84821467
E11,Trim28.3,10815.2271,2137.313359,18.2320442,8.655616943,8.344751778,41.14792569
F02,Tet2.3,9521.389507,3661.264756,32.73056058,13.38155515,7.393114573,63.43714351
F03,Usp51.3,9189.542041,2821.048951,40.15748031,11.36107987,7.580262548,81.16638584
F04,Ube2e1.4,7816.985362,3494.120521,34.46745562,13.31360947,8.685363983,64.84394052
F05,Trim24.3,10696.84457,2461.557063,31.71953255,15.02504174,7.583767616,58.05657887
F06,Tet3.3,9954.735473,2502.552818,35.29411765,11.64215686,7.331194376,54.97453337
F07,Uhrf1.4,10421.96699,2466.359392,23.70892019,11.85446009,7.401119658,60.13918492
F08,Trim66.3,10545.12457,2292.867594,30.15873016,10.61507937,7.465240962,68.94800503
F09,Trim33.3,9060.458834,2891.430475,29.23649907,14.05959032,9.877195373,72.4321314
F10,Tet3.4,9116.761129,2733.611855,27.65765766,11.35135135,10.93245155,68.56674231
F11,Usp22.4,10721.59915,1292.90789,26.42857143,9.444444444,7.959734397,72.85167859
G02,Ube2i.4,8935.348126,3565.505907,42.4184261,23.6084453,8.976075943,69.02849087
G03,Trim33.4,8776.415854,1781.809439,32.09090909,20,16.20723635,85.77827965
G04,Tet1.4,8265.919333,2792.666227,34.14080242,12.26343679,8.605674237,92.73055881
G05,Usp51.4,9723.528679,2722.401671,29.62962963,12.34567901,8.755226987,80.20468591
G06,Usp27x.4,4760.684173,3117.251002,31.43893591,11.547763,15.78417445,83.10234372
G07,Trim24.4,9478.44128,2477.400408,31.11545988,15.45988258,11.17266469,82.74494079
G08,Tet2.4,7606.367941,2479.170534,34.36083409,19.31097008,13.97273619,87.34505523
G09,Ube2b.4,8556.149441,2257.265194,31.91304348,11.30434783,10.56406122,69.9334241
G10,Trim28.4,9621.330509,2818.17658,23.60294118,13.38235294,10.77031095,54.25607724
G11,Trim66.4,11289.28568,1897.452664,24.87906012,12.37042156,8.295227949,59.25141961
