,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 21,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:47:30 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Satb1.3,B02,Sample,887,1427,1231,8299,6338.453879,8433.842496,4725.585523,2164.944159,2383.987135,2462.464345,4011.357037,3048.349549,30.21420519,22.33956133,14.85634198,26.08562691,4.058624577,227.9552716,12.1039805,43.86825508,0.789177001,8.372071756,11.70072199,29.24270545,60.18552898,116.279923,95.56744768
B06,Setd7.2,B06,Sample,4240,1429,1133,16890,10166.93082,9830.378074,4432.879028,4176.137952,2841.62512,2325.475836,3681.681048,4443.190178,33.04245283,26.83142101,19.94401679,26.88483323,7.051886792,253.3687943,17.91703442,39.46815955,0.54245283,6.380552177,10.31694808,26.73988837,70.62486079,91.82864737,71.78940112
B09,Smarcd2.3,B09,Sample,1809,1654,1893,10865,9500.580402,4905.06433,3086.466739,3760.94259,2478.468205,1872.408168,1077.01682,4012.191843,33.22277501,30.05810882,17.23095526,26.42500657,5.527915976,143.0795848,22.45113576,69.89117291,0.442233278,8.075867853,15.725208,32.87310046,82.89617335,149.9476844,226.271036
B10,Setd3.1,B10,Sample,845,2266,1544,8830,9546.091561,6788.308709,3778.431408,4210.166844,2521.861996,2292.079238,3848.793291,4211.354842,31.71597633,31.34715026,24.31597529,26.94805195,5.443786982,256.6251416,13.47150259,38.96734334,0.828402367,6.907050365,15.61746346,32.47839811,71.50507451,89.06840398,81.96518555
C03,Smarca2.3,C03,Sample,854,1927,1155,7755,12729.40574,12163.1786,5707.537657,4757.558571,2292.224385,1810.832712,3758.043645,4110.835221,34.77751756,23.63636364,19.40840685,25.55635319,4.918032787,258.310992,12.03463203,38.71302543,0.819672131,4.696181451,7.576842841,17.66602441,53.45190851,97.19600724,74.36909214
C04,Scmh1.1,C04,Sample,1413,1167,826,8028,8234.166131,8571.033297,4155.649944,3174.236268,2558.028801,2169.444391,3213.752201,3607.350963,33.54564756,25.90799031,17.99485861,28.49354376,5.378627035,210.6498195,14.40677966,47.47215081,0.566171267,7.561149566,11.6166548,25.86334372,71.21533808,89.45844558,64.93789617
C08,Sirt2,C08,Sample,3364,1,13,9973,10077.61337,14771.30122,2132.043213,3972.704129,2671.142841,5198.387744,1,4077.588784,33.23424495,46.15384615,0,25.8361352,9.542211653,100,38.46153846,100,0.951248514,7.930280302,20.82426026,1,82.26629128,126.9677946,235.9098358
C11,Ube2a.1,C11,Sample,240,1121,729,3254,9513.178465,10663.32655,4677.209467,3870.291225,2503.07635,2264.661156,3899.570882,4142.476291,29.58333333,24.55418381,19.26851026,27.30627306,6.666666667,245.8333333,10.56241427,40.6779661,0,6.540733802,8.340298578,21.51450217,86.3640155,101.2320288,89.13685564
D02,Setd3.2,D02,Sample,872,1630,1058,7336,11305.4941,9545.122466,4832.926667,5002.22916,2355.363441,2404.080157,3935.125946,4427.037939,34.51834862,36.57844991,27.17791411,29.72689076,4.931192661,213.6304063,17.48582231,46.80981595,0.344036697,6.59779977,10.79682228,30.68015504,55.85462749,96.64125415,75.20769326
D05,Smarcc1.2,D05,Sample,1028,1458,1582,7837,11160.88058,8061.196568,4094.058345,4351.099198,2653.83687,3029.672785,4068.395411,3910.52683,35.60311284,24.20986094,20.85048011,28.05578343,4.474708171,262.2302158,13.59039191,38.13443073,0.291828794,5.598590894,12.28847411,24.97025292,79.79526623,141.4743386,132.1393963
