"Experiment: 100U p1","Analysis: Analysis 1","User: Admin","Plate: 15","Plate Type: 96 Well","Plate Order: Row","Export Date: 6/4/2015","Export Time: 8:05:58 PM"
"Well ID","Well Type","GeoMean PE-Cy7-A - CXCR3 of Amet+","GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+","GeoMean PE-Cy7-A - CXCR3 of GFP+"
"B02","Sample",490.329725170742,146.437607393532,81.8688308464367
"B03","Sample",451.801398937621,69.3452621892609,49.3486549988051
"B04","Sample",126.075986016582,61.665719425821,47.808423903508
"B05","Sample",149.591087847393,72.9851632816901,42.246390128807
"B06","Sample",182.491805287269,64.2053388763278,49.9034389951692
"B07","Sample",223.347990769142,65.1551229545867,43.6577818513092
"B08","Sample",205.04638838591,59.9523488404385,44.753784541626
"B09","Sample",270.969772887263,80.6415250717657,43.7266279546644
"B10","Sample",184.56041714544,72.6212269376123,51.131204105865
"B11","Sample",291.750030117101,121.327760099713,53.8909535401997
"C02","Sample",135.339306903907,80.7422740434776,55.233703571145
"C03","Sample",232.292476113584,89.3398933525219,47.761850248384
"C04","Sample",529.633472550583,96.143249622521,63.6405955390807
"C05","Sample",170.900562639185,77.7910334750307,41.4182453288153
"C06","Sample",515.413960162715,95.8131224663734,48.3825817212801
"C07","Sample",178.130545388865,59.0165670121632,43.5434003013632
"C08","Sample",365.951772800902,69.6856611694184,49.1055530600106
"C09","Sample",170.519333880592,86.5683593954077,46.5080230887881
"C10","Sample",388.677101182894,86.0545194764796,38.9313883330302
"C11","Sample",788.217468886073,136.524435469901,61.4280445036208
"D02","Sample",265.659053229251,81.5277266559896,53.7828103728205
"D03","Sample",296.794634475184,80.8947287204451,44.2866343607275
"D04","Sample",524.185748830942,92.8977243188695,51.1076372628097
"D05","Sample",169.86503017884,74.053439533514,40.2614439170264
"D06","Sample",203.7162675371,59.2048543644016,34.7585717168336
"D07","Sample",182.411314331338,63.0718022392166,45.9962951792936
"D08","Sample",164.589392934633,62.7200277223238,38.10584016387
"D09","Sample",402.389941921624,92.2489771055123,49.5161863646403
"D10","Sample",1063.07876238694,93.9292164202661,86.5105592549867
"D11","Sample",133.903196524555,69.5779499675488,41.5112375790753
"E02","Sample",239.779592610286,90.9181518247456,46.1104549845087
"E03","Sample",323.546978357757,66.929802158177,44.2664925468639
"E04","Sample",396.855944582389,69.5613625143394,50.310907407347
"E05","Sample",135.350302643722,59.8370332595629,42.6249824021123
"E06","Sample",381.78118193066,86.4586556852201,43.6726479862719
"E07","Sample",156.579756903259,63.5829871675225,33.8063410947853
"E08","Sample",313.420827611411,89.8025926458711,45.6331396059819
"E09","Sample",263.000580419022,55.1638251282007,35.5824321358688
"E10","Sample",233.91551475421,44.7212051708118,27.9795546514302
"E11","Sample",94.184100760754,53.1084000886974,35.5779749530062
"F02","Sample",216.453156447714,59.1654095414176,44.1662867645123
"F03","Sample",274.169648376699,70.9635449974842,37.7519903165273
"F04","Sample",172.255810203569,56.9557874061506,29.3740172706867
"F05","Sample",342.484718249571,83.4015400486913,33.4500481179715
"F06","Sample",162.221437271885,55.2095509398491,37.5817635639135
"F07","Sample",173.46470018162,57.29283930959,44.3823969547345
"F08","Sample",445.969441853408,59.0530525456386,63.6737766548141
"F09","Sample",175.666101247091,65.9309586401753,27.5391376684456
"F10","Sample",241.335350819445,84.1850156807162,34.8848599952516
"F11","Sample",543.84069833568,20.1766737959428,51.8612680426646
"G02","Sample",318.504846530165,66.4824817265007,39.7484559640449
"G03","Sample",221.308743208021,82.4175047265629,35.0373633626878
"G04","Sample",239.436067268778,62.9191016944054,42.5663166634348
"G05","Sample",230.281531825122,72.7283158983015,42.7461920042943
"G06","Sample",235.020853523348,82.6542443454865,46.6819790565986
"G07","Sample",177.309434982924,80.424567295422,41.1562030896867
"G08","Sample",25.9434606455138,63.6126994480963,50.3500204598335
"G09","Sample",196.972770895822,62.3499106064628,34.0310905280747
"G10","Sample",161.26817399015,46.4361766707118,48.3276449427977
"G11","Sample",216.96090495706,60.3117638133478,55.3638697838503
