shRNA,count
Actb,0
Actl6a,8
Actl6b.1,439
Actl6b.2,0
Actl6b.3,0
Actl6b.4,0
Aff1.1,0
Aff1.2,0
Aff1.3,35
Aff1.4,0
Aff4.1,1
Aff4.2,0
Aff4.3,0
Aff4.4,0
Arid1a.1,1
Arid1a.2,0
Arid1b.1,0
Arid1b.2,0
Arid1b.3,0
Arid2.1,0
Arid2.2,1
Arid2.3,0
Arid2.4,0
Ash1l.1,6
Ash1l.2,0
Ash1l.3,2
Ash1l.4,9
Ash2l.1,0
Ash2l.2,0
Ash2l.3,0
Ash2l.4,0
Asxl1.1,47
Asxl1.2,0
Asxl1.3,0
Asxl1.4,31
Asxl2.1,0
Asxl2.2,8
Asxl2.3,13
Asxl2.4,588
Asxl3.1,780
Asxl3.2,482
Asxl3.3,0
Asxl3.4,3331
Atad2.1,0
Atad2.2,0
Atad2.3,1043
Atad2.4,0
Atad2b.1,445
Atad2b.2,1
Atad2b.3,7
Atad2b.4,211
Atm.1,0
Atm.2,0
Atm.3,36
Atm.4,585
Atr.1,0
Atr.2,5
Atr.3,0
Atr.4,0
Atrx.1,0
Atrx.2,0
Atrx.3,0
Atrx.4,33
Aurkb.1,614
Aurkb.2,0
Aurkb.3,3
Aurkb.4,1
Baz1a.1,0
Baz1a.2,8664
Baz1a.3,0
Baz1a.4,415
Baz1b.1,0
Baz1b.2,611
Baz1b.3,76
Baz1b.4,0
Baz2a.1,3
Baz2a.3,0
Baz2a.4,0
Baz2b.1,2193
Baz2b.2,17325
Baz2b.3,0
Baz2b.4,0
Bcl6,108
Bcl6.2,773
Bcl6.3,86
Bmi1.1,16
Bmi1.2,0
Bmi1.3,0
Bmi1.4,0
Bop1.1,0
Bop1.2,18
Bop1.3,8124
Bop1.4,1
Bptf.1,8
Bptf.2,0
Bptf.3,1
Bptf.4,0
Brd1.1,1078
Brd1.2,0
Brd1.3,0
Brd1.4,0
Brd2.1,0
Brd2.2,0
Brd2.3,1
Brd2.4,0
Brd3.1,0
Brd3.2,118
Brd3.3,1
Brd3.4,2
Brd4.1,0
Brd4.2,0
Brd4.3,0
Brd4.4,0
Brd7.1,0
Brd7.2,0
Brd7.3,0
Brd8.1,137
Brd8.2,0
Brd8.3,0
Brd8.4,3678
Brd9.2,0
Brd9.3,66
Brd9.4,0
Brdt.1,15
Brdt.2,0
Brdt.3,271
Brpf1.1,0
Brpf1.2,18
Brpf1.3,0
Brpf1.4,0
Brpf3.1,0
Brpf3.2,0
Brpf3.3,0
Brpf3.4,0
Brwd1.1,76
Brwd1.2,1
Brwd1.3,27
Brwd1.4,0
Brwd3.1,0
Brwd3.2,188
Brwd3.3,0
Carm1.1,0
Carm1.2,237
Carm1.3,0
Carm1.4,0
Cbx1.1,10
Cbx1.2,12
Cbx1.3,0
Cbx1.4,0
Cbx2.1,0
Cbx2.2,4
Cbx2.3,0
Cbx3.1,930
Cbx3.2,0
Cbx3.3,0
Cbx3.4,0
Cbx4.1,0
Cbx4.2,0
Cbx4.3,0
Cbx4.4,1
Cbx5.1,216
Cbx5.2,2
Cbx5.3,0
Cbx5.4,0
Cbx6.1,0
Cbx6.2,0
Cbx6.3,1
Cbx6.4,0
Cbx7.1,3
Cbx7.2,0
Cbx7.3,0
Cbx7.4,0
Cbx8.1,1
Cbx8.2,0
Cbx8.3,0
Cbx8.4,0
Ccnt1,546
Ccnt1.2,19757
Ccnt1.3,2779
Ccnt1.4,3545
Cd14,1087
Cd14.2,1068
Cd19,831
Cd19.3,421
Cd19.4,3085
CD4.1,0
CD4.2,484
CD4.3,167
CD4.4,120
Cd4.5,0
CDK9.1,325
CDK9.2,4
CDK9.3,4010
Cecr2.1,0
Cecr2.2,0
Cecr2.3,0
Chaf1a.1,80
Chaf1a.2,0
Chaf1a.3,0
Chaf1a.4,39
Chaf1b.1,5
Chaf1b.2,0
Chaf1b.3,0
Chaf1b.4,0
Chd1.1,0
Chd1.2,0
Chd1.3,240
Chd1.4,31
Chd1l.1,0
Chd1l.2,0
Chd1l.3,0
Chd2.1,0
Chd2.2,0
Chd2.3,0
Chd2.4,1
Chd3.1,169
Chd3.2,0
Chd3.3,0
Chd3.4,2
Chd4.1,2
Chd4.2,16
Chd4.3,0
Chd4.4,0
Chd5.1,14
Chd5.2,0
Chd5.3,1
Chd5.4,0
Chd6.1,0
Chd6.2,0
Chd6.3,0
Chd6.4,0
Chd7.1,410
Chd7.2,15
Chd7.3,0
Chd8.1,720
Chd8.2,1
Chd8.3,0
Chd8.4,0
Chd9.1,7
Chd9.2,16
Chd9.3,2
Chd9.4,28
Clock.1,0
Clock.2,0
Clock.3,0
Crebbp.1,1
Crebbp.2,0
Crebbp.3,644
Crebbp.4,0
Ctsl.1,4
Ctsl.2,0
Ctsl.3,1
Ctsl.4,0
Cxxc1.1,0
Cxxc1.2,0
Cxxc1.3,0
Cxxc1.4,0
Dmap1.1,0
Dmap1.2,0
Dmap1.3,0
Dmap1.4,434
Dnmt1.1,0
Dnmt1.2,6
Dnmt1.3,0
Dnmt1.4,451
Dnmt3a.1,1
Dnmt3a.2,1
Dnmt3a.3,1
Dnmt3a.4,0
Dnmt3b.1,0
Dnmt3b.2,0
Dnmt3b.3,58
Dnmt3b.4,0
Dnmt3l.1,0
Dnmt3l.2,0
Dnmt3l.3,120
Dnmt3l.4,0
Dot1l.1,0
Dot1l.2,11
Dot1l.3,0
Dot1l.4,0
Dpy30.1,0
Dpy30.2,0
Dpy30.3,0
Dub2a.1,0
Dub2a.2,0
Dub2a.3,20
Dub2a.4,0
Eaf1.1,120
Eaf1.2,54
Eaf1.3,0
Eed.1,0
Eed.2,0
Eed.3,0
Eed.4,0
Ehmt1.1,0
Ehmt1.2,0
Ehmt1.3,48
Ehmt1.4,0
Ehmt2.1,0
Ehmt2.2,0
Ehmt2.3,0
Ehmt2.4,0
Elp3.1,0
Elp3.2,1
Elp3.4,0
Elp4.1,0
Elp4.2,0
Elp4.3,1
Elp4.4,6418
Ep300.2,0
Ep300.3,0
Ep400.1,3
Ep400.2,0
Ep400.3,0
Ep400.4,0
Epc1.1,0
Epc1.2,1
Epc1.3,9
Epc1.4,0
Epc2.1,1
Epc2.2,0
Epc2.3,0
Epc2.4,0
Ercc5.1,945
Ercc5.2,1
Ercc5.3,0
Ercc5.4,161
Ezh1.2,987
Ezh1.3,904
Ezh1.4,1
Ezh2.1,0
Ezh2.2,0
Ezh2.3,3
Ezh2.4,0
Fbxl19.1,301
Fbxl19.2,0
Fbxl19.3,0
Fbxl19.4,0
Fbxo17.1,0
Fbxo17.2,0
Fbxo17.3,0
Fbxo44.1,567
Fbxo44.2,95
Fbxo44.3,0
Fbxo44.4,0
Fbxw9.1,0
Fbxw9.2,0
Fbxw9.3,1
Fbxw9.4,0
Fkbp1a.1,0
Fkbp1a.3,0
Fkbp1a.4,59
Fkbp2.1,0
Fkbp2.2,0
Fkbp2.3,0
Fkbp5.1,76
Fkbp5.2,0
Fkbp5.3,0
Fosb,18
Fosb.2,0
Gadd45a.1,0
Gadd45a.2,1
Gadd45a.3,1
Gadd45a.4,0
Gadd45b.1,1
Gadd45b.2,18
Gadd45b.3,0
Gadd45b.4,356
Gtf2b.1,67
Gtf2b.2,3
Gtf2b.3,0
Gtf2b.4,0
Gtf2f1.1,85
Gtf2f1.2,0
Gtf2f1.3,0
Gtf2f1.4,0
Gtf2h1.1,47
Gtf2h1.2,0
Gtf2h1.3,0
Gtf3c4.1,0
Gtf3c4.2,4
Gtf3c4.3,0
Gtf3c4.4,0
H2afz.1,0
H2afz.2,0
H2afz.3,0
Hat1.1,222
Hat1.2,0
Hat1.3,0
Hat1.4,0
Hcfc1.1,0
Hcfc1.2,1
Hcfc1.3,0
Hcfc1.4,0
Hdac1.1,1
Hdac1.2,5
Hdac1.3,0
Hdac1.4,0
Hdac10.1,0
Hdac10.2,0
Hdac10.3,533
Hdac10.4,0
Hdac11.1,0
Hdac11.2,25
Hdac11.3,0
Hdac2.1,0
Hdac2.2,0
Hdac2.3,6
Hdac2.4,253
Hdac3.1,0
Hdac3.2,2
Hdac3.3,0
Hdac3.4,0
Hdac4.1,0
Hdac4.2,0
Hdac4.3,0
Hdac4.4,0
Hdac5.1,0
Hdac5.2,0
Hdac5.3,2
Hdac6.1,0
Hdac6.2,0
Hdac6.3,0
Hdac6.4,0
Hdac7.1,1
Hdac7.2,0
Hdac7.3,0
Hdac7.4,0
Hdac8.1,324
Hdac8.2,0
Hdac8.3,0
Hdac8.4,1
Hdac9.2,1068
Hdac9.3,0
Hells.1,0
Hells.2,0
Hells.3,0
Hells.4,54
Hes1,149
Hes1.2,744
Hes1.3,1159
Hes6,0
Hes6.3,0
Hira.1,0
Hira.2,0
Hira.3,0
Hira.4,4
Hltf.1,0
Hltf.2,0
Hltf.3,105
Hltf.4,0
Id2,4
Id2.2,485
Id2.3,3802
Id2.4,804
Id2.5,510
Id3,1502
Id3.2,5904
Id3.3,7101
Id3.4,80
Id3.5,0
Ing2.1,0
Ing2.2,1
Ing2.3,0
Ing2.4,12
Ing3.1,0
Ing3.2,0
Ing3.3,0
Ing3.4,0
Ing4.1,0
Ing4.2,2
Ing4.3,0
Ing4.4,0
Ing5.1,0
Ing5.2,0
Ing5.3,0
Ing5.4,0
Ino80.1,0
Ino80.2,1
Ino80.3,0
Ino80.4,0
Iws1.1,0
Iws1.2,0
Iws1.3,0
Jarid2.1,6
Jarid2.2,0
Jarid2.3,0
Jarid2.4,0
Jhdm1d.1,0
Jhdm1d.2,0
Jhdm1d.3,0
Jhdm1d.4,0
