type,shRNA,count
target,Chd1.1,27810
target,Asxl2.4,23895
target,Cbx3.4,11857
target,Cbx3.1,10837
target,Hells.4,10223
target,Elp4.4,7569
target,Chd1.3,6619
target,Asxl3.1,5679
target,Baz1b.2,5477
target,Jarid2.2,4683
target,Hdac8.1,4506
target,Chd8.2,4375
target,Chd3.1,3573
target,Brd1.2,3285
target,Hdac2.3,3013
target,Asxl2.1,2907
target,Baz2b.1,2756
target,Arid2.2,2679
target,Brwd3.2,2612
target,Cbx3.3,2584
target,Dnmt3b.2,2578
target,Ehmt1.3,2559
target,Jmjd1c.2,2335
target,Hltf.3,2276
target,Carm1.2,2215
target,Hat1.1,2039
target,Brd8.3,1977
target,Aurkb.1,1938
target,Cbx7.1,1922
target,Bmi1.4,1909
target,Ash1l.3,1865
target,Dnmt1.2,1811
target,Jmjd1c.4,1712
target,Hells.2,1645
target,Baz1a.4,1644
target,Brd3.2,1562
target,Atr.3,1552
target,Dnmt3a.4,1528
target,Hdac10.2,1521
target,Brwd1.1,1516
target,Hira.4,1504
target,Atm.2,1486
target,Epc1.3,1471
target,Dot1l.1,1435
target,Ash1l.1,1389
target,Brd9.2,1322
target,Cbx1.4,1298
target,Dub2a.1,1287
target,Cxxc1.4,1280
target,Cbx2.2,1245
target,Ing4.3,1241
target,Dnmt3a.3,1164
target,Cbx5.1,1163
target,Hdac8.4,1134
target,Chd1.4,1128
target,Chd8.1,1098
target,Fbxl19.2,1081
target,Chd9.4,1072
target,Chd9.3,1061
target,Atad2b.1,1057
target,Chaf1b.1,1049
target,Cbx4.2,1026
target,Ing2.2,1024
target,Brwd1.3,1006
target,Aff4.3,996
target,Ing3.3,987
target,Chd4.4,978
target,Cbx1.2,952
target,Brwd3.1,950
target,Brd8.4,939
target,Asxl1.4,937
target,Brd2.1,889
target,Crebbp.3,888
target,Gtf3c4.4,867
target,Hdac6.4,858
target,Cbx8.2,847
target,Ino80.1,828
target,Ehmt2.2,815
target,Ing2.4,798
target,Cbx7.3,794
target,Chd9.1,765
target,Cbx4.4,762
target,Ing5.2,736
target,Jarid2.3,727
target,Chd2.4,716
target,Atad2.3,715
target,Elp4.2,703
target,Ing4.4,698
target,Gtf2f1.4,697
target,Hes6.3,691
target,Ash1l.2,656
target,Baz2a.1,654
target,Bptf.2,647
target,Asxl2.3,618
target,Atm.3,618
target,Ezh1.2,613
target,Ing2.1,597
target,Aff1.3,555
target,Cbx5.2,554
target,Chd2.1,550
target,Dnmt3a.1,546
target,Atr.1,519
target,Hdac2.1,515
target,Elp4.3,502
target,Baz2a.4,478
target,Ehmt2.3,474
target,Jarid2.1,474
target,Cbx8.3,472
target,Gadd45a.4,464
target,Ezh2.4,460
target,Chd8.3,458
target,Ino80.2,453
target,Hells.1,440
target,Ing3.2,437
target,Ing3.1,434
target,Ep400.1,424
target,Brd9.3,414
target,Brd4.4,409
target,Brd1.1,396
target,Jhdm1d.1,395
target,Jmjd4.2,381
target,Dmap1.2,373
target,Aff4.4,369
target,Baz1b.3,366
target,Dnmt3l.2,361
target,Brd8.1,356
target,Atrx.3,350
target,Carm1.1,349
target,Dnmt3b.3,344
target,Atad2.1,338
target,Cbx1.1,319
target,Baz2b.4,317
target,Gadd45b.3,306
target,Eed.2,297
target,Aurkb.2,293
target,Hdac2.2,292
target,Chd6.2,291
target,Hdac2.4,291
target,Epc2.4,280
target,Hat1.2,274
target,Ep400.3,271
target,Cbx7.4,269
target,Chd5.1,262
target,Cbx8.4,252
target,Hat1.3,251
target,Chd8.4,246
target,Cbx8.1,240
target,Atad2b.4,238
target,Ino80.3,238
target,Asxl1.2,237
target,Gadd45b.2,237
target,Chd5.3,236
target,Fkbp1a.4,236
target,Ezh1.3,234
target,Actl6b.2,230
target,Atad2b.3,230
target,Ehmt2.1,222
target,Fkbp1a.1,218
target,Hltf.2,216
target,Brpf1.2,208
target,Dub2a.4,207
target,Chd6.3,206
target,Atr.2,204
target,Ash2l.2,202
target,Dnmt3b.1,200
target,Brpf3.4,198
target,Hdac4.3,190
target,Baz2b.2,186
target,Gadd45b.1,183
target,Brpf1.3,180
target,Brd8.2,179
target,Elp4.1,178
target,Hdac4.1,168
target,Dnmt3b.4,168
target,Chd3.4,167
target,Atm.1,167
target,Jhdm1d.2,166
target,Bop1.2,165
target,Dot1l.3,163
target,Gtf2h1.2,162
target,Asxl2.2,160
target,Brd2.4,157
target,Epc2.3,155
target,Hdac1.3,151
target,Asxl3.2,151
target,Gtf2b.1,147
target,Baz2b.3,139
target,Dmap1.4,133
target,Hdac8.2,132
target,Gtf3c4.2,121
target,Asxl3.3,110
target,Hdac7.1,105
target,Bop1.3,105
target,Jarid2.4,101
target,Hdac3.4,101
target,Ing3.4,101
target,Ctsl.1,100
target,Hdac6.1,100
target,Brwd3.3,99
target,Ash2l.1,95
target,Atrx.4,90
target,Chd5.4,86
target,Ehmt2.4,83
target,Atad2.2,82
target,Brd2.3,81
target,Hdac9.2,81
target,Crebbp.2,80
target,Eed.4,80
target,Atad2b.2,78
target,Brd1.3,73
target,Hdac8.3,72
target,Ezh1.4,70
target,Chd3.3,69
target,Asxl3.4,68
target,Carm1.4,64
target,Dmap1.1,60
target,Hes6,60
target,Ino80.4,58
target,Dnmt3l.3,56
target,Brd2.2,54
target,Chaf1a.4,52
target,Eaf1.1,51
target,Jmjd4.3,49
target,Brd3.1,46
target,Dot1l.2,45
target,Ctsl.2,44
target,Ep400.4,43
target,Hdac10.3,43
target,Ctsl.4,41
target,Ercc5.1,40
target,Fbxo44.2,37
target,Chaf1b.3,37
target,Chd2.2,36
target,Ep300.2,34
target,Ehmt1.1,34
target,Crebbp.1,33
target,Ep300.3,33
target,Fbxl19.1,32
target,Chd1l.1,32
target,Brd3.3,31
target,Bptf.4,31
target,Gtf2f1.2,30
target,Baz1a.2,30
target,Chd1l.3,29
target,Cbx6.2,28
target,Chd4.3,28
target,Ing4.1,27
target,Cxxc1.2,27
target,Dub2a.3,25
target,Cbx3.2,24
target,Hdac7.2,24
target,Hdac1.4,23
target,Gtf2b.3,22
target,Chaf1b.2,22
target,Atad2.4,21
target,Cxxc1.3,21
target,Bop1.1,20
target,Chd1l.2,19
target,Aurkb.4,19
target,Jhdm1d.4,18
target,Hira.1,17
target,Fbxo44.1,17
target,Elp3.4,17
target,Ash2l.3,15
target,Bmi1.2,15
target,Atm.4,15
target,Dnmt3l.1,15
target,Aff1.4,14
target,Ehmt1.2,14
target,Chd1.2,13
target,Bmi1.1,13
target,Epc1.2,13
target,Fkbp1a.3,13
target,Chd5.2,12
target,Ash1l.4,12
target,Ercc5.2,11
target,Carm1.3,11
target,Arid2.1,10
target,Cbx7.2,9
target,Brwd1.2,9
target,Baz1b.1,9
target,Epc2.1,7
target,Actl6a,6
target,Chd7.3,6
target,Brwd1.4,5
target,Brdt.3,5
target,Hira.2,4
target,Atrx.2,4
target,Ehmt1.4,4
target,Hltf.4,3
target,Cbx1.3,3
target,Brpf1.4,3
target,Actl6b.4,3
target,Cbx6.3,3
target,Gadd45a.1,3
target,Cecr2.2,3
target,Chd2.3,3
target,Gtf2b.2,2
target,Ezh2.1,2
target,Cbx4.1,2
target,Cbx4.3,2
target,Hdac10.4,2
target,Hira.3,1
target,Dnmt1.3,1
target,Fkbp5.1,1
target,Fbxw9.1,1
target,Fbxo17.3,1
target,Aff4.2,1
target,Gadd45a.3,1
target,Ing5.4,1
target,Brd7.3,1
target,Bptf.3,1
target,Aff1.1,1
target,Actl6b.1,1
target,Cbx2.3,1
target,Dnmt3a.2,1
target,Cd4.5,1
target,Brd4.1,1
target,Arid1b.2,0
target,Bop1.4,0
target,Baz1a.1,0
target,Asxl1.1,0
target,Brd1.4,0
target,Aurkb.3,0
target,Actl6b.3,0
target,Ash2l.4,0
target,Bptf.1,0
target,Brd3.4,0
target,Brd7.2,0
target,Brd7.1,0
target,Baz1a.3,0
target,Aff1.2,0
target,Atrx.1,0
target,Arid1b.3,0
target,Bmi1.3,0
target,Aff4.1,0
target,Atr.4,0
target,Brd4.2,0
target,Brd4.3,0
target,Baz2a.3,0
target,Baz1b.4,0
target,Arid2.4,0
target,Arid1a.1,0
target,Asxl1.3,0
target,Arid1a.2,0
target,Arid2.3,0
target,Arid1b.1,0
target,Jmjd4.4,0
target,Ctsl.3,0
target,Brd9.4,0
target,Gtf2h1.3,0
target,Hdac1.2,0
target,Hdac1.1,0
target,Hcfc1.4,0
target,Hcfc1.3,0
target,Hcfc1.2,0
target,Hcfc1.1,0
target,Hat1.4,0
target,H2afz.3,0
target,H2afz.2,0
target,H2afz.1,0
target,Gtf3c4.3,0
target,Gtf3c4.1,0
target,Gtf2h1.1,0
target,Fbxo44.4,0
target,Gtf2f1.3,0
target,Gtf2f1.1,0
target,Gtf2b.4,0
target,Gadd45b.4,0
target,Gadd45a.2,0
target,Fkbp5.3,0
target,Fkbp5.2,0
target,Fkbp2.3,0
target,Fkbp2.2,0
target,Fkbp2.1,0
target,Fbxw9.4,0
target,Fbxw9.3,0
target,Hdac10.1,0
target,Hdac11.1,0
target,Hdac11.2,0
target,Hdac11.3,0
target,Jmjd4.1,0
target,Jmjd1c.3,0
target,Jhdm1d.3,0
target,Iws1.3,0
target,Iws1.2,0
target,Iws1.1,0
target,Ing5.3,0
target,Ing5.1,0
target,Ing4.2,0
target,Ing2.3,0
target,Hltf.1,0
target,Hells.3,0
target,Hdac9.3,0
target,Hdac7.4,0
target,Hdac7.3,0
target,Hdac6.3,0
target,Hdac6.2,0
target,Hdac5.3,0
target,Hdac5.2,0
