x,bc_17
Total reads,11652232
Target percentage,81.6533776533114
Control percentage,4.452022582454589
Contaminant percentage,13.89459976423401
No.1 Target,Asxl3.1: 815318
No.2 Target,Asxl2.4: 554391
No.3 Target,Baz1b.2: 403645
Top 3 target %,18.63855165006541
No.1 Control,Nfatc3.2: 128225
No.2 Control,Bcl6: 84023
No.3 Control,CD4.4: 53278
Top 3 control %,51.18474824581695
No.1 Contaminant,Smarce1.4: 431876
No.2 Contaminant,Sirt1.4: 209138
No.3 Contaminant,Prdm1.4: 174146
Top 3 contaminant %,50.34863446098314
