type,shRNA,count,pctg,nbPctg
target,Actb,4,3.5469929569134356e-05,85.7172966043305
target,Actl6a,810,0.007182660737749706,91.25511674627633
target,Actl6b.1,5358,0.047511970657855465,93.51770380122989
target,Actl6b.2,3436,0.03046866949988641,92.98105940120745
target,Actl6b.3,1217,0.010791726071409125,91.73781218211117
target,Actl6b.4,5410,0.04797307974225421,93.52781353114932
target,Aff1.1,771,0.006836828924450646,91.20452277588933
target,Aff1.2,12110,0.10738521177055425,94.50388344699807
target,Aff1.3,361699,3.207359513806581,98.502472168413
target,Aff1.4,725,0.006428924734405601,91.13354928415731
target,Aff4.1,55474,0.4919147182295397,96.35303260116919
target,Aff4.2,89,0.0007892059329132394,88.63212068613791
target,Aff4.3,2486,0.022044561227217,92.5940300246127
target,Aff4.4,142,0.0012591824997042695,89.21920180241398
target,Arid1a.1,0,0.0,85.7172966043305
target,Arid1a.2,0,0.0,85.7172966043305
target,Arid1b.1,0,0.0,85.7172966043305
target,Arid1b.2,0,0.0,85.7172966043305
target,Arid1b.3,4,3.5469929569134356e-05,85.7172966043305
target,Arid2.1,69753,0.6185334993089572,96.62872674050848
target,Arid2.2,3630,0.03218896108398942,93.04633710686609
target,Arid2.3,796,0.007058515984257736,91.23848887690923
target,Arid2.4,491,0.004353933854611241,90.67024724835198
target,Ash1l.1,4403,0.03904352497322464,93.28027202109395
target,Ash1l.2,9540,0.08459578202238542,94.21409455862046
target,Ash1l.3,118,0.0010463629222894632,89.01830782577738
target,Ash1l.4,1508,0.01337216344756365,91.99519849888934
target,Ash2l.1,3523,0.031240140468015078,93.01221569108435
target,Ash2l.2,3820,0.0338737827385233,93.1082858801901
target,Ash2l.3,330,0.002926269189453584,90.21575051897426
target,Ash2l.4,0,0.0,85.7172966043305
target,Asxl1.1,874,0.007750179610855856,91.35030340185814
target,Asxl1.2,1873,0.01660879452074716,92.25836974084086
target,Asxl1.3,170,0.0015074720066882098,89.46775428790419
target,Asxl1.4,6569,0.058250491834910885,93.76287393531094
target,Asxl2.1,92561,0.8207830377121611,96.96664849825903
target,Asxl2.2,2317,0.020545956702921073,92.5097415494642
target,Asxl2.3,3188,0.02826953386660008,92.89101332675347
target,Asxl2.4,150390,1.3335806769755287,97.53616292944403
target,Asxl3.1,4125776,36.58524603450621,99.96578922934557
target,Asxl3.2,3589,0.0318253943059058,93.03506944599043
target,Asxl3.3,1431,0.012689367303357813,91.9311371883948
target,Asxl3.4,3618,0.03208255129528202,93.04259281827207
target,Atad2.1,4452,0.03947803161044653,93.29254699228643
target,Atad2.2,3052,0.027063556261249507,92.83892778568634
target,Atad2.3,4846,0.04297181967300627,93.39498003169047
target,Atad2.4,3714,0.03293382960494125,93.07588317369577
target,Atad2b.1,9603,0.08515443341309929,94.22267081414856
target,Atad2b.2,939,0.00832656596635429,91.43847423938861
target,Atad2b.3,3125,0.027710882475886208,92.86958205308562
target,Atad2b.4,4566,0.040488924603166866,93.322703493063
target,Atm.1,1211,0.010738521177055425,91.73781218211117
target,Atm.2,3262,0.028925727563629065,92.92039522170982
target,Atm.3,5754,0.05102349368519976,93.60344418983418
target,Atm.4,2182,0.01934884657996279,92.43781029105168
target,Atr.1,15824,0.1403190413754955,94.82968854561611
target,Atr.2,114262,1.0132162731071073,97.21581730900711
target,Atr.3,6100,0.05409164259292989,93.67242262168307
target,Atr.4,2529,0.022425862970085194,92.61554989842627
target,Atrx.1,0,0.0,85.7172966043305
target,Atrx.2,831,0.007368877867987662,91.28769450159048
target,Atrx.3,25100,0.22257380804631804,95.39059915952032
target,Atrx.4,5149,0.04565866683786819,93.46850280897637
target,Aurkb.1,25954,0.23014663800932822,95.43145330447871
target,Aurkb.2,73592,0.6525757642129337,96.69290586198929
