type,shRNA,count,pctg,nbPctg
target,Actb,3,2.8923819864763787e-05,38.08748733416047
target,Actl6a,152,0.0014654735398146987,51.94591680275082
target,Actl6b.1,4,3.856509315301838e-05,38.08748733416047
target,Actl6b.2,13870,0.13372446050809125,80.30245354135914
target,Actl6b.3,1928,0.01858837489975486,66.55530301399308
target,Actl6b.4,2038,0.019648914961462868,66.92737208660921
target,Aff1.1,1766,0.017026488627057617,66.01411914863164
target,Aff1.2,4,3.856509315301838e-05,38.08748733416047
target,Aff1.3,20708,0.19965148725317616,83.26595781638554
target,Aff1.4,911,0.008783199965599937,61.87538603715791
target,Aff4.1,23,0.00022174928562985569,43.84813832235946
target,Aff4.2,1,9.641273288254595e-06,38.08748733416047
target,Aff4.3,18631,0.17962656263347138,82.48376843022666
target,Aff4.4,5610,0.054087543147108286,73.76321879579699
target,Arid1a.1,0,0.0,38.08748733416047
target,Arid1a.2,1,9.641273288254595e-06,38.08748733416047
target,Arid1b.1,0,0.0,38.08748733416047
target,Arid1b.2,0,0.0,38.08748733416047
target,Arid1b.3,44,0.00042421602468320225,46.38051589775758
target,Arid2.1,28389,0.2737061073802597,85.59913299339925
target,Arid2.2,34698,0.334532900555858,87.06745874890458
target,Arid2.3,9530,0.0918813344370663,77.55236499841712
target,Arid2.4,11032,0.1063625269160247,78.61984191217286
target,Ash1l.1,26531,0.25579262161068267,85.09796921408342
target,Ash1l.2,12570,0.12119080523336027,79.5744789502599
target,Ash1l.3,1309,0.012620426734325266,64.13092170902132
target,Ash1l.4,18083,0.17434314487150784,82.26191956446655
target,Ash2l.1,13370,0.12890382386396396,80.03328071156763
target,Ash2l.2,7921,0.07636852571626467,76.21773434911785
target,Ash2l.3,3867,0.037282803805680526,71.18370578414529
target,Ash2l.4,0,0.0,38.08748733416047
target,Asxl1.1,258,0.0024874485083696855,54.66570140618872
target,Asxl1.2,20816,0.20069274476830767,83.30297970885059
target,Asxl1.3,2235,0.02154824579924902,67.52743355178029
target,Asxl1.4,10150,0.09785892387578414,78.0122900280127
target,Asxl2.1,49187,0.47422530922937883,89.56476013105976
target,Asxl2.2,6231,0.06007477385911439,74.50535934072336
target,Asxl2.3,18101,0.17451668779069643,82.27041199421457
target,Asxl2.4,1088027,10.489965651999784,99.99062712275907
target,Asxl3.1,481192,4.639303576121805,99.65898782506646
target,Asxl3.2,24911,0.24017375888371026,84.63322190493699
target,Asxl3.3,7817,0.07536583329428619,76.12306427616372
target,Asxl3.4,26797,0.2583572003053584,85.17257794098826
target,Atad2.1,22763,0.21946430386053936,83.96639205820838
target,Atad2.2,907,0.008744634872446918,61.87538603715791
target,Atad2.3,18030,0.17383215738723035,82.2406461749371
target,Atad2.4,8878,0.0855952242531243,77.03768114073102
target,Atad2b.1,8997,0.0867425357744266,77.13842491307116
target,Atad2b.2,3313,0.031941538403987474,70.14158412996481
target,Atad2b.3,15267,0.14719331929178292,81.00696995740739
target,Atad2b.4,22452,0.21646586786789218,83.86447241213509
target,Atm.1,571,0.005505167047593375,59.1951368788986
target,Atm.2,18548,0.17882633695054626,82.45070154819571
target,Atm.3,14819,0.14287402885864486,80.78795275510046
target,Atm.4,5231,0.050433500570859796,73.28023137320916
target,Atr.1,22213,0.21416160355199934,83.78536040163516
target,Atr.2,19651,0.18946066138749107,82.87734868780421
target,Atr.3,23695,0.22844997056519264,84.26387265089105
target,Atr.4,1138,0.01097176900203373,63.23863632477542
target,Atrx.1,0,0.0,38.08748733416047
target,Atrx.2,11082,0.10684459058043744,78.65411948059662
target,Atrx.3,57941,0.5586250155947595,90.69822165755934
target,Atrx.4,18664,0.17994472465198377,82.49613079651459
target,Aurkb.1,24295,0.23423473453814542,84.44932485416619
target,Aurkb.2,48,0.0004627811178362206,46.38051589775758
target,Aurkb.3,659,0.0063535990969597785,59.97588626673647
target,Aurkb.4,5459,0.05263171088058184,73.57904645387578
target,Baz1a.1,4955,0.04777250914330152,72.89652026490585
target,Baz1a.2,5485,0.05288238398607646,73.60563346418304
target,Baz1a.3,0,0.0,38.08748733416047
target,Baz1a.4,43535,0.41973283260416383,88.70193448124209
target,Baz1b.1,19290,0.18598016173043116,82.73916369444514
target,Baz1b.2,271163,2.614356588662981,98.59012918513372
target,Baz1b.3,20151,0.19428129803161837,83.06276806916956
target,Baz1b.4,600,0.0057847639729527575,59.39942813343379
target,Baz2a.1,14621,0.14096505674757043,80.68912136909712
target,Baz2a.3,0,0.0,38.08748733416047
target,Baz2a.4,8152,0.07859565984585147,76.42196537723184
target,Baz2b.1,152312,1.4684816170806338,96.4171829200134
target,Baz2b.2,52606,0.5071888226019213,90.03259213450147
target,Baz2b.3,4619,0.04453304131844798,72.41481693508169
target,Baz2b.4,23645,0.22796790690077992,84.24766120485086
control,Bcl6,196948,1.8988294915751662,97.5240276876428
control,Bcl6.2,64962,0.6263163953515951,91.46991390730213
control,Bcl6.3,23,0.00022174928562985569,43.84813832235946
target,Bmi1.1,18995,0.18313598611039605,82.62673519162985
target,Bmi1.2,3169,0.030553195050478817,69.83977491120578
target,Bmi1.3,66,0.0006363240370248033,48.05564486948972
target,Bmi1.4,84928,0.8188140578248864,93.19730160453781
target,Bop1.1,3,2.8923819864763787e-05,38.08748733416047
target,Bop1.2,62,0.000597758943871785,47.28620317110188
target,Bop1.3,12,0.00011569527945905515,41.806911384647776
target,Bop1.4,0,0.0,38.08748733416047
target,Bptf.1,598,0.005765481426376248,59.39942813343379
target,Bptf.2,9694,0.09346250325634006,77.67774198788865
target,Bptf.3,5500,0.05302700308540027,73.63212714887037
target,Bptf.4,11220,0.10817508629421657,78.74252790805097
target,Brd1.1,11508,0.11095177300123389,78.92953962163516
target,Brd1.2,132462,1.2771023423087802,95.72979112462693
target,Brd1.3,375,0.0036154774830954735,56.82893010604806
target,Brd1.4,4318,0.04163101805868334,71.94978234498424
target,Brd2.1,1475,0.01422087810017553,64.8762268825642
target,Brd2.2,223,0.002150003943280775,53.975100677131685
target,Brd2.3,4350,0.041939538803907495,71.99925379398132
target,Brd2.4,2114,0.020381651731370215,67.15437157561388
target,Brd3.1,15054,0.1451397280813847,80.90588971600171
target,Brd3.2,29866,0.2879462680270118,85.97085964752132
target,Brd3.3,2874,0.02770901943044371,69.19603286119131
target,Brd3.4,2789,0.026889511200942066,68.97642931908993
target,Brd4.1,10097,0.09734793639150666,77.97500218210108
target,Brd4.2,7724,0.0744691948784785,76.03684517976845
target,Brd4.3,367,0.0035383472967894366,56.675440200368364
target,Brd4.4,52556,0.5067067589375086,90.02711683494607
target,Brd7.1,3,2.8923819864763787e-05,38.08748733416047
target,Brd7.2,0,0.0,38.08748733416047
target,Brd7.3,1,9.641273288254595e-06,38.08748733416047
target,Brd8.1,29913,0.2883994078715597,85.98105098684725
target,Brd8.2,610,0.0058811767058353035,59.49917469145741
target,Brd8.3,24875,0.23982667304533306,84.6239833593746
target,Brd8.4,29279,0.2822868406068063,85.82399888881356
target,Brd9.2,3746,0.03611620973780172,70.97917108388599
target,Brd9.3,6355,0.061270291746857955,74.6454468059587
target,Brd9.4,1572,0.015156081609136226,65.26263006908225
target,Brdt.1,11,0.00010605400617080056,41.806911384647776
target,Brdt.2,0,0.0,38.08748733416047
target,Brdt.3,1,9.641273288254595e-06,38.08748733416047
target,Brpf1.1,1,9.641273288254595e-06,38.08748733416047
target,Brpf1.2,13017,0.1255004543932101,79.83668110299675
target,Brpf1.3,27857,0.26857694999090825,85.45795048558894
target,Brpf1.4,1843,0.01776886667025322,66.27185356609999
target,Brpf3.1,9585,0.09241160446792031,77.599622625598
target,Brpf3.2,0,0.0,38.08748733416047
target,Brpf3.3,14888,0.14353927671553443,80.82404156866319
target,Brpf3.4,1360,0.01311213167202625,64.37261540641181
target,Brwd1.1,86886,0.8376916709232888,93.33759053802666
target,Brwd1.2,1730,0.016679402788680454,65.86248170475626
target,Brwd1.3,37166,0.3583275630312703,87.5661270082743
target,Brwd1.4,17539,0.16909829220269737,82.03328301930758
target,Brwd3.1,40178,0.38736707817549315,88.12725583571427
target,Brwd3.2,23806,0.2295201519001889,84.29941094497345
target,Brwd3.3,1255,0.012099797976759518,63.82916070960785
