shRNA,count,pctg
Bcl6.2,12958,0.1250759765612369
Bcl6.3,3590,0.03465216513774042
CD4.1,2857,0.027576945904881446
CD4.2,7619,0.07354173988424632
CD4.3,6824,0.065868071002769
CD4.4,13996,0.1350951819687507
Cd14.2,11974,0.1155780014928423
Cd4.5,6523,0.06296269448286373
Fosb.2,1724,0.01664076119706532
Hes1.2,7613,0.07348382540212196
Hes1.3,4020,0.03880270302331937
Hes6.3,12166,0.11743126492082175
Id2.2,2007,0.019372394270597504
Id2.3,6076,0.05864806556459912
Id2.4,20385,0.19676445301750378
Id2.5,5562,0.05368672492927918
Id3.2,11167,0.10778850364711624
Id3.3,17649,0.17035544916879686
Id3.5,17191,0.16593464369997094
Jmjd5.1,20828,0.20104047228101884
Jmjd5.2,2447,0.02361945629305037
Jmjd5.3,26412,0.2549395503114206
Jmjd5.4,106132,1.0244299694703807
Jmjd6.1,1430,0.013802951572971815
Jmjd6.2,49180,0.47470570514598165
Jmjd6.3,7144,0.06895684338273471
Jmjd6.4,44851,0.4329204062932579
Kat2a.1,3,2.8957241062178625e-05
Kat2a.2,0,0.0
Kat2a.3,75844,0.7320776637066253
Kat2b.1,4507,0.04350342848907969
Kat2b.3,86592,0.8358218060187239
Kat2b.4,8770,0.08465166803843553
Kat5.1,7135,0.06886997165954817
Kat5.3,6109,0.058966595216283085
Kat5.4,108208,1.0444683802854082
Kdm1a.1,25817,0.24919636416742189
Kdm1a.2,23562,0.22743017130235094
Kdm1a.3,87625,0.8457927493578007
Kdm1a.4,46780,0.45153991229623874
Kdm1b.1,48383,0.4670127314371295
Kdm1b.2,8976,0.08664006525803847
Kdm1b.3,2436,0.023513279742489044
Kdm1b.4,19071,0.18408118143226954
Kdm2a.1,3705,0.035762192711790604
Kdm2a.3,5731,0.05531798284244857
Kdm2a.4,81104,0.782849359702312
Kdm2b.1,33164,0.32011264752869734
Kdm2b.2,42720,0.41235111272542363
Kdm2b.3,43247,0.4174379347386797
Kdm2b.4,98003,0.9459654986055641
Kdm3a.1,34216,0.33026698672783467
Kdm3a.2,37155,0.35863543055508235
Kdm3a.3,199060,1.921409468612426
Kdm3a.4,13432,0.12965122064906112
Kdm3b.2,12155,0.11732508837026041
Kdm3b.3,19922,0.1922953854802409
Kdm3b.4,7917,0.0764181591630894
Kdm4a.1,20994,0.20264277295312605
Kdm4a.2,20885,0.2015906598612002
Kdm4a.3,18783,0.1813012862903004
Kdm4a.4,3273,0.03159234999883689
Kdm4c.1,107704,1.0396035637869623
Kdm4c.2,13914,0.13430368404638446
Kdm4c.3,6048,0.05837779798135212
Kdm4c.4,40218,0.3882007736795667
Kdm4d.1,22152,0.213820268003127
Kdm4d.2,14423,0.13921676261326746
Kdm4d.3,8073,0.07792393569832269
Kdm4d.4,12853,0.12406247312406063
Kdm5a.1,22131,0.21361756731569176
Kdm5a.2,81918,0.7907064244438495
Kdm5a.3,46196,0.4459029027028013
Kdm5a.4,1980,0.019111779101037896
Kdm5b.1,4550,0.04391848227763759
Kdm5b.2,19506,0.18827998138628543
Kdm5b.3,98750,0.9531758516300466
Kdm5b.4,3485,0.03363866170056417
