Pool,Gene,nbPctgShift
P1-7,Actl6b,6.242937820739135
P1-7,Aff1,15.273856381163446
P1-7,Aff4,-2.1882199076453546
P1-7,Arid2,-3.454442130611058
P1-7,Ash1l,-14.429364766107987
P1-7,Ash2l,-12.90611931261008
P1-7,Asxl1,-5.090140049128773
P1-7,Asxl2,-3.8538634664167994
P1-7,Asxl3,-22.562219115924297
P1-7,Atad2,-6.780599632515152
P1-7,Atad2b,-16.081467150591465
P1-7,Atm,-13.40270855609814
P1-7,Atr,1.1127290294936625
P1-7,Atrx,-10.626822495045989
P1-7,Aurkb,15.228937011408075
P1-7,Baz1a,-19.777806824051734
P1-7,Baz1b,-14.433903407800136
P1-7,Baz2a,-7.666668511100281
P1-7,Baz2b,-21.471992799000123
P1-7,Bcl6,-18.72879246417862
P1-7,Bmi1,-4.76936590308978
P1-7,Bop1,-15.182205870621534
P1-7,Bptf,-10.353008114156864
P1-7,Brd1,-11.648960744490017
P1-7,Brd2,0.5149025715308442
P1-7,Brd3,-7.209088855868588
P1-7,Brd4,16.87985205662926
P1-7,Brd8,-1.554925718311857
P1-7,Brd9,-4.883451228989023
P1-7,Brpf1,-7.1111682686931985
P1-7,Brpf3,-2.102652597747067
P1-7,Brwd1,-6.092099329717307
P1-7,Brwd3,-10.865068044088682
P1-7,CD4,0.28657021143114836
P1-7,Carm1,-4.871008957662937
P1-7,Cbx1,-9.042165392417871
P1-7,Cbx3,4.327068197177432
P1-7,Cbx4,-5.097895636783991
P1-7,Cbx5,-6.3602883435958475
P1-7,Cbx6,7.392002870998134
P1-7,Cbx7,-18.01205174821496
P1-7,Cbx8,-3.934931780453569
P1-7,Cd14,-17.673975426203306
P1-7,Cd4,-12.106221365321108
P1-7,Chaf1a,4.651793265759503
P1-7,Chaf1b,6.848506026493656
P1-7,Chd1,-1.3241829065013775
P1-7,Chd1l,4.947375500205752
P1-7,Chd2,-11.082416027621862
P1-7,Chd3,-5.025305483378032
P1-7,Chd4,-5.380875474110477
P1-7,Chd5,-9.601512040358296
