shRNA,count,pctg
Bcl6.2,12958,0.0848687161258682
Bcl6.3,3590,0.023512786764305207
CD4.1,2857,0.018711986569810577
CD4.2,7619,0.04990081402708673
CD4.3,6824,0.04469394342050661
CD4.4,13996,0.09166712076691244
Cd14.2,11974,0.07842398571470488
Cd4.5,6523,0.04272253706505929
Fosb.2,1724,0.011291377265086956
Hes1.2,7613,0.0498615168904333
Hes1.3,4020,0.026329081557801372
Hes6.3,12166,0.0796814940876148
Id2.2,2007,0.013144892210573968
Id2.3,6076,0.03979490038437839
Id2.4,20385,0.133512021780045
Id2.5,5562,0.036428445677734136
Id3.2,11167,0.0731385208348179
Id3.3,17649,0.1155925274660787
Id3.4,83718,0.548312947725377
Id3.5,17191,0.11259284603486652
Jmjd5.1,20828,0.13641346036962362
Jmjd5.2,2447,0.01602668223182586
Jmjd5.3,26412,0.17298599554842034
Jmjd5.4,106132,0.6951139512170584
Jmjd6.1,1430,0.009365817569068648
Jmjd6.2,49180,0.32210553010265464
Jmjd6.3,7144,0.0467897907086898
Jmjd6.4,44851,0.2937526460072013
Kat2a.1,3,1.9648568326717443e-05
Kat2a.2,0,0.0
Kat2a.3,75844,0.4967420053905192
Kat2b.1,4507,0.02951869914950517
Kat2b.2,76695,0.5023156492725314
Kat2b.3,86592,0.5671362761823723
Kat2b.4,8770,0.05743931474177066
Kat5.1,7135,0.04673084500370965
Kat5.2,82837,0.5425428181600976
Kat5.3,6109,0.04001103463597228
Kat5.4,108208,0.7087107604991469
Kdm1a.1,25817,0.16908902949695473
Kdm1a.2,23562,0.1543198556380388
Kdm1a.3,87625,0.5739019332095386
Kdm1a.4,46780,0.3063866754412806
Kdm1b.1,48383,0.3168855604505233
Kdm1b.2,8976,0.05878851643353859
Kdm1b.3,2436,0.01595463748129456
Kdm1b.4,19071,0.12490594885294277
Kdm2a.1,3705,0.024265981883496043
Kdm2a.2,358384,2.347244170400768
Kdm2a.3,5731,0.03753531502680589
Kdm2a.4,81104,0.5311924951900305
Kdm2b.1,33164,0.21720837332908574
Kdm2b.2,42720,0.27979561297245636
Kdm2b.3,43247,0.28324721147518306
Kdm2b.4,98003,0.6418728805744298
Kdm3a.1,34216,0.224098471288988
Kdm3a.2,37155,0.24334751872639554
Kdm3a.3,199060,1.303748003705458
Kdm3a.4,13432,0.08797318992148956
Kdm3b.2,12155,0.0796094493370835
Kdm3b.3,19922,0.13047959273495496
Kdm3b.4,7917,0.05185257181420733
Kdm4a.1,20994,0.13750068115036865
Kdm4a.2,20885,0.13678678316783127
Kdm4a.3,18783,0.1230196862935779
Kdm4a.4,3273,0.02143658804444873
Kdm4c.1,107704,0.7054098010202584
Kdm4c.2,13914,0.0911300598993155
Kdm4c.3,6048,0.039611513746662365
Kdm4c.4,40218,0.26340870698797403
Kdm4d.1,22152,0.1450850285244816
Kdm4d.2,14423,0.0944637669920819
Kdm4d.3,8073,0.05287429736719664
Kdm4d.4,12853,0.0841810162344331
Kdm5a.1,22131,0.14494748854619455
Kdm5a.2,81918,0.5365238067293465
Kdm5a.3,46196,0.3025617541403463
Kdm5a.4,1980,0.012968055095633512
Kdm5b.1,4550,0.029800328628854785
Kdm5b.2,19506,0.1277549912603168
Kdm5b.3,98750,0.6467653740877825
Kdm5b.4,3485,0.022825086872870094
Kdm5c.1,60023,0.393122005558187
Kdm5c.2,329671,2.1591877229457554
Kdm5c.3,6934,0.04541439092581958
Kdm5c.4,15961,0.10453693302091237
Kdm5d.1,111130,0.7278484660493698
Kdm5d.2,5620,0.03680831799871734
Kdm5d.3,3023,0.01979920735055561
Kdm5d.4,88,0.0005763580042503784
Kdm6a.1,3454,0.022622051666827347
Kdm6a.2,56936,0.3729036287499948
Kdm6a.3,6674,0.04371151500417074
Kdm6a.4,1169,0.0076563921246442295
Kdm6b.1,4638,0.03037668663310517
Kdm6b.2,19387,0.12697559805002367
Kdm6b.3,17582,0.11515370944011535
Kdm6b.4,13755,0.09008868577799947
Klf12.4,16999,0.1113353376619566
Klf12.5,55593,0.3641076196624009
Klf2.2,12919,0.08461328473762088
