type,shRNA,count,pctg,nbPctg
target,Actb,11,8.2232317360528e-05,30.807365732979118
target,Actl6a,153,0.0011437767778327986,42.904048105485614
target,Actl6b.1,2850,0.02130564586159135,61.938797264812585
target,Actl6b.2,28032,0.20955784729548374,81.52064004267469
target,Actl6b.3,12412,0.09278795664353397,74.17450252584345
target,Actl6b.4,18392,0.13749243462680283,77.69559510267976
target,Aff1.1,994,0.0074308112233058944,54.29283588687556
target,Aff1.2,6,4.485399128756073e-05,28.503629259000938
target,Aff1.3,33347,0.24929100791104797,83.0956395701675
target,Aff1.4,164,0.0012260090951933267,43.28437569280903
target,Aff4.1,8,5.9805321716747644e-05,29.565226176863433
target,Aff4.2,7,5.2329656502154194e-05,29.103001485830344
target,Aff4.3,15300,0.11437767778327985,76.03871846531179
target,Aff4.4,8514,0.06364781363704869,70.88139141978846
target,Arid1a.1,3,2.2426995643780365e-05,26.160611047162902
target,Arid1a.2,1,7.4756652145934555e-06,22.79549075044372
target,Arid1b.1,0,0.0,16.626866860908013
target,Arid1b.2,0,0.0,16.626866860908013
target,Arid1b.3,119,0.0008896041605366212,41.56778679499748
target,Arid2.1,22405,0.16749227913296635,79.48409399783543
target,Arid2.2,104790,0.7833749578372481,92.76557176991813
target,Arid2.3,1247,0.009322154522598039,55.859798718554366
target,Arid2.4,30018,0.22440451841166634,82.14235616090033
target,Ash1l.1,15087,0.11278536109257147,75.91312471058784
target,Ash1l.2,25255,0.18879792499455772,80.57228265649373
target,Ash1l.3,9492,0.07095901421692108,71.82169764626845
target,Ash1l.4,4854,0.03628687895163663,66.16613870010698
target,Ash2l.1,52990,0.3961354997213072,87.2225207561753
target,Ash2l.2,32980,0.24654743877729215,82.99546738538095
target,Ash2l.3,306,0.002287553555665597,46.81830562624111
target,Ash2l.4,0,0.0,16.626866860908013
target,Asxl1.1,6738,0.0503710322159307,68.88814648045901
target,Asxl1.2,1853,0.013852407642641673,58.69946452679523
target,Asxl1.3,372,0.0027809474598287655,47.98257244034019
target,Asxl1.4,38848,0.2904146422565266,84.47232263621866
target,Asxl2.1,42353,0.3166168488336766,85.24551194956639
target,Asxl2.2,7660,0.057263595543785864,69.97568247761602
target,Asxl2.3,13969,0.10442756738265598,75.2248969703725
target,Asxl2.4,741660,5.544401863055382,99.9062120522016
target,Asxl3.1,972447,7.269688210935763,99.97534340165011
target,Asxl3.2,68663,0.5133016006296305,89.4333775766032
target,Asxl3.3,28807,0.21535148783679367,81.76843416064688
target,Asxl3.4,17515,0.13093627623360438,77.25454798775434
target,Atad2.1,223,0.0016670733428543404,44.99151271480814
target,Atad2.2,13643,0.10199050052269851,75.01442044080922
target,Atad2.3,15983,0.11948355712484719,76.430617714769
target,Atad2.4,36389,0.2720319814938412,83.884057926537
target,Atad2b.1,35622,0.2662981462742481,83.6919792869651
target,Atad2b.2,2639,0.019728280501312128,61.34840930195913
target,Atad2b.3,18427,0.1377540829093136,77.71279698106457
target,Atad2b.4,21792,0.16290969635642058,79.23218289870594
target,Atm.1,27541,0.20588729567511838,81.36006975127164
target,Atm.2,13935,0.10417339476535979,75.20317698199473
target,Atm.3,136046,1.017034349784581,94.5803308332181
target,Atm.4,1670,0.012484360908371071,57.940990924411174
target,Atr.1,4816,0.03600280367348208,66.1020099025993
target,Atr.2,23017,0.17206738624429757,79.72888842030925
target,Atr.3,44884,0.3355377574918127,85.76203091871034
target,Atr.4,18622,0.13921183762615932,77.80788561409537
