type,shRNA,count,pctg,nbPctg
control,Bcl6,25660,0.31570736412648964,78.63917567903798
control,Bcl6.2,7737,0.09519204506027476,54.09580053157188
control,Bcl6.3,24911,0.3064920556412698,78.03858558212202
control,CD4.1,36109,0.44426645406248694,85.22530539931526
control,CD4.2,0,0.0,0.5019793149466327
control,CD4.3,2161,0.02658782595001341,33.59060710486483
control,CD4.4,17573,0.21620910014788788,70.78800200752924
control,CDK9.2,14002,0.17227336369832844,66.02193844385543
control,CDK9.3,32098,0.39491718525845926,83.038987925255
control,Ccnt1,48258,0.5937414644589297,90.0880849681952
control,Ccnt1.3,9930,0.12217358245424952,58.977263442476705
control,Ccnt1.4,132014,1.62423195509721,99.12500831760256
control,Cd14,4556,0.05605466683399404,44.62997631253674
control,Cd14.2,3,3.691044787137447e-05,2.4103871375133026
control,Cd19,0,0.0,0.5019793149466327
control,Cd19.3,0,0.0,0.5019793149466327
control,Cd19.4,5,6.151741311895745e-05,2.9705163407708914
control,Fosb,2,2.460696524758298e-05,2.0555235207471454
control,Fosb.2,1,1.230348262379149e-05,1.5730847583132903
control,Hes1,0,0.0,0.5019793149466327
control,Hes1.2,2,2.460696524758298e-05,2.0555235207471454
control,Hes1.3,2,2.460696524758298e-05,2.0555235207471454
control,Id2,0,0.0,0.5019793149466327
control,Id2.2,0,0.0,0.5019793149466327
control,Id2.3,13,0.00015994527410928937,4.354558060719071
control,Id2.4,0,0.0,0.5019793149466327
control,Id2.5,0,0.0,0.5019793149466327
control,Id3,68294,0.8402540423092161,94.65746149496675
control,Id3.2,0,0.0,0.5019793149466327
control,Id3.3,2,2.460696524758298e-05,2.0555235207471454
control,Id3.4,7218,0.08880653757852698,52.78172774811301
control,Id3.5,1,1.230348262379149e-05,1.5730847583132903
target,Jmjd5.1,2594,0.03191523392611512,36.04715315213134
target,Jmjd5.2,2614,0.032161303578590955,36.15384393711778
target,Jmjd5.3,58832,0.723838489722901,92.88117145557189
target,Jmjd5.4,14256,0.17539844828477147,66.39744524229847
target,Jmjd6.1,8905,0.10956251276486322,56.81705323846461
target,Jmjd6.2,63307,0.7788965744643679,93.79062626221429
