type,shRNA,count,pctg
control,Bcl6,4175,0.0797364248020579
control,Bcl6.2,4236,0.08090143603868677
control,Bcl6.3,666,0.012719630878603729
control,CD4.1,23,0.00043926653184367224
control,CD4.2,126,0.0024064166527088134
control,CD4.3,775,0.01480137226864548
control,CD4.4,5679,0.10846063627566152
control,CDK9.1,12974,0.2477845210495567
control,CDK9.2,2198,0.041978601608364856
control,CDK9.3,4337,0.08283038906982639
control,Ccnt1,430,0.008212374290990395
control,Ccnt1.2,12148,0.23200912299291004
control,Ccnt1.3,25348,0.4841099151814524
control,Ccnt1.4,30186,0.5765086752275258
control,Cd14,10496,0.2004583268796167
control,Cd14.2,18967,0.3622421004121275
control,Cd19,17255,0.32954539160706803
control,Cd19.3,419,0.008002290297499944
control,Cd19.4,8852,0.16906031912522554
control,Fosb,560,0.010695185123150283
control,Fosb.2,0,0.0
control,Hes1,17,0.0003246752626670621
control,Hes1.2,156,0.0029793729985918642
control,Hes1.3,412,0.007868600483460565
control,Id2,103,0.0019671501208651412
control,Id2.2,2814,0.05374330524383017
control,Id2.3,1030,0.01967150120865141
control,Id2.4,2127,0.040622604923108305
control,Id2.5,3188,0.06088616102250553
control,Id3,67,0.0012796025058054803
control,Id3.2,0,0.0
control,Id3.3,90,0.0017188690376491525
control,Id3.4,2172,0.04148203944193288
control,Id3.5,553,0.010561495309110904
control,Klf12,1562,0.02983192707564418
control,Klf12.4,86175,1.6458171035490636
control,Klf12.5,2212,0.04224598123644362
control,Klf2,2586,0.04938883701511898
control,Klf2.2,573,0.01094346620636627
control,Klf2.3,52,0.0009931243328639547
control,Klf2.4,0,0.0
control,Klf2.5,0,0.0
control,Klf2.6,55,0.0010504199674522597
control,Klf2.7,6561,0.12530555284462322
control,Ms4a1,10253,0.19581738047796401
control,Ms4a1.2,6105,0.11659661638720084
control,Nfatc3.2,7880,0.1504965335186147
control,Nfatc3.3,9257,0.1767952297946467
control,Nfatc3.7,1219,0.02328112618771463
control,Nfatc3.8,0,0.0
target,Rpa3.1,5730,0.10943466206366272
target,Rpa3.2,16073,0.30697091157927586
target,Rpa3.3,6667,0.12732999860007665
target,Rpa3.4,19327,0.3691175765627241
control,Runx3,0,0.0
control,Runx3.2,0,0.0
control,Runx3.3,545,0.010408706950208756
target,Satb1.1,33,0.0006302519804713559
target,Satb1.2,1623,0.03099693831227305
target,Satb1.3,1450,0.027692890051014125
target,Scmh1.1,13862,0.264744028887695
target,Scmh1.2,73962,1.4125665751400736
target,Scmh1.3,6147,0.1173987552714371
