type,shRNA,count,pctg
control,Bcl6,82834,1.454654141639207
control,Bcl6.2,20831,0.36581476717877104
control,Bcl6.3,15754,0.2766571860272843
control,CD4.1,36651,0.643630984199949
control,CD4.2,3870,0.06796136282376478
control,CD4.3,38834,0.6819668123767652
control,CD4.4,138046,2.424236251258251
control,CDK9.1,70004,1.229345540856545
control,CDK9.2,92,0.0016156189611851058
control,CDK9.3,16628,0.2920055661585428
control,Ccnt1,29281,0.5142058565484899
control,Ccnt1.2,114347,2.0080563190721006
control,Ccnt1.3,58468,1.0267609719844648
control,Ccnt1.4,59894,1.051803065882834
control,Cd14,41880,0.7354578488525242
control,Cd14.2,6265,0.11002013904157269
control,Cd19,16401,0.2880192019825752
control,Cd19.3,0,0.0
control,Cd19.4,4,7.024430266022199e-05
control,Fosb,0,0.0
control,Fosb.2,0,0.0
control,Hes1,1,1.7561075665055496e-05
control,Hes1.2,2091,0.036720209215631044
control,Hes1.3,1,1.7561075665055496e-05
control,Id2,0,0.0
control,Id2.2,0,0.0
control,Id2.3,29259,0.5138195128838589
control,Id2.4,0,0.0
control,Id2.5,1,1.7561075665055496e-05
control,Id3,57,0.0010009813129081633
control,Id3.2,0,0.0
control,Id3.3,0,0.0
control,Id3.4,128,0.0022478176851271035
control,Id3.5,0,0.0
control,Klf12,13026,0.2287505716130129
control,Klf12.4,27,0.0004741490429564984
control,Klf12.5,18546,0.3256877092841192
control,Klf2,0,0.0
control,Klf2.2,0,0.0
control,Klf2.3,0,0.0
control,Klf2.4,0,0.0
control,Klf2.5,0,0.0
control,Klf2.6,316,0.005549299910157537
control,Klf2.7,6,0.00010536645399033296
control,Ms4a1,160203,2.813337004768886
control,Ms4a1.2,323,0.005672227439812926
control,Nfatc3.2,220800,3.8774855068442533
control,Nfatc3.3,2638,0.046326117604416406
control,Nfatc3.7,1,1.7561075665055496e-05
control,Nfatc3.8,0,0.0
target,Rpa3.1,36,0.0006321987239419979
target,Rpa3.2,726,0.01274934093283029
target,Rpa3.3,0,0.0
target,Rpa3.4,1,1.7561075665055496e-05
control,Runx3,0,0.0
control,Runx3.2,0,0.0
control,Runx3.3,3979,0.06987552007125583
target,Satb1.1,552,0.009693713767110633
target,Satb1.2,40316,0.7079923265123774
target,Satb1.3,68223,1.1980692650970812
target,Scmh1.1,2380,0.041795360082832085
target,Scmh1.2,3033,0.053262742492113324
target,Scmh1.3,8234,0.14459789702606696
target,Scml2.1,3240,0.056897885154779816
target,Scml2.2,18902,0.331939452220879
target,Scml2.3,7216,0.12672072199904047
target,Scml2.4,10139,0.17805174616799768
target,Scml4.1,20063,0.3523278610680084
target,Scml4.2,211,0.00370538696532671
target,Scml4.3,671,0.011783481771252238
target,Setd1a.1,0,0.0
target,Setd1a.2,17350,0.30468466278871287
target,Setd1a.3,4788,0.08408243028428572
target,Setd1a.4,1215,0.02133670693304243
target,Setd2.1,99,0.0017385464908404942
target,Setd2.2,9084,0.15952481134136415
target,Setd2.3,16800,0.29502607117293234
target,Setd2.4,67965,1.1935385075754967
target,Setd3.1,2525,0.04434171605426512
target,Setd3.2,561,0.009851763448096133
target,Setd3.3,626,0.010993233366324741
target,Setd4.1,0,0.0
target,Setd4.2,1658,0.029116263452662012
target,Setd4.3,1,1.7561075665055496e-05
target,Setd4.4,659,0.011572748863271573
target,Setd5.1,0,0.0
target,Setd5.2,259111,4.550267876648195
target,Setd5.3,0,0.0
target,Setd5.4,73130,1.2842414633855084
target,Setd7.1,648,0.011379577030955962
target,Setd7.2,234,0.004109291705622986
target,Setd8.1,4570,0.08025411578930361
target,Setd8.2,1824,0.032031402013061226
target,Setd8.3,6770,0.11888848225242571
target,Setd8.4,2999,0.052665665919501434
target,Setdb1.1,65726,1.1542192591614375
target,Setdb1.2,61630,1.0822890932373703
target,Setdb1.3,10787,0.18943132319895364
target,Setdb1.4,5851,0.10274985371623972
target,Setdb2.1,3,5.268322699516648e-05
target,Setdb2.2,37681,0.6617188921349562
target,Setdb2.3,724,0.012714218781500178
target,Setdb2.4,2032,0.03568410575139277
target,Setmar.1,3339,0.05863643164562031
target,Setmar.2,53924,0.9469634441624526
target,Setmar.3,735,0.01290739061381579
target,Setmar.4,4056,0.0712277228974651
target,Sfmbt1.1,19250,0.33805070655231834
target,Sfmbt1.2,5,8.780537832527748e-05
