type,shRNA,count,pctg
target,Baz1a.2,1460085,41.71729832789088
target,Hat1.3,135885,3.882482926189538
target,Elp4.4,119921,3.426362254785853
target,Hltf.3,115588,3.302560521561588
target,Asxl2.4,114312,3.266102868297299
target,Hells.4,72738,2.07825766703591
target,Asxl3.1,56145,1.6041653154572737
target,Chd7.1,43423,1.2406745123003151
target,Baz1b.1,37882,1.0823580101549994
target,Ing3.3,33630,0.9608705950454735
target,Cbx3.1,31973,0.913527075093337
target,Epc2.4,29027,0.8293544681054106
target,Bmi1.4,27332,0.7809252186673471
target,Dnmt3a.4,24242,0.6926382683643285
target,Hdac8.4,23858,0.6816666861907494
target,Arid2.2,23767,0.6790666497902399
target,Gtf2b.1,21487,0.6139228806346146
target,Brd3.2,20024,0.5721222954264217
target,Chd8.2,17965,0.5132929003863197
target,Atad2b.1,16908,0.48309247758040036
target,Fkbp1a.4,16874,0.4821210354087814
target,Asxl3.2,16121,0.4606064484902789
target,Chd9.4,15805,0.4515777506599378
target,Hdac2.1,15108,0.4316631861417488
target,Ezh1.2,14266,0.4076057064798907
target,Asxl3.4,14265,0.4075771346513136
target,Fbxl19.1,11894,0.33983332909517877
target,Ash2l.1,11750,0.33571898578008663
target,Chd1.3,11623,0.332090363550804
target,Ing2.1,11498,0.32851888497867543
target,Aff4.2,11113,0.3175187309765194
target,Fkbp1a.1,10885,0.3110043540609569
target,Jmjd4.2,10807,0.30877575143194863
target,Baz1b.2,10715,0.306147143202862
target,Jmjd1c.3,10486,0.2996041944587224
target,Hira.4,10378,0.2965184369724033
target,Ehmt2.1,10317,0.2947755554292046
target,Hdac2.3,10290,0.29400411605762483
target,Dnmt3b.2,10169,0.2905469247998044
target,Arid2.1,9771,0.27917533702614694
target,Chd7.2,9391,0.26831804216687605
target,Brd1.2,8998,0.25708931353610376
target,Jmjd1c.4,8975,0.25643216147883213
target,Asxl1.4,8804,0.25154637879216024
target,Cbx5.2,8607,0.24591772856248556
target,Ctsl.1,8484,0.24240339364751104
target,Atr.3,8459,0.24168909793308535
target,Baz2b.1,8226,0.23503186187463768
target,Ing5.2,8028,0.229374639816386
target,Chd7.3,7826,0.22360313044382624
target,Atad2b.3,7538,0.21537444381364196
target,Jarid2.1,7449,0.2128315510702864
target,Jmjd1c.2,7220,0.20628860232614685
target,Brd9.3,7175,0.20500287004018058
target,Chd3.1,7163,0.2046600080972562
target,Ash1l.1,6979,0.19940279163908292
target,Ercc5.1,6854,0.19583131306695434
target,Epc2.3,6617,0.18905978969419857
target,Gadd45b.3,6262,0.17891679054935342
target,Atad2.3,6195,0.1770024780346925
target,Atad2b.2,6192,0.1769167625489614
target,Atrx.3,6171,0.1763167541488438
