type,shRNA,count,nbRawCount
target,Hat1.3,163442,99.9029306073501
target,Hltf.3,143498,99.83517489801122
target,Asxl2.4,137061,99.80398420688404
target,Asxl3.1,135927,99.79787947806163
target,Elp4.4,130750,99.76737523328325
target,Cbx3.1,74295,98.83004873262018
target,Epc2.4,67162,98.54172588690588
target,Hells.4,62228,98.29599817530432
target,Gtf2b.1,51784,97.60421569977169
target,Bmi1.4,50233,97.47603169977161
target,Ing3.3,47470,97.22729183864314
target,Brd9.3,38714,96.22252307651225
target,Brd3.2,36460,95.89576393130727
target,Dnmt3a.4,33864,95.47488197669897
target,Hdac2.1,29067,94.5429945435828
target,Fkbp1a.4,27747,94.24393512556183
target,Arid2.2,27086,94.08608374251908
target,Asxl3.2,26908,94.04260201282536
target,Fkbp1a.1,26562,93.95686258378385
target,Atad2b.1,26225,93.87177135683207
target,Chd8.2,25409,93.65900868870514
target,Chd9.4,23346,93.07476010183522
target,Hdac8.4,23064,92.9892657290928
target,Jmjd1c.4,22835,92.91876797885739
target,Ezh1.2,22173,92.70937993088162
target,Ehmt2.1,21338,92.43279123237947
target,Asxl3.4,20550,92.1580694219694
target,Jarid2.1,17737,91.0517008794835
target,Atad2.3,16753,90.61034791070661
target,Ing5.2,16267,90.38023677848345
target,Hira.4,15847,90.17442424174371
target,Gadd45b.2,15609,90.05480187747179
target,Cbx5.2,15501,89.99978201959266
target,Baz1b.2,15208,89.84813394352929
target,Dnmt1.2,15086,89.78394139164246
target,Asxl2.1,15069,89.77494666676226
target,Ing2.1,14432,89.4288170698917
target,Hat1.1,14053,89.21408213460252
target,Cbx3.4,13913,89.13301297910611
target,Epc2.2,12451,88.22453316568391
target,Cbx3.3,12291,88.11763832012713
target,Hdac2.3,12117,87.99956102174986
target,Fbxl19.1,12073,87.96939449020151
target,Atr.3,11939,87.87674371381384
target,Chd2.4,11797,87.77725789552201
target,Ash1l.1,11462,87.53706157566431
target,Chd6.3,11396,87.48880200324717
target,Epc2.3,11002,87.19399704105982
target,Chd1.3,10925,87.13499858553585
target,Gtf3c4.4,10890,87.10802709145518
target,Jmjd4.2,10625,86.9006209261167
target,Ezh1.3,10216,86.56895777817991
target,Crebbp.3,10159,86.52157230035061
target,Brd1.1,9894,86.29736083816756
target,Hdac2.4,9840,86.25086404358454
target,Ercc5.1,9437,85.89480468400073
target,Dnmt3b.2,9419,85.87851689997397
target,Aff4.2,8880,85.37454041857511
target,Dub2a.4,8779,85.27644171646
target,Atad2b.3,8714,85.21266676652928
target,Epc2.1,8599,85.09857703294783
target,Jmjd1c.2,8257,84.7494192165328
target,Atrx.3,8191,84.68027058273076
target,Jarid2.2,8130,84.61583369146642
target,Bop1.2,8122,84.6073450252343
target,Ino80.3,8096,84.57969566603349
target,Chd3.1,7982,84.45734631599372
target,Ing4.3,7906,84.37475166726263
target,Cbx1.1,7849,84.3122551166127
target,Brpf1.3,7757,84.21036987317295
target,Arid2.1,7625,84.06195001123841
target,Asxl1.4,7621,84.05741051816317
target,Cbx1.4,7572,84.00159851100906
target,Jhdm1d.1,7444,83.85400422151857
target,Chaf1b.1,7433,83.84119695964777
target,Eed.2,7353,83.74745482365825
target,Dmap1.4,7322,83.71084395107962
target,Epc1.3,7171,83.53017898402851
target,Chd8.1,7127,83.47679157406895
target,Atad2b.2,7083,83.42306163795202
target,Brpf3.1,6959,83.26976301757645
target,Dmap1.3,6858,83.14280018486168
target,Hdac6.4,6798,83.0664612858065
target,Chd5.1,6771,83.03188231274659
target,Hdac9.2,6762,83.0203244726003
target,Brd1.2,6754,83.0100375535754
target,Cbx7.3,6703,82.94416270009967
target,Ctsl.1,6599,82.80822082613163
target,Bop1.3,6567,82.76595048314178
target,Atr.2,6468,82.63382936147626
target,Baz1a.4,6455,82.61632676065516
target,Cxxc1.4,6424,82.57444411769596
target,Ctsl.2,6336,82.45441850253178
target,Cbx8.2,6293,82.39515039846287
