type,shRNA,count,nbRawCount
target,Smarce1.3,329678,99.85135384436063
target,Smarcb1.2,288300,99.75783970553256
target,Smarcd1.2,286761,99.75334871819817
target,Smarca5.1,182047,99.0920517585802
target,Taf1.2,176545,99.02395854212261
target,Tet3.2,111611,97.59058955663306
target,Ssrp1.3,105030,97.34074439024712
target,Zmynd11.3,86046,96.42551538943647
target,Setmar.2,75390,95.74148676780779
target,Sp100.1,73050,95.56977558961214
target,Smarca1.3,55630,93.96040432307005
target,Sirt1.2,52520,93.59412342348101
target,Wdr82.2,41102,91.94573136520042
target,Suv39h2.3,34850,90.7678771006016
target,Setmar.1,34195,90.62944775074196
target,Smarcd1.1,33271,90.42859532164691
target,Setd5.4,30984,89.90120680679534
target,Sp140.1,30566,89.79980482946544
target,Setdb1.2,26382,88.68582798461863
target,Setd5.2,24259,88.04011155987996
target,Taf3.2,22603,87.49074391159849
target,Setd1a.2,22229,87.36048391994176
target,Suz12.4,21989,87.27561553552314
target,Sfmbt2.3,21040,86.92978151720642
target,Sfmbt1.1,19201,86.20852593335002
target,Sirt1.4,19077,86.15723773571615
target,Setmar.4,18856,86.06493676536059
target,Smarcd1.4,18727,86.01052296964866
target,Ube2a.1,18548,85.93435133178001
target,Smarce1.4,18154,85.76388991982049
target,Rpa3.3,15265,84.38040778992318
target,Tet1.2,14902,84.1874791462157
target,Taf3.4,13473,83.37790739361776
target,Setdb1.1,13306,83.2776112252358
target,Sp110.2,13294,83.27035503655519
target,Sfmbt1.3,13239,83.23701201840188
target,Whsc1l1.4,12674,82.8861098014826
target,Supt16h.4,12032,82.46765294086048
target,Ube2a.2,11987,82.43748348809318
target,Setd4.2,11951,82.41326585105786
target,Setd3.1,11279,81.94725745729158
target,Tet3.4,11113,81.8278656257726
target,Supt16h.1,10996,81.74264288640263
target,Sirt4.2,10914,81.68237419775978
target,Setd2.3,10845,81.63131020923817
target,Sirt5.1,10695,81.51917826148947
target,Suz12.3,10586,81.43671163750827
target,Setdb1.3,10535,81.3978366477998
target,Setd7.1,10458,81.33878814907547
target,Smyd4.2,10227,81.15902463512687
target,Smarcc1.2,10207,81.14327225404946
target,Rpa3.4,9782,80.80113000272083
target,Sfmbt2.2,9201,80.3089519106407
target,Setd2.1,9157,80.27044646066526
target,Sin3a.3,8989,80.12174231931259
target,Sp110.4,8964,80.09938190269784
target,Zmynd11.1,8608,79.77419446454842
target,Smyd3.2,8565,79.7340327298426
target,Sp100.2,8240,79.42399054178672
target,Smarca4.2,8181,79.36643571188014
target,Tet2.2,7975,79.16227999249467
target,Sin3b.3,7872,79.0582811070802
target,Suv420h2.1,7823,79.00834349032779
target,Smarca5.4,7641,78.82017947860284
target,Ube2b.1,7574,78.74982010172235
target,Suv39h1.4,7288,78.44258213427518
target,Setd8.3,7088,78.22076813609657
target,Taf1.3,7065,78.19487563956832
target,Setd4.4,6407,77.41777209773679
target,Sirt7.3,6197,77.15367113279176
target,Sp140.4,6194,77.14983694274429
target,Sin3a.1,6155,77.09983126683255
target,Suv39h2.2,5672,76.45430456416659
target,Taf1.4,5619,76.38032857873112
target,Sin3b.2,5455,76.14717354276405
