Pool,Gene,nbPctgShift
P1-7,Actb,-8.185159753210215
P1-7,Actl6a,-8.680571911501005
P1-7,Actl6b,-19.412048341099826
P1-7,Aff1,-15.753300760484446
P1-7,Aff4,-10.445188599852596
P1-7,Arid1a,-7.2346969551738916
P1-7,Arid1b,-4.236429536417759
P1-7,Arid2,-10.356482504657375
P1-7,Ash1l,-12.054266243443234
P1-7,Ash2l,-9.930954160480454
P1-7,Asxl1,-11.731436371825009
P1-7,Asxl2,-11.392016101663552
P1-7,Asxl3,-13.764641543349194
P1-7,Atad2,-12.432148074288804
P1-7,Atad2b,-11.023278430861701
P1-7,Atm,-15.437586605461654
P1-7,Atr,-13.571053956000188
P1-7,Atrx,-12.003772181536533
P1-7,Aurkb,-12.405879099003453
P1-7,Baz1a,-10.244129544526107
P1-7,Baz1b,-13.853708132505053
P1-7,Baz2a,-6.1902489877684745
P1-7,Baz2b,-15.656670170923439
P1-7,Bcl6,-8.562600136176783
P1-7,Bmi1,-14.757306414939848
P1-7,Bop1,-11.571463206608998
P1-7,Bptf,-14.921761721367282
P1-7,Brd1,-11.030191970212268
P1-7,Brd2,-18.726341090599302
P1-7,Brd3,-7.9899272139113116
P1-7,Brd4,-1.763423624705819
P1-7,Brd7,-13.2155643771479
P1-7,Brd8,-14.146213803152532
P1-7,Brd9,-12.985978146953803
P1-7,Brdt,-14.231833509453084
P1-7,Brpf1,-17.11093454020871
P1-7,Brpf3,-15.275723910494424
P1-7,Brwd1,-9.761897041645476
P1-7,Brwd3,-14.789455211735094
P1-7,CD4,-9.946286688984042
P1-7,CDK9,-13.713340251174008
P1-7,Carm1,-18.47923307573021
P1-7,Cbx1,-12.934194006480084
P1-7,Cbx2,-13.912756876125448
P1-7,Cbx3,-17.24335745811075
P1-7,Cbx4,-15.719952067416223
P1-7,Cbx5,-9.469582933899126
P1-7,Cbx6,-1.2708003177800045
P1-7,Cbx7,-14.506640476672967
P1-7,Cbx8,-15.22923253887459
P1-7,Ccnt1,-10.672386260084746
P1-7,Cd14,-14.277514609228845
P1-7,Cd19,-18.054133931679733
P1-7,Cd4,-4.5618760901046045
P1-7,Cecr2,-24.977604290093677
P1-7,Chaf1a,-13.26240055569171
P1-7,Chaf1b,-6.592565811947795
P1-7,Chd1,-12.174194628171742
P1-7,Chd1l,-7.783169337787304
P1-7,Chd2,-13.48741772809089
P1-7,Chd3,-10.172118964965744
P1-7,Chd4,-3.511082876194923
P1-7,Chd5,-9.24646684049766
P1-7,Chd6,-10.036505349157494
P1-7,Chd7,-14.545208838465635
P1-7,Chd8,-10.886984074149055
P1-7,Chd9,-8.291771337409969
P1-7,Clock,-6.3957398343130905
P1-7,Crebbp,-9.893088355799495
P1-7,Ctsl,-10.45135245255543
P1-7,Cxxc1,-15.179394829899493
P1-7,Dmap1,-10.853433972119788
P1-7,Dnmt1,-16.57841236475862
P1-7,Dnmt3a,-10.654650851210892
P1-7,Dnmt3b,-9.982435367494713
P1-7,Dnmt3l,-8.75487418410194
P1-7,Dot1l,-1.3614530849864348
P1-7,Dpy30,-0.46825502486104637
P1-7,Dub2a,-11.189339064365434
P1-7,Eaf1,-5.701692059342013
P1-7,Eed,-16.028332720347567
P1-7,Ehmt1,-11.951496557825866
