GeneName,inputMinusAvg_nbPctg
Actb,-14.248394188711252
Actl6a,-12.284062659008931
Actl6b,-18.242255565036302
Aff1,-13.555633367330204
Aff4,-20.707701396774386
Arid1a,-7.091298218057888
Arid1b,-10.393315061223465
Arid2,-21.315407005433585
Ash1l,-26.05884801036024
Ash2l,-22.93738508350208
Asxl1,-20.103799570726103
Asxl2,-22.588818144788934
Asxl3,-29.141875755854375
Atad2,-23.848825162473634
Atad2b,-26.9618588683444
Atm,-25.24444661841311
Atr,-21.10799270422448
Atrx,-24.762514289731726
Aurkb,-15.089798162621655
Baz1a,-23.088100839848163
Baz1b,-25.67752592352298
Baz2a,-16.061265711661964
Baz2b,-27.997748070435595
Bcl6,-26.091585095804014
Bmi1,-21.885682282509634
Bop1,-24.613996706065524
Bptf,-23.455336294327395
Brd1,-22.51449730411206
Brd2,-20.23257679793845
Brd3,-22.670513798776582
Brd4,-15.003022633895666
Brd7,-4.01322520858255
Brd8,-21.721909929223948
Brd9,-22.891090962129436
Brdt,-15.242418646275484
Brpf1,-22.434511148967438
Brpf3,-16.528833079589084
Brwd1,-22.82356568535333
Brwd3,-24.88926777031521
CD4,-19.8137425965444
CDK9,-28.713229882869932
Carm1,-22.081904876568547
Cbx1,-24.679461350586692
Cbx2,-22.63007211952338
Cbx3,-17.460118750097575
Cbx4,-22.07453831582104
Cbx5,-23.128517294977172
Cbx6,-12.475096924655176
Cbx7,-26.222603488253945
Cbx8,-22.788940329119733
Ccnt1,-23.68870288217312
Cd14,-24.52975172833972
Cd19,-23.419067361512436
Cd4,-22.307742552961756
Cecr2,-17.636079294387443
Chaf1a,-16.69929172770147
Chaf1b,-17.617222804159105
Chd1,-22.42129382447745
Chd1l,-19.7865416907544
Chd2,-24.497693568083978
Chd3,-21.49211711545567
Chd4,-20.953714952617908
Chd5,-23.34297970372037
Chd6,-22.91705843110851
Chd7,-29.80469315602988
Chd8,-22.487108725605083
Chd9,-24.21722033795797
Clock,-9.010180934134079
Crebbp,-25.340455021379455
Ctsl,-20.817188970985104
Cxxc1,-21.711582543776565
Dmap1,-25.078422685806128
Dnmt1,-9.397293642265467
Dnmt3a,-29.377617034206995
Dnmt3b,-21.32909635578985
Dnmt3l,-19.734666109900367
Dot1l,-22.931411743399636
Dpy30,-11.953893767419517
Dub2a,-22.24299374053977
Eaf1,-16.515582018443194
Eed,-15.896946975563282
Ehmt1,-17.172506728589735
Ehmt2,-29.123625242856743
Elp3,-20.36939040529654
Elp4,-24.948181220406273
Ep300,-17.793314626676707
Ep400,-22.102606970035794
Epc1,-18.47463663681288
Epc2,-30.827498632738173
Ercc5,-24.758349313921137
Ezh1,-29.931609260570568
Ezh2,-18.993893931879107
Fbxl19,-15.329932283646398
Fbxo17,-9.589787017278187
Fbxo44,-16.166137057701746
Fbxw9,-25.611391991329874
Fkbp1a,-24.368854616376314
Fkbp2,2.456687009475919
Fkbp5,-16.742831292431962
Fosb,-10.02475776678428
Gadd45a,-11.568543726831155
Gadd45b,-28.083251034539234
Gtf2b,-20.783164482344713
Gtf2f1,-20.121244669721747
Gtf2h1,-20.55402281736119
Gtf3c4,-16.138988648500685
H2afz,-2.7956723418294693
Hat1,-11.412157285947039
Hcfc1,-2.4664977430138126
Hdac1,-16.8342075077341
Hdac10,-18.96232458274903
Hdac11,-13.23207317970241
Hdac2,-29.287451715932225
Hdac3,-13.904553678406188
Hdac4,-17.85383186855778
Hdac5,-5.659342246029914
Hdac6,-23.0285533679209
Hdac7,-22.674632416060085
Hdac8,-27.260606007390862
Hdac9,-15.005555472026387
Hells,-13.609128405453681
Hes1,-6.150446484218776
Hes6,-31.0495840582687
Hira,-28.004711199693148
Hltf,-18.148709817666806
Id2,-11.465218221492275
Id3,-18.14141780481678
Ing2,-23.66612907692973
Ing3,-24.244039468039972
Ing4,-24.529965416902606
Ing5,-22.62087773895327
Ino80,-25.877586994418344
Iws1,-6.468372376008919
Jarid2,-26.45398077550297
Jhdm1d,-24.84944076326272
Jmjd1c,-24.246838281793078
Jmjd4,-23.363341128426473
Klf12,-17.205322335120872
Klf2,-15.837697481113972
Ms4a1,-25.495373019293222
Nfatc3,-13.056824106404505
Runx3,-16.626069543135277
Tbx21,-24.929523385725307
