gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
HDAC1,KMT2E,pp,91,9.539392014169456
UBE2E1,UBE2I,pp,13,3.605551275463989
AFF1,HDAC1,pp,8,2.8284271247461903
KMT2C,WDR82,pp,12,3.4641016151377544
ACTB,CARM1,pp,18,4.242640687119285
EZH2,SMYD3,pp,105,10.246950765959598
CHD4,L3MBTL2,pp,60,7.745966692414834
KDM5B,KMT2A,pp,23,4.795831523312719
CBX3,CHAF1B,pp,38,6.164414002968976
EZH2,L3MBTL3,pp,105,10.246950765959598
ATM,DNMT1,pp,23,4.795831523312719
L3MBTL2,RBBP7,pp,27,5.196152422706632
HDAC1,HELLS,pp,91,9.539392014169456
GTF2F1,PHF19,pp,10,3.1622776601683795
BRD9,WDR5,pp,9,3.0
MECP2,SUV39H1,pp,21,4.58257569495584
MECP2,PRMT6,pp,21,4.58257569495584
PAXIP1,WDR5,pp,16,4.0
GTF2B,NAP1L1,pp,8,2.8284271247461903
L3MBTL2,PHF10,pp,27,5.196152422706632
ARID1A,SMARCD1,pp,26,5.0990195135927845
CBX4,KDM2B,pp,26,5.0990195135927845
PHC3,SCMH1,pp,14,3.7416573867739413
EED,MTA1,pp,87,9.327379053088816
CARM1,EED,pp,24,4.898979485566356
CBX3,CHD1L,pp,38,6.164414002968976
RBBP5,SMARCD1,pp,29,5.385164807134504
BAZ1B,SMARCA5,pp,15,3.872983346207417
HDAC3,SMARCD1,pp,31,5.5677643628300215
EED,PHF19,pp,87,9.327379053088816
CHD1,PAF1,pp,8,2.8284271247461903
PRMT5,SIN3A,pp,37,6.082762530298219
CBX4,EED,pp,26,5.0990195135927845
CBX8,SETD2,pp,26,5.0990195135927845
CBX1,CBX3,pp,28,5.291502622129181
PHC1,SFMBT2,pp,20,4.47213595499958
CHD7,SMARCC2,pp,18,4.242640687119285
CBX7,PHC3,pp,14,3.7416573867739413
HDAC1,PRDM4,pp,91,9.539392014169456
DNMT3L,HDAC1,pp,7,2.6457513110645907
DPY30,WDR5,pp,16,4.0
CHAF1A,SMARCD1,pp,29,5.385164807134504
CBX7,SUV39H2,pp,14,3.7416573867739413
CBX3,WDR5,pp,38,6.164414002968976
KAT2A,TAF3,pp,9,3.0
HDAC2,TET1,pp,78,8.831760866327848
ARID1B,SMARCD3,pp,20,4.47213595499958
BAZ1B,SMARCC2,pp,15,3.872983346207417
GTF2F1,TAF1,pp,10,3.1622776601683795
EZH2,HDAC8,pp,105,10.246950765959598
L3MBTL1,SETD7,pp,9,3.0
MECP2,SMARCB1,pp,21,4.58257569495584
PAF1,SMARCD3,pp,21,4.58257569495584
BRDT,SMARCE1,pp,2,1.4142135623730951
KDM4A,NCOR1,pp,9,3.0
CBX2,KDM3A,pp,13,3.605551275463989
BAZ1B,SMARCA4,pp,15,3.872983346207417
H2AFZ,UBE2E1,pp,12,3.4641016151377544
HDAC1,PCGF6,pp,91,9.539392014169456
HDAC1,KDM5B,pp,91,9.539392014169456
HELLS,L3MBTL2,pp,10,3.1622776601683795
EP400,KDM1A,pp,23,4.795831523312719
EED,PCGF2,pp,87,9.327379053088816
