gene_name,gene_name2,cluster,interation
AFF1,HDAC1,4,pp
CBX3,CHAF1B,2,pp
ATM,DNMT1,1,pp
SETMAR,SETMAR,6,pp
SIN3B,SMARCA4,6,pp
HDAC2,TET2,2,pp
MECP2,SUV39H1,4,pp
CHAF1A,CHAF1A,4,pp
MECP2,PRMT6,4,pp
ARID1A,SMARCD1,5,pp
CBX4,KDM2B,1,pp
CHAF1A,MBD1,4,pp
CBX3,CHD1L,2,pp
PCGF2,PHC1,6,pp
BAZ1B,SMARCA5,1,pp
HDAC3,SMARCD1,4,pp
PRMT5,SIN3A,4,pp
CBX1,CBX3,1,pp
HES1,HES1,6,pp
KMT2A,KMT2A,4,pp
PHC1,SFMBT2,6,pp
CBX7,PHC3,1,pp
UHRF1,UHRF1,4,pp
CHAF1A,SMARCD1,4,pp
CBX3,WDR5,2,pp
SMARCA4,TBX21,6,pp
ARID1B,SMARCD3,3,pp
GTF2F1,TAF1,2,pp
PAF1,SMARCD3,4,pp
BRDT,SMARCE1,2,pp
KDM4A,NCOR1,5,pp
CBX6,ELP4,5,pp
CHD7,SMARCA4,3,pp
BAZ1B,SMARCA4,1,pp
H2AFZ,UBE2E1,3,pp
HDAC1,PCGF6,2,pp
KDM6B,SMARCC1,6,pp
KDM4C,SMARCA4,5,pp
CBX1,CBX1,1,pp
TRIM33,UBE2E1,1,pp
CHD4,PAF1,5,pp
BRPF1,ING4,2,pp
CBX1,PCGF6,1,pp
HDAC1,MECP2,2,pp
SUV39H1,UHRF1,4,pp
HDAC11,POLR2B,2,pp
SMARCA4,SMARCD3,6,pp
EP400,HCFC1,2,pp
KDM4A,SMARCA4,5,pp
SIRT3,SIRT5,4,pp
CBX4,PCGF2,1,pp
PCGF2,PCGF2,6,pp
KMT2B,WDR5,4,pp
SMARCA5,SMARCA5,5,pp
CBX1,HDAC2,1,pp
EZH1,RBBP7,1,pp
ID2,PRMT6,6,pp
PHC1,PHC3,6,pp
CBX3,KDM2B,2,pp
HDAC2,SUV39H1,2,pp
MEN1,RNF20,5,pp
HDAC2,MBD2,2,pp
EHMT2,SIRT6,1,pp
PCGF6,WDR5,1,pp
DNMT3B,HDAC1,5,pp
HDAC1,HES1,2,pp
CBX6,PCGF6,5,pp
CBX1,SUV39H1,1,pp
HDAC1,SUV39H1,2,pp
CBX7,PCGF5,1,pp
MBD1,PRMT5,5,pp
ATAD2,HDAC11,3,pp
MEN1,SIN3A,5,pp
HDAC1,RUNX3,2,pp
CBX5,UBE2B,5,pp
CBX4,PHC1,1,pp
NCOA3,NFATC3,5,pp
KDM2B,KDM2B,6,pp
CBX7,PCGF2,1,pp
CHAF1A,SMARCA4,4,pp
ARID1B,HDAC3,3,pp
DNMT3B,RBBP7,5,pp
RNF20,SIRT6,1,pp
GTF2F1,GTF2H1,2,pp
CHD1L,TRIM33,5,pp
RBBP7,TET2,1,pp
CHD4,SIN3A,5,pp
ASH2L,PHF8,2,pp
PHF8,PRMT5,6,pp
SIN3A,TET2,5,pp
KDM6B,PRMT5,6,pp
SMARCA4,SMARCC1,6,pp
PCGF2,PHC3,6,pp
SMARCD2,SMARCE1,6,pp
PRMT5,PRMT5,4,pp
HDAC2,SIN3A,2,pp
PHC2,PHC2,3,pp
EZH1,EZH1,1,pp
DNMT1,HDAC2,4,pp
CBX7,PCGF6,1,pp
ARID2,SMARCA4,5,pp
PHC2,RING1,3,pp
