source,target,color,edge
CHAF1A,MBD1,4,pp
KMT2A,KMT2A,4,pp
CBX5,SUV39H1,5,pp
RING1,CBX4,6,pp
ARID1B,SMARCA4,3,pp
PHC2,PHC2,3,pp
EHMT2,KLF12,1,pp
PHC1,PHC2,6,pp
SUV39H1,CBX5,4,pp
KMT2A,ASH2L,4,pp
ASH2L,ASH2L,2,pp
KMT2A,HCFC1,4,pp
ASH2L,MEN1,2,pp
HCFC1,MEN1,6,pp
KMT2A,MEN1,4,pp
ASH2L,KMT2A,2,pp
HCFC1,KMT2A,6,pp
MEN1,KMT2A,5,pp
WDR5,KMT2A,4,pp
ASH2L,WDR5,2,pp
HCFC1,WDR5,6,pp
MEN1,WDR5,5,pp
KMT2A,WDR5,4,pp
ASH2L,HCFC1,2,pp
HDAC1,HDAC2,2,pp
ATM,ATM,1,pp
HCFC1,SIN3A,6,pp
DNMT3B,SIN3A,5,pp
DNMT3B,HDAC1,5,pp
DNMT3B,SMARCA5,5,pp
DNMT3A,DNMT3B,3,pp
CBX7,RING1,1,pp
NCOA3,NCOA3,5,pp
NCOR1,KDM4A,2,pp
NCOR1,HDAC3,2,pp
NCOR1,TRIM33,2,pp
NCOR2,HDAC3,2,pp
HDAC1,SIN3A,2,pp
HDAC2,SIN3A,2,pp
HDAC1,HDAC1,2,pp
HDAC1,CHD4,2,pp
HDAC1,RBBP7,2,pp
SMARCD1,SMARCA4,2,pp
SMARCD1,SMARCC1,2,pp
DNMT3B,CBX5,5,pp
CBX5,DNMT3B,5,pp
DNMT1,DNMT3B,4,pp
DNMT1,CBX5,4,pp
DNMT3A,CBX5,3,pp
KMT2A,HDAC1,4,pp
CBX4,KMT2A,1,pp
KMT2A,CBX4,4,pp
SIN3A,HDAC1,5,pp
SIN3A,HDAC2,5,pp
SUV39H1,DNMT3A,4,pp
DNMT3A,SUV39H1,3,pp
DNMT1,SUV39H1,4,pp
DNMT1,CBX1,4,pp
DNMT3A,CBX1,3,pp
MBD1,SUV39H1,5,pp
MBD1,CBX5,5,pp
MBD1,CHAF1A,5,pp
CBX5,CHAF1A,5,pp
CBX5,MBD1,5,pp
CHAF1B,CBX5,5,pp
TRIM24,TRIM24,1,pp
HCFC1,HDAC1,6,pp
HCFC1,HDAC2,6,pp
HCFC1,RBBP7,6,pp
HCFC1,SIN3B,6,pp
SIN3A,HCFC1,5,pp
HDAC3,NCOR1,4,pp
HDAC3,NCOR2,4,pp
HDAC2,CHD4,2,pp
HDAC2,RBBP7,2,pp
HDAC2,HDAC1,2,pp
HDAC2,HDAC2,2,pp
PRMT5,PRMT5,4,pp
MBD2,HDAC1,4,pp
MBD2,HDAC2,4,pp
HDAC10,HDAC3,6,pp
HDAC3,HDAC3,4,pp
HDAC2,DNMT1,2,pp
DNMT1,HDAC2,4,pp
HDAC2,HDAC10,2,pp
HDAC1,NCOR2,2,pp
HDAC10,HDAC2,6,pp
HDAC10,NCOR2,6,pp
NCOR2,HDAC1,2,pp
NCOR2,HDAC10,2,pp
CHD4,HDAC2,5,pp
NCOR1,SIN3A,2,pp
SMARCA4,SMARCC1,6,pp
SMARCA4,SIN3A,6,pp
SMARCA4,HDAC2,6,pp
SIN3A,SMARCC1,5,pp
SIN3A,SMARCA4,5,pp
DNMT1,HDAC1,4,pp
BCL6,NCOR2,3,pp
BCL6,NCOR1,3,pp
HDAC1,MBD2,2,pp
SMARCA4,ARID1A,6,pp
SMARCA4,SMARCE1,6,pp
CBX5,SMARCA4,5,pp
SMARCA4,ARID1B,6,pp
ARID1B,SMARCD1,3,pp
RBBP7,SIN3A,1,pp
SMARCA5,BAZ1B,5,pp
BAZ1B,SMARCA5,1,pp
HDAC1,SIN3B,2,pp
H2AFZ,H2AFZ,3,pp
SIN3B,HDAC1,6,pp
CHD4,HDAC1,5,pp
MECOM,HDAC1,6,pp
HDAC1,BCL6,2,pp
DNMT3A,HDAC1,3,pp
HDAC1,DNMT3A,2,pp
NCOR2,NCOR1,2,pp
NCOR2,SMARCA4,2,pp
NCOR2,SIN3A,2,pp
NCOR1,SMARCA4,2,pp
NCOR1,SMARCC1,2,pp
NCOR2,HDAC2,2,pp
SMARCE1,SMARCA4,6,pp
SMARCE1,SMARCC1,6,pp
SMARCA5,HDAC2,5,pp
HDAC2,SMARCA5,2,pp
HDAC1,MECOM,2,pp
CBX4,RING1,1,pp
PHC1,CBX4,6,pp
