plate_well,shRNA,Percentage
21_C08,Sirt2,1
21_E02,Ube2a.2,8.383869119
control_D03,Ncor1.2,0
14_C02,Ring1.2,0
13_B10,Prdm11.1,0
12_B02,Pcgf2.1,0
12_G02,Phf8.4,0
10_B06,Mll3.1,0
10_D03,Myst4.2,0
10_D05,Morf4l1.1,0
9_C06,Mbd2.1,0
8_C06,Kdm3b.1,0
18_B02,Tdg.1,12.04271959
16_E10,Smarcd1.3,12.10482518
12_F05,Phc1.3,0.340136054
control3_D02,shNcor1.1,12.60469799
control3_D04,shNcor1.3,12.73484453
control3_B11,shCd4.1,12.8108624
17_F11,Taf1.4,13.28323336
control3_C05,shmll2.4,13.32260314
control1_B03,shBptf.2,0
control1_D03,shNcor1.2,0
1_F04,Atad2.4,0
1_F07,Atm.4,0
1_F09,Asxl1.3,0
2_B08,Brd8.1,0
2_B11,Brd9.1,0
2_C08,Baz2a.2,0
2_C11,Bptf.1,0
2_F04,Brd3.4,0
3_D07,Chd1l.3,0
3_G04,Brwd3.4,0
4_C10,Cxxc1.2,0
5_B08,Ezh1.1,0
5_C11,Ep300.1,0
5_F05,Elp3.3,0
5_G03,Ep300.4,0
6_D02,Fkbp1a.2,0
7_B06,Hdac9.1,0
7_C09,Jmjd1c.1,0
7_D07,Jmjd1c.3,0
7_G08,Hdac9.4,0
9_C03,Kdm6a.1,0.576082638
18_B03,Ube2b.1,13.56008898
16_B04,Smarcc2.1,13.60038703
16_F03,Smyd3.3,13.67851007
15_C02,Sfmbt1.2,13.77483337
17_B02,Smyd4.1,14.00619582
8_C03,Kat2b.1,0.691669228
10_C08,Mll3.2,0.698772427
12_E03,Phf2.2,0.720906282
2_G08,Baz2a.4,0.133333333
12_C08,Pcgf6.2,0.743977326
12_G04,Pcgf5.4,0.76318743
control3_C03,shmll2.2,14.39888955
12_F06,Pcmt1.3,0.781968721
16_F07,Smarcd3.4,14.50367227
3_E02,Cbx5.2,0.176366843
14_G04,Prmt2.4,0.810221253
16_C04,Sirt1.2,14.68470826
3_D06,Cbx1.2,0.200400802
16_D03,Smyd2.2,14.71936275
8_C09,Kdm4d.1,0.833333333
10_F02,Mll3.3,0.833754421
15_G03,Setd5.4,14.76334283
4_C03,Chd6.1,0.208333333
1_E06,Atad2.3,0.215982721
6_C05,Hdac3.2,0.21691974
