,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 6,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:33:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Fbxw9.1,B02,Sample,6670,912,1055,949,1969.518601,1261.504815,918.3113577,94.84214237,624.7086404,236.8238351,46.59998963,29.27631579,34.02843602,33.61433087,28.69071476,4294.924784,440.7709388,437.0566641,3647.197369,90.24122807,45.49763033,41.72813488,87.04074816,38.9254386,27.86729858,29.61011591,37.2745491,467.908155,117.6960195,109.0146983,522.7738886
B03,Hcfc1.1,B03,Sample,7079,493,539,1507,1653.338363,1101.255125,1173.389892,56.98378678,397.5376708,581.4928997,71.36212433,33.26572008,28.38589981,31.38686131,26.2295082,5915.414329,353.0687106,358.0788245,3951.268001,93.30628803,42.30055659,38.22163238,88.60391327,46.04462475,29.3135436,23.75580624,37.51983078,481.7404135,94.82354178,98.16389824,477.8217752
B04,Hdac1.1,B04,Sample,6735,1167,1195,761,1778.728823,1131.494116,1219.423717,58.32047906,344.3324124,473.9896337,69.66678618,27.16366752,28.61924686,28.12089356,21.52114598,4053.170911,328.0647747,416.0690812,3524.15966,90.05998286,40,40.07884363,85.67530696,58.44044559,32.88702929,27.33245729,37.48294679,605.6897021,101.0977643,90.14665646,418.1699069
B05,Hat1.1,B05,Sample,8851,1993,1781,873,1812.249133,1383.657631,1030.012985,77.8540598,770.4284209,416.0547572,66.52661945,23.48218766,27.34418866,26.4604811,21.67277167,5234.565324,429.2930894,325.9665847,3797.024993,95.48419468,42.95339697,35.395189,87.51526252,45.70998495,27.90567097,24.85681558,41.60561661,515.8184194,112.6489433,89.45921771,501.7054712
B06,Gadd45a.1,B06,Sample,7996,607,723,1434,1221.031251,872.3230164,1023.818987,74.23972563,412.3034874,495.0364319,78.17679294,26.68863262,40.11065007,28.38214784,21.66740972,4985.023826,375.3667476,348.546752,3717.514906,93.41021417,42.8769018,36.9595537,88.07400802,41.3509061,25.17289073,22.94281729,38.23004904,596.9908344,111.5769617,94.10817959,476.0090191
B07,Hdac6.1,B07,Sample,9630,642,718,2138,1931.039476,1301.532173,980.5610092,61.66085529,938.4325447,532.0704088,64.91388372,19.62616822,32.59052925,26.70720299,22.65715388,5280.259506,350.6533976,256.9383263,4093.998675,95.3271028,41.22562674,34.28437792,89.08600077,33.64485981,24.23398329,19.9251637,42.0940995,539.4065782,117.6978943,81.78693121,526.0858177
B08,Hdac2.1,B08,Sample,9230,1701,1399,972,1750.763114,972.7483138,976.7072703,76.66662368,492.096759,568.9865813,79.00644134,18.04820694,24.51751251,20.98765432,16.46975425,4088.78467,250.1737878,304.1698919,3520.358216,91.00529101,35.5968549,35.3909465,87.24007561,55.67313345,29.09220872,19.34156379,34.42816635,584.937737,93.71373144,82.59601869,466.4669941
B09,Gtf2f1.1,B09,Sample,7783,669,587,1257,1970.833037,1188.154437,1019.605491,172.8976955,684.426051,588.5449851,87.91561769,21.82361734,28.96081772,26.57120127,20,4644.888923,374.0602212,291.2390301,4139.347102,92.07772795,43.61158433,36.51551313,90.39130435,38.26606876,21.29471891,19.25218775,39.26086957,464.1252975,93.42295095,84.68729507,536.3273381
B10,Fkbp1a.1,B10,Sample,10049,1477,927,1121,1773.191821,1212.436283,1121.477386,121.2978911,991.8521409,623.9935245,90.77848811,19.2281652,30.42071197,25.86975914,15.02025004,3870.382802,374.218735,301.9387525,4297.798994,90.85985105,40.34519957,35.9500446,91.67106885,30.12863913,17.90722762,20.24977698,39.93660856,382.1696508,83.88916695,79.9441899,466.4308213
