"Experiment: Panel 2 100U 3-24-15","Analysis: panel2","User: Admin","Plate: Plate 0005","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 6:31:09 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A - PD-1 of Amet+","GeoMean BV605-A - PD-1 of Amet+GFP+","GeoMean BV605-A - PD-1 of GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A - Tim3 of Amet+","GeoMean PE-A - Tim3 of Amet+GFP+","GeoMean PE-A - Tim3 of GFP+"
"B02","Sample",34963,1889,1756,6041,300.262498009631,959.601163377753,996.304185350649,2095.85172894495,3195.52244914065,3315.68274227214,64.0550555849656,89.9772209567198,113.981132075472,87.7338189041549,402.249732806521,1405.20701381434,1221.15402427334
"B03","Sample",33761,5524,3816,3412,312.10505576973,920.148841458936,998.460933121367,1655.47902537835,3187.83667953236,3591.43826618535,41.5097755249819,77.856394129979,116.929403701165,85.5216881594373,154.013404621391,815.469083216961,1098.59021004259
"B04","Sample",29463,4003,3452,3235,263.624077601993,990.678175361402,996.118825074859,2076.24441055815,3013.11068778586,3144.82588197553,55.4833874594054,86.2108922363847,117.337685890461,85.2241112828439,287.420294702059,1150.57734239943,1012.35801751871
"B05","Sample",22048,5535,2188,1478,332.543619781435,1557.15016122232,1032.37231011227,2143.61707229636,3660.53555242775,3803.86956672809,53.3514001806685,80.2102376599634,117.675159235669,84.9797023004059,286.523456601921,898.474437496082,1001.52679106474
"B06","Sample",30912,5019,4066,2749,329.779267404459,1215.66230969569,1181.78882261738,2515.59360852469,3620.14187533565,3536.23725281623,62.1239290695358,89.1785538612887,118.593615185505,84.3215714805384,380.703849511013,1344.40493478347,1012.18044521061
"B07","Sample",25658,2322,1954,3914,317.121919929179,1290.74872099537,1073.54518567471,2193.64042219348,2847.64027479687,3287.48290013081,51.8087855297158,83.9303991811668,114.37755698422,87.4297393970363,270.938819234615,1013.74566453505,1137.66407408341
"B08","Sample",32227,11,13,5451,508.626429868782,1577.46668743744,1155.90723379889,1535.50477962507,2023.34710054759,3220.51881232659,54.5454545454545,92.3076923076923,113.728353849364,87.9288203999266,363.408934583844,1391.66905675648,1239.55643188603
"B09","Sample",28667,5890,3784,2040,322.732177299259,901.866521376047,1070.3465873189,2665.51427976155,3301.10066123851,3169.96474179663,69.9830220713073,91.5433403805497,113.58574610245,88.0392156862745,521.002443123684,1622.06120727905,1197.46968712615
"B10","Sample",20695,1153,886,3075,261.631694381372,864.784646730868,1042.73856105681,2054.85886855362,2549.94560171509,3226.51654291875,62.7927146574154,87.8103837471783,112.021857923497,89.2682926829268,403.786395168939,1265.46831917937,1307.24216377583
"B11","Sample",30439,309,228,5341,448.563753193271,1212.93827754436,999.336140904721,1916.4599388138,2778.86954938071,2667.00436461712,70.873786407767,89.9122807017544,112.703101920236,88.7287024901704,615.742878605113,1554.95230519555,1251.87049252169
"C02","Sample",30427,7423,3893,1624,343.680681508754,1616.11151470305,811.936659104845,2081.77700493151,4054.5946876027,3835.23510549741,51.9870672234945,83.1235550988955,122.473604826546,81.6502463054187,247.185362640895,976.080301150952,947.09557403372
