Well,GeoMean BV605-A - PD-1 of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A - Tim3 of Amet+GFP+
B02,1976.78138335922,1415.29898569622,38.0240963855422,112.679715894153
B03,4086.19898443753,1918.73781027079,39.5490554539915,124.760843018319
B04,2339.81323209634,1159.47510973284,42.589928057554,133.208446821794
B05,3753.00374455019,1936.43504449593,52.5222551928783,237.549791426944
B06,2997.31891122857,1404.6014084718,37.0411568409344,102.526740229641
B07,2372.02793356995,1472.90813305071,42.8113308391235,145.46093523366
B08,2682.50434974152,1416.28790341008,39.0139987827145,119.766587586567
B09,2776.61673544893,1749.19722217799,42.952739439565,128.829950737601
B10,1659.89832652758,1014.14216597634,32.4657534246575,80.713118501688
B11,2678.89308940827,1306.52557642165,42.6658905704307,138.879699282685
C02,3962.12322484702,2472.69462251944,47.2373540856031,160.255390865113
C03,2399.0444089124,1162.3370250866,40.1906274821287,112.102298082768
C04,2753.6596116861,1483.93192612226,46.1625282167043,138.5648783707
C05,3615.60524840106,2308.82825615532,31.6872427983539,74.9318585096413
C06,3142.0517437126,1722.61566829046,42.5795053003534,123.302323774353
C07,3431.6050415203,1763.22350571654,49.3269992082344,213.390642072821
C08,2938.57710333923,1756.07665506517,51.1926605504587,199.757998226706
C09,2570.85648067712,1349.52089255373,40.1510749564207,124.061104469803
C10,2037.07983510128,643.418391087356,29.6296296296296,84.5037765752941
C11,2269.06779734001,1309.6601058246,46.8493150684931,163.97402075046
D02,2708.09283346122,1260.61595897973,35.0906095551895,87.5714776258567
D03,3912.66581856138,1571.50578435208,37.9024390243902,110.261180254488
D04,2928.04369076069,1263.49164932603,34.9308755760369,90.9101125720447
D05,3497.05085694727,1741.23363568696,45.5917020273456,154.000403342445
D06,2849.17225191075,1311.3553293485,37.094395280236,103.902565788846
D07,2797.347579801,1331.19016618901,35.4855371900826,98.6204006939999
D08,3400.76830926604,1713.18452637571,44.4023796646836,143.480140163129
D09,3065.70891094453,1937.13217047657,48.7525987525988,167.220233429702
D10,2440.534922559,1148.90951148371,37.1262458471761,103.991821402945
D11,3055.9744919665,1789.93745647259,50.2851711026616,172.933819591713
E02,2082.50729670747,1083.2004101654,41.506646971935,123.413494013159
E03,3445.95898607436,1027.66553172898,28.0155642023346,66.2257117839984
E04,3291.71978085173,1533.92432019475,41.9042189281642,135.884142435409
E05,2477.12591421824,1222.15711470865,39.3709327548807,110.087782102731
E06,2948.58646001292,1192.74521231237,36.9519832985386,103.611249535862
E07,2766.32387622994,1372.90441120219,39.0019697964544,115.516428436745
E08,3242.45052569875,1355.02097561837,36.2249761677788,96.7458560269773
E09,3552.55227574998,1699.310075879,40.8665681930084,125.616287904223
E10,2905.16456845994,1573.93739706459,46.7099165894347,167.227103141127
E11,3051.84196417228,1726.34590726298,49.0749306197965,174.75579100889
F02,2674.30386460252,800.611784747936,34.593023255814,85.800695568629
F03,4221.21397011258,1689.2216820577,44.0257352941176,154.942697298606
F04,2630.40871384684,1156.96043612467,39.5790554414784,111.716485730445
F05,3488.35760935443,1497.01858482269,44.8888888888889,140.271973654693
F06,4523.4209328192,1886.69786681112,31.1827956989247,74.819932899089
F07,3477.74698005625,1746.88523855232,42.5045153521975,141.144596242055
F08,1995.78000472793,1223.26576170708,42.6056338028169,144.083673550127
F09,3363.89650625305,1395.96067576869,36.5415986949429,91.9900444701329
F10,2895.17047946033,1819.69078329788,42.1581476627348,126.766899492004
F11,3524.9219953218,1875.76820468571,43.4090909090909,131.080568303159
G02,2034.70140606002,1318.61707579564,47.1813725490196,176.259217158171
G03,2418.28660555115,821.677721195946,33.2195676905575,81.6262603455103
G04,3421.93152695898,1058.40146583907,38.2642998027613,106.601373159562
G05,2646.05951651468,986.96877860878,40.5498281786942,119.028137154302
G06,4257.77423872846,1836.89319623181,50.0578034682081,184.634501161047
G07,2937.24605768036,1599.28745592318,46.4611872146119,161.256139230985
G08,3228.6881989541,1185.50222751616,43.711467324291,125.900279037618
G09,2715.72569248069,845.602685200858,33.1745086360929,93.3088635431697
G10,4466.18260055733,1714.80564884818,42.1013960323292,123.735651384319
G11,3661.7834751886,1241.29126513951,54.539762053851,223.098066822311
