Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,GeoMean APC-A of Amet+GFP+_CD103,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PE-A of Amet+GFP+_CD127
B02,Mll1.1,4.64778504,0.653594771,4.647313942,20.44073084,12399.41224,26.54320988,3943.315367,159.9232813
B03,Mta3.1,5.741324921,0.914826498,5.608437521,20.93545887,10917.42401,39.05362776,4262.991429,152.513656
B04,Mtf2.1,5.218030377,0.367466928,4.914743698,25.18167013,11684.43453,24.4732974,4914.026986,132.0027779
B05,Mta2.1,5.530973451,0.973451327,5.056264118,16.23533957,10171.90969,28.80530973,4758.948869,156.4152375
B06,Mll3.1,0,0,1.68216912,19.17178851,10854.03486,38.0952381,4414.24166,170.5632829
B07,Nap1l1.1,4.842931937,0.706806283,6.903380865,23.52351979,7607.946081,28.63874346,3054.502453,122.8374357
B08,Myst2.1,9.662921348,1.348314607,8.948248605,25.86876611,12064.24896,30.2247191,5637.605169,141.982079
B09,Msl3.1,7.172557173,1.403326403,6.235858329,22.48062754,13047.41782,39.96881497,3539.330778,138.0384664
B10,Mll2.1,3.231235274,1.581958936,3.31496556,23.75529495,14878.39484,36.04846853,6639.990261,160.8314885
B11,Myst3.1,4.450072359,1.410998553,8.494122314,27.98721627,4426.360213,32.23589001,4473.066886,132.9237831
C02,Myst2.2,6.161806209,1.317027281,6.531675178,27.19954581,9009.87318,47.13076199,4664.709687,129.6270463
C03,Mll5.1,6.914893617,0.465425532,7.502657511,20.52137948,5949.948323,37.5,4215.392633,143.3813238
C04,Mll1.2,8.827319588,0.708762887,6.43526092,21.44014557,9405.008035,34.27835052,4878.394696,139.8699433
C05,Myst3.2,5.108654213,0.609988563,5.573835127,22.16707473,9050.261988,38.16240945,4554.550471,130.6889816
C06,Myst1.1,4.355179704,0.803382664,5.032031229,22.15590027,11653.454,37.46300211,4810.566452,133.8322549
C07,Mtf2.2,6.077502091,0.390298299,6.83420126,24.04723684,6603.54153,36.85531084,4304.964466,118.2987022
C08,Mll3.2,3.955733459,0.164822227,5.658408506,36.11387799,9044.949466,18.88391806,5654.733435,102.132357
C09,Myst4.1,9.305932532,0.271423032,11.13399167,19.46196089,6509.615308,34.39317565,3225.41337,119.0889436
C10,Mta3.2,5.585683297,0.488069414,8.720575847,25.65071266,5873.092363,46.14967462,4810.51734,130.8087222
C11,Mta1.1,6.299580028,0.606626225,5.711893676,20.1812287,11377.63714,36.16425572,4473.809177,197.4941119
D02,Mll2.2,2.354145343,1.81678608,2.585073437,22.90245409,12508.15017,37.2569089,6284.356217,177.7806347
D03,Myst4.2,12.5,0,6.007480581,65.3211517,11916.93763,41.66666667,6628.705859,215.4428692
D04,Mta3.3,7.039934129,0.699876492,6.432362599,24.65576174,9499.819168,41.33388226,4766.454523,155.8538469
D05,Morf4l1.1,0,0,2.364486818,34.14910647,5056.710105,45.45454545,5510.557313,77.27335414
D06,Mll5.2,6.947524021,0.2463661,7.514135206,16.67394091,5875.342364,36.38827297,3846.034703,163.3598641
D07,Myst4.3,6.305770375,0.624628198,5.736351109,20.99481972,9344.262458,38.78643664,4497.453138,148.5719114
D08,Myst1.2,5.622042861,0.640133593,5.814704066,22.10868107,8468.180999,34.7342054,4422.21614,139.8041543
D09,Msl3.2,7.820250948,0.758681062,7.040621979,25.23366837,9380.260902,36.65013131,4001.938713,138.4620653
D10,Mll1.3,5.207064555,0.791717418,5.093485083,28.01194711,10781.54815,33.06942753,5002.580511,133.6624707
D11,Nap1l1.2,6.740649404,2.219482121,5.708888644,25.82811951,11051.11868,25.68845047,5102.418396,152.3257764
E02,Mta1.2,6.331309627,1.300954033,5.874312161,20.57105469,10138.52225,33.21769297,4522.030213,214.8414908
E03,Mta2.2,5.488194001,1.052967454,5.09987336,21.27884603,9195.504551,31.81238034,2914.968505,149.7437782
E04,Mll1.4,4.031209363,0.563502384,4.588761941,22.29404126,12363.75156,38.79497182,5543.843798,184.4111572
E05,Myst2.3,4.674922601,0.681114551,5.378146936,19.51653995,8494.637206,37.55417957,4653.988846,169.4896166
E06,Mtf2.3,8.688456765,0.744724866,9.326192288,24.98887454,6118.217299,40.8771204,3967.573067,129.8754629
E07,Morf4l1.2,7.500566508,0.543847723,11.35137353,31.69664366,5239.028621,39.29299796,4066.746819,97.45489873
E08,Mll2.3,6.041881222,0.858221765,6.32362882,18.00199445,8209.493516,41.16031583,4704.157825,171.8320901
E09,Myst3.3,5.585012372,0.883704489,5.101104007,24.60931975,10817.62581,35.66631318,5387.942226,143.0740358
E10,Myst1.3,5.196581197,0.615384615,5.863290286,23.6308269,9426.87642,33.23076923,5128.46006,151.1304045
E11,Msl3.3,5.958923922,0.83887764,7.246543146,27.65495628,8529.895284,34.97251953,3961.099185,132.3883103
F02,Mll3.3,5.660377358,0.421517463,6.607298128,31.67235105,7821.474414,24.36772381,4860.242499,112.6225388
F03,Nap1l1.3,4.054691183,0.282885431,5.011090674,23.00034502,8749.969775,32.76756247,4838.201044,157.615265
F04,Mtf2.4,7.590132827,0.542152345,8.298427562,29.30519211,9401.291093,38.46570886,3773.693449,112.3089303
F05,Morf4l1.3,6.34746922,0.300957592,8.227049043,28.73166847,7021.476272,32.33926129,3787.427109,108.7626861
F06,Mll5.3,5.555555556,0,5.688346224,35.48872617,5684.967071,38.88888889,4940.809334,100.1055221
F07,Myst2.4,6.200787402,0.984251969,6.365439847,29.88150196,7082.460928,52.03412073,4813.870538,106.1180754
F08,Mta2.3,4.835820896,0.656716418,4.822679038,26.14885125,10268.75455,41.79104478,4896.37715,140.2679033
F09,Mta1.3,3.527040645,0.335908633,4.633118762,31.17569705,10148.17546,42.3580786,4868.124141,126.2735443
F10,Mll5.4,5.014084507,0.394366197,5.22575375,27.36193049,10144.3996,37.4084507,4265.659407,132.2846099
F11,Myst3.4,5.117859418,0.382246762,6.618630445,36.8000647,9068.611973,35.0605224,4933.875699,129.5248792
G02,Myst1.4,5.94488189,0.905511811,5.737133478,20.43443156,8547.236568,42.87401575,4127.491778,188.145768
G03,Mta1.4,6.257521059,0.962695548,6.833932425,27.3039125,6541.351277,40.67388688,3990.669353,128.0492227
G04,Mll2.4,2.548186867,0.522704998,3.039307642,22.69541518,13123.80003,43.71120549,5902.072302,168.9333402
G05,Nap1l1.4,5.514316013,0.583244963,6.508409569,20.64117935,7601.388423,43.76988335,4194.586027,164.3276861
G06,Myst4.4,4.048086359,0.417075564,4.787616101,25.71965188,10058.37912,42.93424926,4208.681573,139.1205446
G07,Morf4l1.4,6.720827179,0.369276219,8.097878706,32.00139032,9449.041936,39.54948301,4588.071043,121.1762064
G08,Mll3.4,4.569383028,0.400084228,6.49642456,29.75996945,6204.514712,37.56580333,4903.096245,107.758829
G09,Mta3.4,5.91775326,0.651955868,8.191849346,24.34982146,6537.662017,45.03510532,3915.054549,146.2897946
G10,Msl3.4,4.662298387,0.453629032,4.69585749,32.6354601,10333.04434,41.38104839,4341.395133,122.8611278
G11,Mta2.4,5.941520468,1.567251462,5.854964508,36.24105072,9559.891257,35.62573099,4090.889118,124.2101686
