Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Kdm5b.1,43.17521781,3.727008712,264.610714,44.75443172,4296.138485,24.15295257,5535.903541,71.10488692
B03,L3mbtl4.1,47.40246614,1.475641803,389.4387475,37.403213,3244.538122,20.13341419,5112.277198,69.26367584
B04,Mbd1.1,38.61952862,1.851851852,179.6587425,36.1718518,5223.018567,22.8956229,5639.696923,84.52395321
B05,L3mbtl3.1,40.71933205,2.312138728,227.5141636,43.680035,4510.430973,21.06615286,6343.044614,79.77654298
B06,Kdm5d.1,45.11183715,1.683840161,317.6476726,34.38555763,4068.296801,16.41115858,5550.365825,87.7344717
B07,Men1.1,30.63418916,1.623875357,118.4719653,48.23817592,4817.369006,17.40179943,6678.745494,68.27468207
B08,Mbd3.1,38.10166442,3.058929375,168.6225053,45.07930671,5829.083627,20.33288349,5833.107723,86.59127008
B09,L3mbtl1.1,41.62679426,2.024291498,240.5603415,43.52373062,4929.55577,15.34781008,5756.68818,72.52347762
B10,Kdm5c.1,53.67428004,2.706057597,524.6225701,46.62481558,5130.311595,18.99205561,6780.058587,101.007278
B11,Mbd4.1,42.66598044,2.316006176,312.1386856,40.60705602,4040.461753,14.97683994,5436.013411,97.59681841
C02,Mbd3.2,35.7550699,1.437290805,194.7458622,46.23143554,4075.35091,20.29927151,5517.501942,72.59160559
C03,Kdm6a.1,34.98212157,0.576082638,182.3718436,46.53201322,3312.795826,19.12991657,6525.969406,55.32048162
C04,Kdm5b.2,38.94912427,2.279677509,215.461634,43.01027402,4807.221997,15.4295246,5879.668802,74.61392318
C05,Mbd4.2,48.666862,2.783474949,432.9692279,49.14655268,3941.356668,21.50600645,5301.399731,65.13637325
C06,Mbd2.1,69.23076923,0,750.8810033,32.90885271,1547.258303,30.76923077,5376.569487,50.1161119
C07,Mbd1.2,41.57439098,1.932756191,275.0318414,47.77648084,4866.962252,17.2337427,5547.148068,64.09081658
