Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Bptf.1,30.9566787,0.87244284,124.0024389,27.57560204,5219.404928,24.69915764,6058.885228,73.14574754
B03,Bptf.2,39.93055556,2.864583333,216.2863748,30.41218922,5026.684978,21.09375,5158.512229,84.89354942
B04,Bptf.3,39.08503232,2.11337643,208.0538232,32.15054747,5216.266727,18.10044754,5525.333973,72.05762523
B05,Bptf.4,39.30260047,1.674546887,251.9113129,33.02604963,3432.916396,19.5429472,5095.166824,70.38680901
B06,Whsc1.1,36.87913025,2.32359838,183.8436732,33.83721623,4820.236339,17.45896397,4337.123256,79.19355965
B07,Whsc1.2,36.2243423,1.50332466,186.1316967,32.68383549,3992.70528,19.34084996,3985.76019,54.55326526
B08,Whsc1.3,32.52134606,1.88347564,154.2439883,39.20580359,4533.195654,14.9924661,3275.799556,64.87368465
B09,Whsc1.4,34.21104732,1.425460305,165.6823911,30.98908845,3767.515372,18.76856068,3056.21194,65.04585032
B10,shCd4.1,28.53414528,1.696389735,113.7483448,37.41506929,3858.270063,19.7477164,4914.963537,62.32975402
B11,shCd4.1,33.33333333,1.617440225,165.1310941,37.60384639,4045.232477,24.05063291,4576.678049,68.69793296
C02,mll2.1,19.30379747,4.259980526,26.22395152,32.65886674,7451.043004,27.87244401,7415.501991,113.0277533
C03,mll2.2,16.18510688,4.580690627,14.4795842,28.61523626,9558.31635,28.54122622,7103.968559,137.6384995
C04,mll2.3,52.59661836,9.661835749,423.6637412,62.07946004,5247.602387,10.74879227,5010.872686,98.94869562
C05,mll2.4,17.69622093,1.235465116,31.12439487,28.91089261,5922.199957,24.96366279,6965.972432,93.59100392
C06,Brd8.1,59.51979781,11.12047178,769.1118466,65.4430063,3046.599991,18.87110362,5331.616629,81.7324476
C07,Brd8.2,25.67069963,1.788532351,82.41385451,33.91465714,4704.61498,22.27774855,5303.75988,70.56739054
C08,Brd8.3,43.54501047,2.442428472,334.2824461,45.03688097,1914.147619,19.71388695,4768.31259,57.52709861
C09,Brd8.4,29.8394712,1.534466478,142.5220639,37.64226681,2736.036046,17.04438149,4248.532271,57.18892485
C10,shCd4.2,44.86360998,3.07603018,339.7886886,41.43632566,4050.456149,23.73766686,4081.08207,66.26933045
C11,shCd4.2,46.21149042,2.414654455,396.4453725,41.20359131,3902.165962,27.39383847,4081.230649,62.84788169
D02,Ncor1.1,30.24270521,1.308971912,94.10621821,29.98568403,6771.476833,39.05099536,5922.585183,80.05972715
D03,Ncor1.2,30,0,179.906128,58.78098386,2217.940292,10,4439.41649,90.05268551
D04,Ncor1.3,32.22942165,1.319894408,145.5305231,37.33724619,6694.089599,33.88528918,5863.024167,74.7585435
D05,Ncor1.4,53.61139369,1.424211597,552.3685648,33.74079336,3784.081531,25.02543235,4248.352286,58.91586969
D06,Cxxcl.1,39.62848297,2.992776058,316.873952,46.45667524,2684.897742,16.61506708,3114.506528,68.50379022
D07,Cxxcl.2,56.36986301,10.93607306,663.6056048,72.19156082,1519.00487,20.1369863,3749.187294,76.52234184
D08,Cxxcl.3,34.2043376,2.377841651,230.2286995,48.93350607,2785.081893,20.51215051,3177.691073,59.92780834
D09,Cxxcl.4,52.2125642,4.780719083,661.5622178,67.78099037,3207.046841,15.78427499,2338.580868,52.48395334
D10,shCd4.3,33.00364394,1.093180635,154.6737559,37.8305535,3981.439336,18.93111227,5439.566114,58.06904045
