"Experiment: 100U panel2","Analysis: Analysis 1","User: Admin","Plate: 14","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 7:19:27 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A of Amet+","GeoMean BV605-A of Amet+GFP+","GeoMean BV605-A of GFP+","GeoMean PerCP-Cy5-5-A of Amet+","GeoMean PerCP-Cy5-5-A of Amet+GFP+","GeoMean PerCP-Cy5-5-A of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A of Amet+","GeoMean PE-A of Amet+GFP+","GeoMean PE-A of GFP+"
"B02","Sample",29670,4178,2407,2278,1588.22456508442,3961.25185653356,2484.7724779049,2455.21111959208,3309.17169566239,4633.35199260813,57.898516036381,82.7170751973411,109.519230769231,91.3081650570676,310.932433668879,1019.02119706585,1765.13551062924
"B03","Sample",27041,3460,2658,2442,949.571209779729,1771.28229553992,2554.18483659111,4244.3783535422,4741.57375698021,5371.76488388417,71.5317919075144,92.7389014296463,110.29810298103,90.6633906633907,629.537751014629,2366.51804180561,1890.92063202034
"B04","Sample",21423,3989,2756,994,1145.39694673845,2748.37542285911,2603.04231636247,4336.20323866494,4727.99415674798,5337.83615683208,52.9706693406869,89.1146589259797,115.447154471545,86.6197183098592,260.944415595321,1906.84824993114,1586.61630308325
"B05","Sample",25716,5684,2263,1333,1519.53144150628,3413.48434337365,2588.65232475071,4314.53746462289,5109.25053676373,5812.02747376298,71.393384940183,93.2390631904551,109.892827699918,90.9977494373593,613.47977223821,2318.76982907313,1879.3851638551
"B06","Sample",23787,5738,2725,1026,488.757524340206,1185.69843794339,2127.3609152638,2720.23757652254,4012.91664884544,4910.03355706534,69.8152666434298,90.7889908256881,109.498399146211,91.3255360623782,526.491789554613,1750.32351389883,1907.9096369667
"B07","Sample",26138,3804,2342,1996,844.77615104097,1965.08382067873,2400.19502213117,4427.86454120134,5122.91748390945,5729.72534765452,73.9747634069401,92.1861656703672,108.301682040152,92.3346693386773,676.539097305364,2217.62724403658,2004.12042285841
"B08","Sample",26906,2338,1379,2639,936.231711998301,1896.71116393522,2319.8761443728,3933.46373876599,4626.70126188111,5469.28622046433,70.3592814371257,92.3857868020305,107.102272727273,93.368700265252,566.641465615188,2002.65489082103,2141.76097697522
"B09","Sample",28477,5164,3153,1839,1268.16097907388,2337.06681355279,2112.29625090039,3190.34427308743,4341.60458727235,4998.93346245062,58.3849728892332,90.1680938788455,110.119760479042,90.8102229472539,340.16360902589,1713.99502743126,1700.20480537772
"B10","Sample",30180,4636,3160,2290,862.904718178846,1951.75899126321,2289.88684615533,3984.45382706076,4859.3795609485,5075.97309184684,66.3287316652286,91.4240506329114,108.069844266163,92.532751091703,466.414696898616,1810.24240686339,2031.39342218241
"B11","Sample",27689,3143,1778,2928,910.755173564152,1903.95906070787,2178.40691176293,3290.93318249633,3996.590417279,4342.90815710644,75.1511294941139,94.0944881889764,107.924806487283,92.6571038251366,780.423257489034,2498.34507334832,2070.6428893964
"C02","Sample",26980,27,32,3677,794.181503403595,1380.44714670157,2172.4271550154,731.641177290071,777.22458912568,4970.73874068421,14.8148148148148,40.625,108.274440518257,92.3579004623334,91.7142971371459,153.459615365538,2013.13973294354
"C03","Sample",22561,4647,1754,1542,1250.78906872402,3020.87913086318,2385.97706107166,2802.53328102289,4151.65184734672,5835.33847783082,63.4387777060469,89.5667046750285,108.821453775582,91.89364461738,441.040000706132,1919.57407734712,2044.88201630303
"C04","Sample",25564,3983,2872,1850,1149.49988829286,2506.33653264696,2187.60193970597,4148.43783505008,5487.19384843393,5316.59572930954,59.6786341953301,87.6044568245125,110.911270983213,90.1621621621622,367.385116853342,1429.52235865415,1844.17494119194
"C05","Sample",23753,4910,2250,1669,1194.60509209028,2143.35844151719,2288.04622324203,6128.92082668743,6850.57348022246,5773.14886704618,66.4969450101833,90.4888888888889,109.586342744583,91.2522468544038,508.802522442785,2032.80510258373,1897.63597276573
"C06","Sample",22900,4862,2981,1387,731.415819802262,2192.86092930489,2164.75587607244,4013.87417530082,5669.39959527125,5714.57288683441,64.9115590292061,91.6806440791681,110.166799046863,90.7714491708724,443.555098949757,1922.00999407031,1878.61394883264
"C07","Sample",20593,4328,3649,876,599.545939255062,1094.13323665734,2272.33557865747,1620.7099898176,2560.01836757432,5820.85966773496,71.3955637707948,90.189092902165,113.766233766234,87.8995433789954,683.026640244958,2162.89897351347,1599.80622278423
"C08","Sample",22102,6328,3224,805,640.022110912013,1523.33596328863,2177.89872318943,3274.45797651801,4380.71816179148,5456.31015331637,67.6833122629583,91.9975186104218,107.908847184987,92.6708074534161,489.238319394967,1865.63620646112,2015.55213369163
"C09","Sample",23244,3024,2401,2258,959.10769824957,2806.66856441405,2295.39075421563,3893.66560515891,4703.60063343313,5748.84826862719,68.4854497354497,93.3777592669721,108.297362110312,92.3383525243578,538.440266343883,2287.81310411719,2049.28231743842
"C10","Sample",25543,2852,2168,2709,680.533167395575,1327.77426859517,2330.15904978379,4161.15004123303,4977.32503553742,5500.67626324091,75.4908835904628,94.6494464944649,106.948282668772,93.5031376891842,729.890477053476,2493.12003227766,2360.63866892813
"C11","Sample",28944,2059,1492,3669,983.225433183569,2081.42955102429,2261.14860926518,4054.30893541835,5096.7220700264,5145.54610125207,72.4137931034483,94.2359249329759,105.491661874641,94.7942218588171,627.540589802449,2127.23908035189,2371.14530286337
"D02","Sample",24807,4981,2900,1254,1059.79154186388,2324.59092606554,2133.16133444914,4455.90512609742,5061.72070876299,4683.04264317934,65.1877133105802,91.0344827586207,113.381555153707,88.1977671451356,472.18154550488,2083.90673836081,1563.30075487195
"D03","Sample",25621,5127,3854,1468,1140.85261268261,2185.37890016426,2132.64722776154,4534.79467953307,5207.72025762005,5279.96263309669,59.7035303296275,88.2200311364816,112.576687116564,88.8283378746594,361.318084881301,1585.55454499888,1684.53572240998
"D04","Sample",20744,4667,3048,1077,1233.49200971177,2445.89918384076,2251.036060439,6057.77314877693,6542.12847984778,4877.20636286328,72.6590957788729,90.8464566929134,112.1875,89.1364902506964,701.611526332238,2210.8957550888,1657.27217212332
"D05","Sample",23180,3824,2814,1792,976.213017390389,1993.0158640979,2458.0182168646,4732.31071763602,5632.39416854496,5780.90330491334,67.2332635983264,88.5216773276475,108.343409915357,92.2991071428571,472.441402651315,1594.04198938194,2077.96741334295
"D06","Sample",21639,5986,3241,612,1118.51394732578,2131.90572122895,2569.23215212326,5542.56505582392,5778.50112361261,6157.47396499139,69.4453725359171,89.9105214439988,110.071942446043,90.8496732026144,536.233707267661,1736.8460234874,1815.54123637099
"D07","Sample",23490,1118,1183,3641,718.701416560737,1655.83879959314,2304.1020615258,4581.97947028652,5855.66277793705,5896.00018543245,52.5939177101968,84.2772612003381,110,90.9090909090909,244.592175942031,1201.04295208143,1914.49347035239
"D08","Sample",19911,2037,1260,1659,768.052689789155,1650.5706046192,2152.47596233994,3514.08588912751,4400.3060297998,5260.13966498828,67.1575846833579,87.8571428571429,109.001314060447,91.7420132610006,491.558948809987,1390.16210478467,1664.59582082854
"D09","Sample",22489,2014,1527,2647,864.238099352195,2172.81365090934,2317.08121445107,4564.35620377603,5391.1053181989,5387.21244638381,65.7398212512413,90.1113294040603,109.742951907131,91.1220249338874,473.480578518471,1806.41790548043,1909.55144885069
"D10","Sample",23151,2844,1503,2335,1344.74327668576,2765.93238955452,2085.74298525722,2784.55318212127,4163.42178877597,5054.70675788394,52.4613220815752,82.9673985362608,110.873694207028,90.1927194860814,268.176918948555,1146.29365239167,1780.43746414123
"D11","Sample",24859,3826,993,1983,1430.48919733672,1912.58757159846,2322.4648015623,3699.76599048731,2423.02166202233,4977.7402798153,77.6790381599582,91.5407854984894,106.099518459069,94.2511346444781,926.033697745941,2776.34978821579,2308.45202107246
"E02","Sample",26688,5687,3220,1110,872.948595289575,2493.55596096625,2488.65491264544,3812.08902892432,4257.69878782671,5073.52820973755,64.4979778442061,90.9316770186335,110.228401191658,90.7207207207207,456.474186961445,2097.51121240199,1758.93923153792
"E03","Sample",25590,7631,4200,740,1171.17561271337,2961.61602641828,2262.52827603573,4360.52323596967,5152.28240557334,5086.52030278199,66.7540296160398,93,111.44578313253,89.7297297297297,463.560959123611,2105.6760435927,1716.06876194232
"E04","Sample",24505,4099,3973,1774,1328.35282578914,2710.67808618914,2325.41237423546,4768.31960303479,5435.68993360876,5339.53480595438,67.333495974628,88.2708280896048,112.278481012658,89.0642615558061,506.928991970478,1792.78015162354,1601.21664053287
"E05","Sample",24823,6839,4543,856,1102.50820811594,2505.00996965486,2291.86368783562,5075.51135730022,6696.22658583015,5306.78765541767,58.4880830530779,85.2520360994937,111.749347258486,89.4859813084112,340.542856614165,1330.39524603405,1698.21541889209
"E06","Sample",20329,5107,3423,623,1054.76582828062,3074.92924413826,2449.77016207116,4096.90493245603,4953.16366202887,5471.61004743891,64.1080869394948,89.7166228454572,115.799256505576,86.3563402889246,456.070115965435,1740.5545812853,1451.38623261636
"E07","Sample",24580,5789,4197,1175,982.929963859733,2988.29663192757,2242.50026514519,3361.88437839546,4831.94499684024,5787.55969481455,59.7685265158058,88.682392184894,110.9537299339,90.1276595744681,347.985279021296,1612.91833927323,1650.44067226958
"E08","Sample",24922,4234,3240,1856,869.476998322699,2024.72639762984,2383.99272137505,4440.53330121636,5189.32232180196,5591.56487409488,66.6036844591403,90.2469135802469,108.856304985337,91.864224137931,458.542766510695,1819.64630469186,2017.44744081078
"E09","Sample",22905,4352,2653,1786,1330.55217238756,2729.77747334881,2374.66338336218,4933.81834187932,5101.57826646236,5433.92664302528,64.0395220588235,88.3528081417263,111.069651741294,90.03359462486,466.296885207811,1740.92756469102,1974.05369312123
"E10","Sample",22264,4063,2884,1570,993.867405817122,1856.49259504375,2407.59931862703,5014.96289374471,5450.11775760913,5154.91524126333,76.3475264582821,93.377253814147,109.560362875087,91.2738853503185,740.536850784796,2252.62456329295,1958.35974623289
"E11","Sample",26329,3969,3412,1590,1032.79551359363,1798.52279185038,2148.48989354335,3786.30252270623,4253.00070393333,4424.30358207882,68.8838498362308,92.7608440797186,109.806629834254,91.0691823899371,510.863235565728,2184.60389836959,1914.44817430584
"F02","Sample",27456,6279,2935,1259,946.177246409521,2555.98374035266,2128.49461850989,3488.90722479869,5505.66073850948,5241.62453718068,63.2107023411371,88.7223168654174,108.721934369603,91.977760127085,421.352734856368,1565.66307250859,1850.16563188569
"F03","Sample",21963,3606,1838,1698,1207.36993313992,2021.86665051058,2211.87046308878,5076.93742676466,4551.14516771832,5060.29833690071,78.6744315030505,94.341675734494,107.741116751269,92.8150765606596,1006.04554916067,3155.34248641298,2184.76927264794
"F04","Sample",26054,5375,2479,1237,1061.18103226192,2680.09281917081,2219.68748414529,3364.80526389172,3850.6466798104,4820.23927644455,70.4,89.5118999596612,110.151380231523,90.784155214228,570.010476675498,1793.13165925283,1905.8256753196
"F05","Sample",25179,3992,2450,1921,994.705952691179,2388.91762648285,2246.67914712732,4681.64389449717,5836.71415093049,5394.92693403304,68.4118236472946,92.3265306122449,108.838526912181,91.8792295679334,562.796866368395,2125.88321660749,2001.06476139983
"F06","Sample",24409,5845,3242,1371,1286.85520814979,2676.13210884618,2393.16590628019,6079.62254117439,7857.03177287312,5509.24330710793,72.027373823781,90.6847624922887,108.809523809524,91.9037199124727,642.491517543892,2027.68982359279,1937.25502929221
"F07","Sample",25489,2077,1323,3154,1195.10813915552,2495.69605752868,2458.49932771844,4953.28889626873,5666.22809863338,5681.43476759395,73.2306210881079,93.2728647014361,106.446169422882,93.9441978440076,682.143166320854,2484.63586050976,2451.44086366531
"F08","Sample",24582,4999,3467,1136,1115.82290905033,3809.24707635267,2026.6358573102,3696.60710162054,5419.73228778954,5083.24943975456,71.3342668533707,93.5679261609461,109.546769527483,91.2852112676056,589.090944769421,2098.62351469234,1946.52642495845
"F09","Sample",28380,2143,1665,3523,678.056154084049,1779.82059580039,2339.171365041,3155.81998455931,4131.07617909503,5207.49269684236,67.3821745216986,92.3123123123123,107.277710109622,93.2160090831677,492.642021100839,2188.92207741226,2140.29563920682
"F10","Sample",26044,3638,2183,2562,739.310156948069,1788.75504267107,2544.03505914099,3436.41132296295,4600.75557169597,5509.15717792782,73.2270478284772,94.6862116353642,109.067688378033,91.6861826697892,644.246507830545,2446.01433925281,2022.44376406969
"F11","Sample",26406,3906,2719,2207,1077.51686032618,1897.68868326148,2331.14258868898,4704.29040813797,5059.68297850733,4833.64470149656,71.4029697900666,91.9087899963222,107.083939835032,93.3846850928863,667.268365951588,2318.69563785335,2062.05799625038
"G02","Sample",24897,2716,2260,2003,902.579723051454,1052.34785793475,2323.46740458676,3819.3581763544,4128.5099036736,4527.05055308335,71.7967599410898,88.4513274336283,108.211777417612,92.4113829256116,680.132856892802,1766.72794045638,1934.51658878553
"G03","Sample",27902,6150,3278,1008,759.875303559213,1691.38827125171,2061.13613442078,3597.10718681189,5165.86527899899,4404.84036455969,71.7560975609756,94.3258084197682,107.692307692308,92.8571428571429,590.793802396565,2257.40418231144,1974.69824950166
"G04","Sample",26703,7526,4211,676,1116.77032254673,1971.46348620619,1961.26854873368,4732.25443887385,4935.46079591273,4853.30823835064,58.6367260164762,80.3847067204939,112.666666666667,88.7573964497041,355.804395090883,973.118963526439,1718.56188244492
"G05","Sample",23720,4300,1638,1633,986.022175463749,1780.16006303971,2468.52710611237,6118.33450025717,5958.54146466427,5434.33688175809,74.2558139534884,89.8656898656899,108.504983388704,92.1616656460502,789.037199790175,2329.73507773064,2081.63790197985
"G06","Sample",30459,4466,2851,2083,966.452055723927,2386.68863696517,2349.89003311432,3601.3044243487,4428.6080006877,5052.01514025597,71.7644424540976,92.1431076815152,106.765761148129,93.6629860777724,605.170237737473,2212.89837999338,2123.39005709951
"G07","Sample",27404,3881,2168,2160,1023.93756361005,2127.77194183842,2141.97791944001,3930.49419559389,4496.52537319703,4791.6627259001,73.2543158979644,91.0977859778598,107.142857142857,93.3333333333333,681.745079196281,1861.9536642743,1963.85674674897
"G08","Sample",24885,3553,2539,1474,1112.31570143589,2028.91241342362,2177.71602808491,3611.75656263757,4146.0545873074,4666.79759866381,70.4756543765832,91.2957857424183,109.023668639053,91.7232021709634,601.881664610195,2054.71459453799,1909.36933966175
"G09","Sample",26406,25,20,3613,674.252233409197,3910.92528617023,1974.61484331586,2147.23076059343,1458.2273648113,4272.68122932651,60,90,108.108916816278,92.4993080542485,388.812077093957,2187.25063985951,2128.86898667105
"G10","Sample",25406,2786,2137,2266,1002.92853506365,2102.76639600548,2227.34770091054,3826.30427125963,4917.03051840829,4322.59587644211,72.2900215362527,91.3430042115115,107.088846880907,93.3804060017652,627.169324801101,2014.14847579358,2185.05858476217
"G11","Sample",27622,5423,3489,2233,1336.90552711983,2626.97152076414,2070.18131726216,2871.58252773081,4172.69372168339,4101.91220935087,71.3442743868707,92.1467469188879,108.926829268293,91.8047469771608,623.704981195807,2038.12042445761,1887.81655217012
