"Experiment: panel 2 10U","Analysis: Analysis 2","User: Admin","Plate: 11","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 6:48:40 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A of Amet+","GeoMean BV605-A of Amet+GFP+","GeoMean BV605-A of GFP+","GeoMean PerCP-Cy5-5-A of Amet+","GeoMean PerCP-Cy5-5-A of Amet+GFP+","GeoMean PerCP-Cy5-5-A of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A of Amet+","GeoMean PE-A of Amet+GFP+","GeoMean PE-A of GFP+"
"B02","Sample",13630,1835,961,562,613.286372760795,6460.05036018091,6668.6736439441,1332.93940100763,2991.49441562973,2863.38314588864,7.46594005449591,46.0978147762747,294.240837696335,33.9857651245552,26.1382117304088,213.18821566295,106.740095348842
"B03","Sample",15930,1862,1217,998,550.660926624643,5874.08904822177,5668.56213300359,949.557851744001,2196.02574936619,2447.2439354267,2.47046186895811,23.2539030402629,292.66862170088,34.1683366733467,15.8802500741094,62.0398944380313,99.6980831713879
"B04","Sample",17619,923,576,1414,604.195544521781,5869.52557724841,5768.42125935005,1358.75855030411,2406.16312655078,2495.77259177683,6.06717226435536,43.2291666666667,306.724511930586,32.6025459688826,27.6282452857374,195.598476175767,103.986031391415
"B05","Sample",16886,1530,761,1142,540.927508921574,6232.20663095503,5371.6900103016,1026.47940805377,2229.21922846176,2036.78350567736,4.70588235294118,41.6557161629435,334.897360703812,29.8598949211909,22.0840187098782,153.310379406241,77.1662690505841
"B06","Sample",20528,2409,1203,1157,583.409081153175,5934.27828718071,5587.68700755212,1157.51322473318,2922.6070209077,2142.99003837158,3.90203403902034,36.4921030756442,315.258855585831,31.7199654278306,21.8444666112827,125.186226157513,92.3401838454045
"B07","Sample",19273,2569,1357,1014,526.931241714963,5011.47937459169,5128.55226997287,1088.54921719582,2391.47287968027,2160.80370287157,3.38653172440638,30.8032424465733,335.761589403974,29.7830374753452,19.7012751649109,108.07904829337,90.7991950857189
"B08","Sample",19351,2343,1260,1242,424.43309758896,5229.61455235781,5472.26552428568,775.872766308435,2074.35788975278,2287.59117790132,2.51813913785745,29.1269841269841,358.959537572254,27.8582930756844,17.149271720539,90.3089047264133,82.4162412336106
"B09","Sample",16101,2294,1040,922,418.851058900995,4855.10296512386,5122.39928963677,959.094473232438,1638.72807000058,1813.156184649,6.75675675675676,38.0769230769231,367.330677290837,27.2234273318872,25.4976679548053,138.420839573359,79.0690335515596
"B10","Sample",18165,79,51,2318,632.648055551503,5524.74252876557,5706.94273700851,988.033341058179,1463.9173251843,2050.43641081538,6.32911392405063,31.3725490196078,361.059190031153,27.6962899050906,22.1099947510708,155.133843320015,78.9408726233289
"B11","Sample",16872,2516,1335,942,568.782276862792,5926.98130718171,4727.0340764185,1085.46707029578,2203.82457965514,1954.81140752874,2.3449920508744,24.4194756554307,395.798319327731,25.2653927813164,17.7968401698483,68.4328969656084,76.9094929285806
"C02","Sample",17061,632,342,1582,747.553789032511,6177.05811111655,5102.24206737157,1477.52907443156,2558.46014685089,2594.33875699916,3.79746835443038,41.812865497076,349.227373068433,28.6346396965866,25.9919600595594,146.72349035175,88.0956578978077
"C03","Sample",16216,1033,774,1415,639.942326685843,4743.01161686543,5975.8780819497,1152.2994663488,3093.62317119267,2604.01004346328,5.71151984511133,44.5736434108527,357.323232323232,27.9858657243816,23.973894838078,179.558238002552,76.7260937179735
"C04","Sample",19408,293,118,2365,999.702764851053,7045.40831844459,5383.59454591856,3341.36647258999,3364.84547954031,2354.1596654491,1.36518771331058,30.5084745762712,282.219570405728,35.4334038054968,22.2708392177148,89.8720339990021,111.701813184927
"C05","Sample",19904,2512,1416,1204,612.319049036641,6770.88670616568,5524.10372388042,1368.07339724594,2492.80668541311,2265.27828667738,2.62738853503185,28.1073446327684,388.387096774194,25.7475083056478,20.8487903834977,82.8757625111559,71.7631543098903
"C06","Sample",17979,1501,982,1546,486.400750868608,6403.61990222974,5705.11752220998,1069.29955047377,2374.71103519017,1979.92169195398,3.3311125916056,30.2443991853361,376.155717761557,26.5847347994825,19.1526538108417,88.8310432455758,72.3531041300439
"C07","Sample",20224,2330,1659,1298,397.063719726899,4625.3438413377,5220.60882149267,1029.01252470618,2148.82245788374,2234.72923041307,0.944206008583691,25.4370102471368,331.122448979592,30.2003081664099,14.8251808565726,78.8386988528168,90.7696157219795
"C08","Sample",23414,4110,2427,1149,721.014678475963,6402.25351696658,5525.59764915806,1249.94775676139,2150.04259783766,2364.83156461675,3.52798053527981,27.5236918005768,398.958333333333,25.065274151436,18.6450604117779,79.7370800139983,67.2092120122844
"C09","Sample",19657,2142,1118,1586,445.715697268666,5496.18378010222,5814.34962452208,1159.28359651322,2524.11227052975,2226.88613675359,3.87488328664799,30.7692307692308,448.022598870057,22.3203026481715,18.9048752013132,93.2341515125115,56.3147772420952
"C10","Sample",21573,3343,1662,1186,460.759932187006,5000.99834644169,5239.17449894382,1430.20183775219,2477.39665229823,2219.86438880747,3.67932994316482,39.0493381468111,364.923076923077,27.4030354131535,19.8200110348969,136.928159325184,73.8737896484375
"C11","Sample",22326,2338,1594,1599,594.239294244835,5979.46380755533,5659.14037307152,1341.37253634589,2871.2736010887,2529.28439435451,3.464499572284,27.8544542032622,388.106796116505,25.7661038148843,18.1770516457985,78.6699039158754,64.4257642493674
"D02","Sample",17724,1555,953,1359,610.543250083434,7146.52103736761,5614.32248526202,1088.72759335999,2874.71759340548,2432.36384518381,7.52411575562701,40.8184679958027,339.75,29.4334069168506,27.0608868723384,164.929219066043,86.4038267631482
"D03","Sample",18134,2891,1435,793,499.072821327553,5861.92541538697,5473.96164552936,1046.82545180714,2224.30428131157,2315.69808924015,4.80802490487721,37.212543554007,340.343347639485,29.3820933165195,19.6278067737304,116.685579658228,75.355749829399
"D04","Sample",19517,2241,1138,1119,546.429511162072,6341.64190194808,5347.09230806989,907.135080447089,1945.81883932286,2307.48423077198,3.4805890227577,28.9982425307557,315.211267605634,31.7247542448615,19.2409349962332,84.6063558400092,84.1227922078164
"D05","Sample",22849,1935,1139,1644,507.854971807586,4325.88317694972,5747.93898577765,1377.27142490876,1824.10172847595,2425.17629864943,4.54780361757106,44.0737489025461,401.955990220049,24.8783454987835,26.2295232190749,193.532205535238,73.4414061639377
"D06","Sample",24401,3368,2119,1458,828.409047032895,6097.5839930863,5356.6029948141,1478.20132759686,2492.49244165956,2169.37369164924,7.4228028503563,35.1109013685701,361.786600496278,27.6406035665295,23.2955611611039,119.890742607737,76.1791819900117
"D07","Sample",25495,3778,1906,1172,493.791969647844,5854.44114644621,5364.96510924133,1435.45072077759,2618.51329972262,2083.38320226806,5.45262043409211,38.1427072402938,386.798679867987,25.8532423208191,22.7813031208577,131.842157394877,60.8034348238494
"D08","Sample",23636,2148,1156,1713,521.897792570549,6202.10021733027,6060.94164523313,1429.95057628682,2774.20393886191,2577.09811533626,4.51582867783985,38.4948096885813,308.648648648649,32.399299474606,20.7888660075475,137.939111012895,96.634499492556
"D09","Sample",28321,3515,1903,1654,383.431304952724,4873.41901755736,5480.22104303666,1047.98670339501,2058.42252503658,1973.30521781687,4.18207681365576,34.7346295323174,408.395061728395,24.4860943168077,20.9639653449823,119.303398016015,65.2746547266238
"D10","Sample",25456,1211,882,2565,485.468680381385,5490.59355165531,5906.22766231122,910.960552218247,1894.29138844796,2145.5269883888,3.55078447563997,32.6530612244898,327.586206896552,30.5263157894737,19.3692137209487,94.7305597817373,86.8728582359817
"D11","Sample",25245,3775,2215,1200,756.543342860694,6909.52322337734,5648.55007785248,1565.7682114669,2663.64511359673,2341.46433910849,3.3112582781457,30.0225733634312,285.714285714286,35,18.5642749396979,96.525574343099,103.718788820934
"E02","Sample",17637,1954,1220,1106,488.315527898809,5749.4586387578,5969.25629946441,1266.67977309824,3413.63990673275,2422.60520924014,4.1453428863869,40.0819672131148,343.478260869565,29.1139240506329,19.818216156119,142.09544117288,83.9657281210667
"E03","Sample",19764,2130,1247,1345,519.991004372363,6140.20878481706,5674.99676029378,1059.5595789657,2333.30701810588,2346.59389799298,5.49295774647887,33.2798716920609,383.190883190883,26.0966542750929,22.4472373467262,106.221757420037,63.4550952736361
"E04","Sample",20971,3630,1666,805,463.892182641851,5545.45565328115,5364.70024783906,1037.96932942879,2248.44579984235,2333.84633554094,4.02203856749311,33.0732292917167,404.522613065327,24.7204968944099,20.4660305137092,112.732776860831,64.09341365422
"E05","Sample",23696,3816,2062,934,590.489753986487,6134.25249215412,5118.25611939558,1208.91231608894,2204.58973755038,2122.81169523464,2.93501048218029,27.4005819592629,357.854406130268,27.9443254817987,17.9158104027404,81.6139218207956,80.3374833125112
"E06","Sample",20342,2136,1361,1238,487.674189452707,7368.9804961519,5693.58481198622,1156.82948031801,2458.88060657038,2300.21158001919,2.43445692883895,33.0639235855988,407.236842105263,24.5557350565428,17.9248576715216,106.481614177489,71.981955276213
"E07","Sample",21923,8,19,2342,1193.71401796977,7950.88499509278,5779.60644489036,1222.14997637521,2335.52227752761,2212.82865731213,12.5,42.1052631578947,314.362416107383,31.8104184457728,52.8383726608105,95.3793230973271,88.7624130998053
"E08","Sample",15810,2575,1578,724,662.335206251758,6467.54764126726,5910.47950149823,1232.78406703595,2293.62897074641,2153.31105203198,3.30097087378641,25.9188846641318,330.593607305936,30.2486187845304,19.0736261122035,82.583593024947,86.0012066964412
"E09","Sample",21690,1358,1093,2058,727.740593560466,6925.30679803773,5905.04624510578,2068.3040049315,2681.49357413824,2077.50164600999,3.68188512518409,37.0539798719122,363.604240282686,27.5024295432459,21.3859180132165,128.484042227383,74.9106245561112
"E10","Sample",20977,1123,711,2130,453.125313815033,6228.14018991834,6120.66964438893,1477.6703334378,3310.5670619233,2590.69207610418,4.27426536064114,39.521800281294,329.211746522411,30.3755868544601,19.4537004812212,140.115328402753,96.3203788964928
"E11","Sample",22096,2988,1646,1376,632.203279665692,7021.23413157091,6070.32289650013,1681.93015916691,2879.6997229483,2453.20740611658,11.4457831325301,49.8784933171324,320.745920745921,31.1773255813953,35.5218308036588,240.817105834306,93.7675097106763
"F02","Sample",21937,2413,1499,1276,475.446215357214,7084.31269435277,6104.63858578589,1197.33138872447,3255.22256341373,2664.18887605284,5.47036883547451,44.4963308872582,294.688221709007,33.9341692789969,23.7584997130827,189.792191565207,122.561064595478
"F03","Sample",19548,2842,1701,1159,529.572288300665,5601.14617407369,5955.95065682422,1268.93557543209,2630.50162106543,2836.11401311133,4.08163265306122,32.9218106995885,273.995271867612,36.4969801553063,18.599782073461,106.057897237102,115.821246222547
"F04","Sample",19628,2776,1564,880,407.962984686222,5843.2709402932,6065.61122647724,1029.18105583622,2174.74961951651,2599.01217246996,4.57492795389049,28.5166240409207,286.644951140065,34.8863636363636,19.7836276085253,84.8122362503174,110.52276434311
"F05","Sample",23497,2128,1319,1567,509.551538790072,6980.97962059197,6253.62942304658,1541.87095382598,2735.73272828221,2615.59295254008,6.71992481203008,60.7278241091736,295.103578154426,33.8864071474154,31.2963160498476,418.294962168954,110.452617358428
"F06","Sample",26495,2938,2173,1630,488.045484301045,6528.79752390346,5655.3998787606,809.139353875567,2376.45668915015,2336.78009790035,4.4928522804629,41.0492406810861,324.701195219123,30.7975460122699,20.4076278602515,163.0003274724,90.5041267022998
"F07","Sample",15675,1879,1111,1073,663.168646442904,5661.02946659487,5451.0892527849,1544.41290952036,2812.50133280718,2306.63585256939,4.68334220329963,36.1836183618362,377.816901408451,26.4678471575023,21.0402838193155,108.400806764451,70.2953783974522
"F08","Sample",24872,2556,1564,1725,410.075178959272,5453.03063905798,5351.86390266949,1359.36621879747,2613.93364854587,2480.02864123721,2.77777777777778,33.2480818414322,326.086956521739,30.6666666666667,18.7940090993672,106.536724470991,85.0148719655055
"F09","Sample",21331,1678,1325,1706,372.738201368224,6048.08181045111,5464.13192777514,1113.06701533217,2304.62385783556,2061.90994897105,2.56257449344458,37.4339622641509,375.770925110132,26.6119577960141,22.0326271181464,130.03637182113,72.5524379205831
"F10","Sample",19749,1242,998,2094,499.507335207883,6198.33675778515,5522.15504262998,1181.53981570269,2524.70785655373,2182.17453310733,4.34782608695652,40.2805611222445,340.487804878049,29.3696275071633,20.5483493518971,151.341391549118,88.3443888107003
"F11","Sample",20740,3330,2150,874,569.187928925774,5867.52829137443,5415.63090688737,937.535708249777,2089.55978169097,2334.83366981942,2.52252252252252,28.6046511627907,337.451737451737,29.6338672768879,17.2980818984338,87.2055976368325,97.2442550063084
"G02","Sample",14616,2271,1263,830,379.478598399459,5801.10449558667,5536.45569536556,1005.20859146932,2964.54109421407,2430.41046125118,5.15191545574637,46.5558194774347,300.724637681159,33.2530120481928,24.463962243401,224.533116317513,99.140277117417
"G03","Sample",18076,403,333,1936,546.404262767463,6081.63337691792,6286.54858846383,1422.75994124502,2975.06336535884,2328.75734666338,5.4590570719603,39.9399399399399,259.865771812081,38.4814049586777,23.6010668063408,191.827972524558,138.45381813848
"G04","Sample",18247,2427,1251,1096,401.386449887711,5559.05869258118,5176.0406982644,721.731423259459,1819.51568070701,2067.03427292162,4.16151627523692,40.1278976818545,259.715639810427,38.5036496350365,22.7306051307009,159.057849873669,135.669411919712
"G05","Sample",22907,4590,2792,938,411.835682833782,3919.10472675701,4847.24680882741,1309.13964904138,2727.10992735077,2504.09453842743,1.63398692810458,21.9914040114613,409.606986899563,24.4136460554371,17.3809914342987,68.7874396146935,62.2017232517601
